venue,conference_name,core_year,level,source_files,n_raw_rows,had_conflict,level_raw_values,policy_2010
AID,International Conference on AI in Design,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
AIED,International Conference on Artificial Intelligence in Education,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
AIIM,Artificial Intelligence in Medicine,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
AIME,International Conference on Artificial Intelligence in Medicine,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ALENEX,Workshop on Algorithm Engineering and Experiments,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ALIFE,International Conference on the Simulation and Synthesis of Living Systems,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
AMIA,American Medical Informatics Annual Fall Symposium,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
AOSD,Aspect-Oriented Software Development,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
APPROX/RANDOM,International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ASAP,"International Conference on Application-specific Systems, Architectures and Processors",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ASE,Automated Software Engineering Conference,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ASIACRYPT,International Conference on the Theory and Application of Cryptology and Information Security,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ASIS&T,Annual conference of American Society for Information Science and Technology,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ATVA,International Symposium on Automated Technology for Verification and Analysis,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
AVSS,IEEE International Conference on Advanced Video and Signal Based Surveillance,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
Ada-Europe,International Conference on Reliable Software Technologies,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
AiML,Advances in Modal Logic,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
BMVC,British Machine Vision Conference,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
BPM,International Conference in Business Process Management,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
