venue,core_year,level_2008,level_2013,level_2010_inferred,policy_2010,reason
1002,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1015,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1020,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1021,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1022,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1027,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1028,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1033,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1034,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1037,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1048,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1051,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1053,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
106,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1063,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1078,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
108,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1080,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
11,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1100,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1101,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
111,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1116,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1118,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1119,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1120,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1121,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
113,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1130,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1131,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1135,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1138,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
114,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1147,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
115,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1152,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1154,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1158,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1159,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1165,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1167,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
117,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1171,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1174,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1175,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
119,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1191,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1197,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1198,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1199,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
12,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
120,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1204,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1209,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1217,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1220,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1222,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1224,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1225,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1226,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1227,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
123,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1233,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1235,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1239,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
124,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1240,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1242,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1243,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1245,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1246,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
