venue,conference_name,core_year,level,level_in_file,ranking_version_in_file,source_file,source_venue_col,undifferentiated_2010
CSCW,ACM Conference on Computer Supported Cooperative Work,2008,A,A,CORE2008,COREA-2008.csv,2,False
EC,ACM Conference on Economics and Computation,2008,A,A,CORE2008,COREA-2008.csv,2,False
Hypertext,ACM Conference on Hypertext and Social Media,2008,A,A,CORE2008,COREA-2008.csv,2,False
CIKM,ACM International Conference on Information and Knowledge Management,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICS,ACM International Conference on Supercomputing,2008,A,A,CORE2008,COREA-2008.csv,2,False
FSE,"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",2008,A,A,CORE2008,COREA-2008.csv,2,False
HPDC,ACM International Symposium on High Performance Distributed Computing,2008,A,A,CORE2008,COREA-2008.csv,2,False
SCA,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,2008,A,A,CORE2008,COREA-2008.csv,2,False
Mobisys,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",2008,A,A,CORE2008,COREA-2008.csv,2,False
LCTES,"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",2008,A,A,CORE2008,COREA-2008.csv,2,False
PEPM,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,2008,A,A,CORE2008,COREA-2008.csv,2,False
PADS,ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),2008,A,A,CORE2008,COREA-2008.csv,2,False
SIGCSE,ACM Special Interest Group on Computer Science Education Conference,2008,A,A,CORE2008,COREA-2008.csv,2,False
Group,ACM Special Interest Group on Supporting Group Work (was SIGGRoup),2008,A,A,CORE2008,COREA-2008.csv,2,False
DocEng,ACM Symposium on Document Engineering,2008,A,A,CORE2008,COREA-2008.csv,2,False
MOBIHOC,ACM Symposium on Mobile Ad Hoc Networking and Computing,2008,A,A,CORE2008,COREA-2008.csv,2,False
SSR,ACM Symposium on Software Reusability,2008,A,A,CORE2008,COREA-2008.csv,2,False
UIST,ACM Symposium on User Interface Software and Technology,2008,A,A,CORE2008,COREA-2008.csv,2,False
HOTNETS,ACM Workshop on Hot Topics in Networks,2008,A,A,CORE2008,COREA-2008.csv,2,False
MSWIM,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",2008,A,A,CORE2008,COREA-2008.csv,2,False
Middleware,ACM/IFIP/USENIX International Middleware Conference,2008,A,A,CORE2008,COREA-2008.csv,2,False
MMCN,ACM/SPIE Multimedia Computing and Networking,2008,A,A,CORE2008,COREA-2008.csv,2,False
AiML,Advances in Modal Logic,2008,A,A,CORE2008,COREA-2008.csv,2,False
WADS,Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),2008,A,A,CORE2008,COREA-2008.csv,2,False
AMIA,American Medical Informatics Annual Fall Symposium,2008,A,A,CORE2008,COREA-2008.csv,2,False
ASIS&T,Annual conference of American Society for Information Science and Technology,2008,A,A,CORE2008,COREA-2008.csv,2,False
ITiCSE,Annual Conference on Innovation and Technology in Computer Science Education,2008,A,A,CORE2008,COREA-2008.csv,2,False
CogSci,Annual Meeting of the Cognitive Science Society,2008,A,A,CORE2008,COREA-2008.csv,2,False
AIIM,Artificial Intelligence in Medicine,2008,A,A,CORE2008,COREA-2008.csv,2,False
AOSD,Aspect-Oriented Software Development,2008,A,A,CORE2008,COREA-2008.csv,2,False
ASE,Automated Software Engineering Conference,2008,A,A,CORE2008,COREA-2008.csv,2,False
BMVC,British Machine Vision Conference,2008,A,A,CORE2008,COREA-2008.csv,2,False
CGI,Computer Graphics International,2008,A,A,CORE2008,COREA-2008.csv,2,False
CoNLL,Conference on Computational Natural Language Learning,2008,A,A,CORE2008,COREA-2008.csv,2,False
