paper_id,dblp_key,congress,level,area,year,window,country_code,source,method,confidence,matched_by,source_work_id,doi,n_institutions_for_country
P0000094,conf/mm/DeshpandeZ01,ACMMM,A*,IA / ML,2001,2001-2005,US,crossref,doi_author_affiliation,0.82,doi,doi:10.1145/500141.500197,10.1145/500141.500197,
P0000100,conf/mm/GonnoNTY01,ACMMM,A*,IA / ML,2001,2001-2005,JP,crossref,doi_author_affiliation,0.82,doi,doi:10.1145/500141.500238,10.1145/500141.500238,
P0000115,conf/mm/KosugiNTMOKKKHK01,ACMMM,A*,IA / ML,2001,2001-2005,JP,crossref,doi_author_affiliation,0.82,doi,doi:10.1145/500141.500254,10.1145/500141.500254,
P0000137,conf/mm/ObeidJD01,ACMMM,A*,IA / ML,2001,2001-2005,FR,crossref,doi_author_affiliation,0.82,doi,doi:10.1145/500141.500233,10.1145/500141.500233,
P0000664,conf/chi/StifelmanAS01,CHI,A*,HCI,2001,2001-2005,GB,crossref,doi_author_affiliation,0.82,doi,doi:10.1145/365024.365096,10.1145/365024.365096,
P0000690,conf/cikm/Couchot01,CIKM,A,Bases de datos,2001,2001-2005,FR,crossref,doi_author_affiliation,0.82,doi,doi:10.1145/502585.502640,10.1145/502585.502640,
P0001311,conf/sigecom/AbergSM01,EC,A*,Teoría,2001,2001-2005,SE,crossref,doi_author_affiliation,0.82,doi,doi:10.1145/501158.501180,10.1145/501158.501180,
P0001649,conf/focs/GuruswamiI01,FOCS,A*,Teoría,2001,2001-2005,US,crossref,doi_author_affiliation,0.82,doi,doi:10.1109/SFCS.2001.959942,10.1109/SFCS.2001.959942,
P0002837,conf/icfp/Chuang01,ICFP,A,Ing. del Software,2001,2001-2005,TW,crossref,doi_author_affiliation,0.82,doi,doi:10.1145/507635.507649,10.1145/507635.507649,
P0002850,conf/icfp/Russell01,ICFP,A,Ing. del Software,2001,2001-2005,DE,crossref,doi_author_affiliation,0.82,doi,doi:10.1145/507635.507655,10.1145/507635.507655,
P0005655,conf/iui/BohnenbergerJ01,IUI,A,HCI,2001,2001-2005,DE,crossref,doi_author_affiliation,0.82,doi,doi:10.1145/359784.359829,10.1145/359784.359829,
P0005656,conf/iui/ButzBKL01,IUI,A,HCI,2001,2001-2005,DE,crossref,doi_author_affiliation,0.82,doi,doi:10.1145/359784.359832,10.1145/359784.359832,
P0005668,conf/iui/HuangTHN01,IUI,A,HCI,2001,2001-2005,DE,crossref,doi_author_affiliation,0.82,doi,doi:10.1145/359784.360295,10.1145/359784.360295,
P0006358,conf/kdd/BinghamM01,KDD,A*,Bases de datos,2001,2001-2005,FI,crossref,doi_author_affiliation,0.82,doi,doi:10.1145/502512.502546,10.1145/502512.502546,
P0007077,conf/oopsla/LanzaD01,OOPSLA,A,Ing. del Software,2001,2001-2005,CH,crossref,doi_author_affiliation,0.82,doi,doi:10.1145/504282.504304,10.1145/504282.504304,
