paper_id,dblp_key,congress,level,area,year,window,country_code,source,method,confidence,matched_by,source_work_id,source_url,matched_title,title_similarity,n_affiliations_raw
P0496833,conf/approx/RenS25,APPROX/RANDOM,A,Teoría,2025,2021-2025,CA,drops,volume_xml_title_match,1.0,title_exact,LIPIcs-volume-353,https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-353,Approximation Schemes for Orienteering and Deadline TSP in Doubling Metrics,1.0,2
P0496835,conf/approx/Roy25,APPROX/RANDOM,A,Teoría,2025,2021-2025,IN,drops,volume_xml_title_match,1.0,title_exact,LIPIcs-volume-353,https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-353,Covering Simple Orthogonal Polygons with Rectangles,1.0,1
P0496830,conf/approx/NakajimaZ25,APPROX/RANDOM,A,Teoría,2025,2021-2025,GB,drops,volume_xml_title_match,1.0,title_exact,LIPIcs-volume-353,https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-353,Maximum And- vs. Even-SAT,1.0,2
P0496787,conf/approx/ChekuriJMV25,APPROX/RANDOM,A,Teoría,2025,2021-2025,US,drops,volume_xml_title_match,1.0,title_exact,LIPIcs-volume-353,https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-353,Streaming Algorithms for Network Design,1.0,4
P0496771,conf/approx/0001LMS25,APPROX/RANDOM,A,Teoría,2025,2021-2025,CH,drops,volume_xml_title_match,1.0,title_exact,LIPIcs-volume-353,https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-353,Min-CSPs on Complete Instances II: Polylogarithmic Approximation for Min-NAE-3-SAT,1.0,4
P0496771,conf/approx/0001LMS25,APPROX/RANDOM,A,Teoría,2025,2021-2025,US,drops,volume_xml_title_match,1.0,title_exact,LIPIcs-volume-353,https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-353,Min-CSPs on Complete Instances II: Polylogarithmic Approximation for Min-NAE-3-SAT,1.0,4
P0496789,conf/approx/ChenC0PS25,APPROX/RANDOM,A,Teoría,2025,2021-2025,CN,drops,volume_xml_title_match,1.0,title_exact,LIPIcs-volume-353,https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-353,"QSETH Strikes Again: Finer Quantum Lower Bounds for Lattice Problem, Strong Simulation, Hitting Set Problem, and More",1.0,5
P0496789,conf/approx/ChenC0PS25,APPROX/RANDOM,A,Teoría,2025,2021-2025,IN,drops,volume_xml_title_match,1.0,title_exact,LIPIcs-volume-353,https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-353,"QSETH Strikes Again: Finer Quantum Lower Bounds for Lattice Problem, Strong Simulation, Hitting Set Problem, and More",1.0,5
P0496789,conf/approx/ChenC0PS25,APPROX/RANDOM,A,Teoría,2025,2021-2025,NL,drops,volume_xml_title_match,1.0,title_exact,LIPIcs-volume-353,https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-353,"QSETH Strikes Again: Finer Quantum Lower Bounds for Lattice Problem, Strong Simulation, Hitting Set Problem, and More",1.0,5
P0496789,conf/approx/ChenC0PS25,APPROX/RANDOM,A,Teoría,2025,2021-2025,US,drops,volume_xml_title_match,1.0,title_exact,LIPIcs-volume-353,https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-353,"QSETH Strikes Again: Finer Quantum Lower Bounds for Lattice Problem, Strong Simulation, Hitting Set Problem, and More",1.0,5
