paper_id,dblp_key,congress,level,area,year,window,country_code,source,method,confidence,matched_by,source_work_id,source_doi,venue_query,source_id,matched_title,n_institutions_for_country
P0131387,conf/aaai/CranshawMS11,AAAI,A*,IA / ML,2011,2011-2015,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W124144856,https://doi.org/10.1609/aaai.v25i1.8097,AAAI Conference on Artificial Intelligence,S4210191458,User-Controllable Learning of Location Privacy Policies With Gaussian Mixture Models,3
P0131426,conf/aaai/GolovinKGCM11,AAAI,A*,IA / ML,2011,2011-2015,CH,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W1768003445,https://doi.org/10.1609/aaai.v25i1.7795,AAAI Conference on Artificial Intelligence,S4210191458,Dynamic Resource Allocation in Conservation Planning,1
P0131426,conf/aaai/GolovinKGCM11,AAAI,A*,IA / ML,2011,2011-2015,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W1768003445,https://doi.org/10.1609/aaai.v25i1.7795,AAAI Conference on Artificial Intelligence,S4210191458,Dynamic Resource Allocation in Conservation Planning,4
P0164266,conf/aaai/MendozaB13,AAAI,A*,IA / ML,2013,2011-2015,BR,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2199085604,https://doi.org/10.1609/aaai.v27i1.8500,AAAI Conference on Artificial Intelligence,S4210191458,The Wisdom of Crowds in Bioinformatics: What Can We Learn (and Gain) from Ensemble Predictions?,2
P0237290,conf/aaai/Al-ZaidyG17,AAAI,A*,IA / ML,2017,2016-2020,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2604887361,https://doi.org/10.1609/aaai.v31i2.19088,AAAI Conference on Artificial Intelligence,S4210191458,A Machine Learning Approach for Semantic Structuring of Scientific Charts in Scholarly Documents,2
P0237370,conf/aaai/CarnelliYSK17,AAAI,A*,IA / ML,2017,2016-2020,JP,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2605046638,https://doi.org/10.1609/aaai.v31i2.19090,AAAI Conference on Artificial Intelligence,S4210191458,ParkUs: A Novel Vehicle Parking Detection System,4
P0237371,conf/aaai/ChakrabortiTFCK17,AAAI,A*,IA / ML,2017,2016-2020,US,openalex,source_or_venue_year_title_match,0.9375,title_fuzzy,https://openalex.org/W4300487676,https://doi.org/10.1609/aaai.v31i2.19091,AAAI Conference on Artificial Intelligence,S4210191458,UbuntuWorld 1.0 LTS — A Platform for Automated Problem Solving and Troubleshooting in the Ubuntu OS,2
P0237393,conf/aaai/ChokrE17,AAAI,A*,IA / ML,2017,2016-2020,LB,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2604671115,https://doi.org/10.1609/aaai.v31i2.19092,AAAI Conference on Artificial Intelligence,S4210191458,Calories Prediction from Food Images,2
P0237478,conf/aaai/GempTG17,AAAI,A*,IA / ML,2017,2016-2020,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2604861547,https://doi.org/10.1609/aaai.v31i2.19107,AAAI Conference on Artificial Intelligence,S4210191458,Automated Data Cleansing through Meta-Learning,3
P0237484,conf/aaai/GhourchianAP17,AAAI,A*,IA / ML,2017,2016-2020,CA,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2604490975,https://doi.org/10.1609/aaai.v31i2.19093,AAAI Conference on Artificial Intelligence,S4210191458,Real-Time Indoor Localization in Smart Homes Using Semi-Supervised Learning,2
P0237498,conf/aaai/GotliebLNRSG17,AAAI,A*,IA / ML,2017,2016-2020,IT,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2604207056,https://doi.org/10.1609/aaai.v31i2.19094,AAAI Conference on Artificial Intelligence,S4210191458,Constraint-Based Verification of a Mobile App Game Designed for Nudging People to Attend Cancer Screening,1
P0237498,conf/aaai/GotliebLNRSG17,AAAI,A*,IA / ML,2017,2016-2020,NO,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2604207056,https://doi.org/10.1609/aaai.v31i2.19094,AAAI Conference on Artificial Intelligence,S4210191458,Constraint-Based Verification of a Mobile App Game Designed for Nudging People to Attend Cancer Screening,5
