paper_id,dblp_key,congress,level,area,year,window,country_code,source,method,confidence,matched_by,source_work_id,doi,matched_title,n_authors_with_profiles
P0496631,conf/aistats/TadipatriHAV25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,A Convex Relaxation Approach to Generalization Analysis for Parallel Positively Homogeneous Networks,4
P0496180,conf/aistats/AndrewWC25,AISTATS,A,IA / ML,2025,2021-2025,GB,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,The Strong Product Model for Network Inference without Independence Assumptions,3
P0496310,conf/aistats/FengKKYTB25,AISTATS,A,IA / ML,2025,2021-2025,IN,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Exposing Privacy Gaps: Membership Inference Attack on Preference Data for LLM Alignment,6
P0496310,conf/aistats/FengKKYTB25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Exposing Privacy Gaps: Membership Inference Attack on Preference Data for LLM Alignment,6
P0496395,conf/aistats/JoudakiH25,AISTATS,A,IA / ML,2025,2021-2025,CH,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Emergence of Globally Attracting Fixed Points in Deep Neural Networks With Nonlinear Activations,2
P0496659,conf/aistats/Vuong25,AISTATS,A,IA / ML,2025,2021-2025,AU,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Task-Driven Discrete Representation Learning,1
P0496345,conf/aistats/GuzmanOlivaresSGB25,AISTATS,A,IA / ML,2025,2021-2025,DE,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Clustering Context in Off-Policy Evaluation,4
P0496345,conf/aistats/GuzmanOlivaresSGB25,AISTATS,A,IA / ML,2025,2021-2025,ES,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Clustering Context in Off-Policy Evaluation,4
P0496345,conf/aistats/GuzmanOlivaresSGB25,AISTATS,A,IA / ML,2025,2021-2025,GB,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Clustering Context in Off-Policy Evaluation,4
P0496346,conf/aistats/HaggbomKA25,AISTATS,A,IA / ML,2025,2021-2025,SE,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Mean-Field Microcanonical Gradient Descent,3
