acronym,title,level,area,for1,status,dblp_key,dblp_conf_url
AAAI,National Conference of the American Association for Artificial Intelligence,A*,IA / ML,4602,CORE_2026_OFICIAL,aaai,https://dblp.org/db/conf/aaai/
ACL,Association for Computational Linguistics,A*,IA / ML,4602,CORE_2026_OFICIAL,acl,https://dblp.org/db/conf/acl/
ACMMM,ACM Multimedia,A*,IA / ML,4603,CORE_2026_OFICIAL,mm,https://dblp.org/db/conf/mm/
ASE,Automated Software Engineering Conference,A*,Ing. del Software,4612,CORE_2026_OFICIAL,kbse,https://dblp.org/db/conf/kbse/
ASPLOS,Architectural Support for Programming Languages and Operating Systems,A*,Sistemas,4612,CORE_2026_OFICIAL,asplos,https://dblp.org/db/conf/asplos/
CAV,Computer Aided Verification,A*,Ing. del Software,4612,CORE_2026_OFICIAL,cav,https://dblp.org/db/conf/cav/
CCS,ACM Conference on Computer and Communications Security,A*,Seguridad,4604,CORE_2026_OFICIAL,ccs,https://dblp.org/db/conf/ccs/
CHI,International Conference on Human Factors in Computing Systems,A*,HCI,4608,CORE_2026_OFICIAL,chi,https://dblp.org/db/conf/chi/
COLT,Conference on Learning Theory,A*,Teoría,4611,CORE_2026_OFICIAL,colt,https://dblp.org/db/conf/colt/
CRYPTO,Advances in Cryptology,A*,Seguridad,4604,CORE_2026_OFICIAL,crypto,https://dblp.org/db/conf/crypto/
CVPR,IEEE Conference on Computer Vision and Pattern Recognition,A*,IA / ML,4603,CORE_2026_OFICIAL,cvpr,https://dblp.org/db/conf/cvpr/
DAC,Design Automation Conf,A*,Sistemas,CSE,CORE_2026_OFICIAL,dac,https://dblp.org/db/conf/dac/
EC,ACM Conference on Economics and Computation,A*,Teoría,4602,CORE_2026_OFICIAL,sigecom,https://dblp.org/db/conf/sigecom/
ECCV,European Conference on Computer Vision,A*,IA / ML,4603,CORE_2026_OFICIAL,eccv,https://dblp.org/db/conf/eccv/
EMNLP,Empirical Methods in Natural Language Processing,A*,IA / ML,4602,CORE_2026_OFICIAL,emnlp,https://dblp.org/db/conf/emnlp/
EuroCrypt,International Conference on the Theory and Application of Cryptographic Techniques,A*,Seguridad,4604,CORE_2026_OFICIAL,eurocrypt,https://dblp.org/db/conf/eurocrypt/
FOCS,IEEE Symposium on Foundations of Computer Science,A*,Teoría,4613,CORE_2026_OFICIAL,focs,https://dblp.org/db/conf/focs/
FSE,"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",A*,Ing. del Software,4612,CORE_2026_OFICIAL,sigsoft,https://dblp.org/db/conf/sigsoft/
HPCA,International Symposium on High Performance Computer Architecture,A*,Sistemas,CSE,CORE_2026_OFICIAL,hpca,https://dblp.org/db/conf/hpca/
HRI,ACM/IEEE International Conference on Human-Robot Interaction,A*,HCI,4608,CORE_2026_OFICIAL,hri,https://dblp.org/db/conf/hri/
