area_order,area,area_report_label,subarea_order,subarea,acronym,title,level,dblp_key,dblp_conf_url,subarea_notes,classification_status
1,IA / ML,IA / ML,1,Aprendizaje automático y representación,AISTATS,International Conference on Artificial Intelligence and Statistics,A,aistats,https://dblp.org/db/conf/aistats/,"Aprendizaje estadístico, representación, teoría/aplicaciones de ML y conferencias nucleares de ML.",Propuesta analítica auxiliar; no es una categoría oficial CORE/ICORE
1,IA / ML,IA / ML,1,Aprendizaje automático y representación,ICLR,International Conference on Learning Representations,A*,iclr,https://dblp.org/db/conf/iclr/,"Aprendizaje estadístico, representación, teoría/aplicaciones de ML y conferencias nucleares de ML.",Propuesta analítica auxiliar; no es una categoría oficial CORE/ICORE
1,IA / ML,IA / ML,1,Aprendizaje automático y representación,ICML,International Conference on Machine Learning,A*,icml,https://dblp.org/db/conf/icml/,"Aprendizaje estadístico, representación, teoría/aplicaciones de ML y conferencias nucleares de ML.",Propuesta analítica auxiliar; no es una categoría oficial CORE/ICORE
1,IA / ML,IA / ML,1,Aprendizaje automático y representación,NeurIPS,Advances in Neural Information Processing Systems (was NIPS),A*,nips,https://dblp.org/db/conf/nips/,"Aprendizaje estadístico, representación, teoría/aplicaciones de ML y conferencias nucleares de ML.",Propuesta analítica auxiliar; no es una categoría oficial CORE/ICORE
1,IA / ML,IA / ML,1,Aprendizaje automático y representación,UAI,Conference in Uncertainty in Artificial Intelligence,A,uai,https://dblp.org/db/conf/uai/,"Aprendizaje estadístico, representación, teoría/aplicaciones de ML y conferencias nucleares de ML.",Propuesta analítica auxiliar; no es una categoría oficial CORE/ICORE
1,IA / ML,IA / ML,3,"Visión por computador, imagen médica y reconocimiento",BMVC,British Machine Vision Conference,A,bmvc,https://dblp.org/db/conf/bmvc/,"Visión, reconocimiento visual, análisis de imágenes, imagen médica y documentación visual.",Propuesta analítica auxiliar; no es una categoría oficial CORE/ICORE
1,IA / ML,IA / ML,3,"Visión por computador, imagen médica y reconocimiento",CVPR,IEEE Conference on Computer Vision and Pattern Recognition,A*,cvpr,https://dblp.org/db/conf/cvpr/,"Visión, reconocimiento visual, análisis de imágenes, imagen médica y documentación visual.",Propuesta analítica auxiliar; no es una categoría oficial CORE/ICORE
1,IA / ML,IA / ML,3,"Visión por computador, imagen médica y reconocimiento",ECCV,European Conference on Computer Vision,A*,eccv,https://dblp.org/db/conf/eccv/,"Visión, reconocimiento visual, análisis de imágenes, imagen médica y documentación visual.",Propuesta analítica auxiliar; no es una categoría oficial CORE/ICORE
1,IA / ML,IA / ML,3,"Visión por computador, imagen médica y reconocimiento",ICCV,IEEE International Conference on Computer Vision,A*,iccv,https://dblp.org/db/conf/iccv/,"Visión, reconocimiento visual, análisis de imágenes, imagen médica y documentación visual.",Propuesta analítica auxiliar; no es una categoría oficial CORE/ICORE
1,IA / ML,IA / ML,3,"Visión por computador, imagen médica y reconocimiento",ICDAR,IEEE International Conference on Document Analysis and Recognition,A,icdar,https://dblp.org/db/conf/icdar/,"Visión, reconocimiento visual, análisis de imágenes, imagen médica y documentación visual.",Propuesta analítica auxiliar; no es una categoría oficial CORE/ICORE
1,IA / ML,IA / ML,3,"Visión por computador, imagen médica y reconocimiento",MICCAI,Medical Image Computing and Computer-Assisted Intervention,A,miccai,https://dblp.org/db/conf/miccai/,"Visión, reconocimiento visual, análisis de imágenes, imagen médica y documentación visual.",Propuesta analítica auxiliar; no es una categoría oficial CORE/ICORE
1,IA / ML,IA / ML,3,"Visión por computador, imagen médica y reconocimiento",WACV,IEEE Workshop on Applications of Computer Vision,A,wacv,https://dblp.org/db/conf/wacv/,"Visión, reconocimiento visual, análisis de imágenes, imagen médica y documentación visual.",Propuesta analítica auxiliar; no es una categoría oficial CORE/ICORE
1,IA / ML,IA / ML,4,Procesamiento del lenguaje natural y habla,ACL,Association for Computational Linguistics,A*,acl,https://dblp.org/db/conf/acl/,"Lenguaje natural, lingüística computacional, diálogo y procesamiento del habla.",Propuesta analítica auxiliar; no es una categoría oficial CORE/ICORE
1,IA / ML,IA / ML,4,Procesamiento del lenguaje natural y habla,EACL,European Association for Computational Linguistics,A,eacl,https://dblp.org/db/conf/eacl/,"Lenguaje natural, lingüística computacional, diálogo y procesamiento del habla.",Propuesta analítica auxiliar; no es una categoría oficial CORE/ICORE
1,IA / ML,IA / ML,4,Procesamiento del lenguaje natural y habla,EMNLP,Empirical Methods in Natural Language Processing,A*,emnlp,https://dblp.org/db/conf/emnlp/,"Lenguaje natural, lingüística computacional, diálogo y procesamiento del habla.",Propuesta analítica auxiliar; no es una categoría oficial CORE/ICORE
1,IA / ML,IA / ML,4,Procesamiento del lenguaje natural y habla,Interspeech,Interspeech (combined EuroSpeech and ICSLP in 2000),A,interspeech,https://dblp.org/db/conf/interspeech/,"Lenguaje natural, lingüística computacional, diálogo y procesamiento del habla.",Propuesta analítica auxiliar; no es una categoría oficial CORE/ICORE
