congress,level,area,booktitle,n_articles,first_year,last_year,n_years,secondary_tokens,flag_secondary_candidate
AAAI,A*,IA / ML,AAAI,21756,2004,2025,21,,False
AAMAS,A,IA / ML,AAMAS,6713,2002,2024,20,,False
ACL,A*,IA / ML,ACL (1),5930,2012,2025,12,,False
ACL,A*,IA / ML,ACL,2160,2001,2020,11,,False
ACL,A*,IA / ML,ACL (2),1527,2008,2025,14,,False
ACMMM,A*,IA / ML,ACM Multimedia,10640,2001,2025,25,,False
ACSAC,A,Seguridad,ACSAC,1339,2001,2025,25,,False
AIED,A,IA / ML,AIED,1122,2005,2023,8,,False
AISTATS,A,IA / ML,AISTATS,4370,2001,2025,16,,False
ALENEX,A,Teoría,ALENEX,376,2001,2025,23,,False
APPROX/RANDOM,A,Teoría,APPROX-RANDOM,965,2004,2021,18,,False
APPROX/RANDOM,A,Teoría,APPROX/RANDOM,267,2022,2025,4,,False
APPROX/RANDOM,A,Teoría,APPROX,22,2002,2002,1,,False
ASE,A*,Ing. del Software,ASE,3133,2001,2025,25,,False
ASIACRYPT,A,Seguridad,ASIACRYPT,437,2001,2012,12,,False
ASPLOS,A*,Sistemas,ASPLOS,891,2002,2022,18,,False
ASSETS,A,HCI,ASSETS,1996,2002,2025,23,,False
AsiaCCS,A,Seguridad,AsiaCCS,541,2021,2025,5,,False
BMVC,A,IA / ML,BMVC,4127,2001,2024,24,,False
BPM,A,Ing. del Software,BPM,527,2007,2025,19,,False
CADE,A,Teoría,CADE,477,2002,2025,13,,False
CAV,A*,Ing. del Software,CAV,770,2001,2014,14,,False
CCC,A,Teoría,CCC,841,2001,2025,25,,False
CCS,A*,Seguridad,CCS,3754,2001,2025,25,,False
CGO,A,Ing. del Software,CGO,680,2003,2025,23,,False
CHES,A,Seguridad,CHES,552,2001,2017,17,,False
CHI,A*,HCI,CHI,11478,2001,2025,25,,False
CIDR,A,Bases de datos,CIDR,661,2003,2025,15,,False
CIKM,A,Bases de datos,CIKM,8847,2001,2025,25,,False
COLT,A*,Teoría,COLT,1922,2002,2025,23,,False
CP,A,Teoría,CP,1614,2001,2025,25,,False
CRYPTO,A*,Seguridad,CRYPTO,448,2001,2012,12,,False
CSCW,A,HCI,CSCW,1371,2002,2017,12,,False
CSF,A,Seguridad,CSF,571,2007,2025,19,,False
CVPR,A*,IA / ML,CVPR,21243,2007,2025,19,,False
CaiSE,A,Ing. del Software,CAiSE,976,2001,2024,24,,False
CoNEXT,A,Redes,CoNEXT,802,2005,2022,18,,False
DAC,A*,Sistemas,DAC,5550,2001,2025,25,,False
DATE,A,Sistemas,DATE,7874,2001,2025,25,,False
DIS,A,HCI,Conference on Designing Interactive Systems,1995,2004,2025,16,,False
DIS,A,HCI,Symposium on Designing Interactive Systems,58,2002,2002,1,,False
DISC,A,Sistemas,DISC,1162,2001,2025,25,,False
