acronym,title,level,area,dblp_key,n_articles,first_year,last_year,n_years,n_booktitles,n_dblp_records,n_with_doi,n_with_arxiv,doi_coverage_pct,arxiv_coverage_pct,flags
CIDR,Conference on Innovative Data Systems Research,A,Bases de datos,cidr,661,2003,2025,15,1,661,0,0,0.0,0.0,
CIKM,ACM International Conference on Information and Knowledge Management,A,Bases de datos,cikm,8847,2001,2025,25,1,8847,8846,0,99.99,0.0,
ECIR,European Conference on Information Retrieval,A,Bases de datos,ecir,1300,2002,2018,17,1,1300,1300,0,100.0,0.0,
ER,International Conference on Conceptual Modelling,A,Bases de datos,er,1039,2001,2025,25,1,1039,1039,0,100.0,0.0,
ICDT,International Conference on Database Theory,A,Bases de datos,icdt,538,2001,2025,21,1,538,538,0,100.0,0.0,
ISWC,International Semantic Web Conference,A,Bases de datos,semweb,601,2002,2023,10,1,601,601,0,100.0,0.0,
SIGSPATIAL,ACM International Conference on Advances in Geographic Information Systems,A,Bases de datos,gis,2066,2003,2025,23,2,2066,2066,0,100.0,0.0,WATCHLIST
WSDM,ACM International Conference on Web Search and Data Mining,A,Bases de datos,wsdm,1962,2008,2025,18,1,1962,1962,0,100.0,0.0,
ISMB,Intelligent Systems in Molecular Biology,A,Bioinformática,ismb,93,2002,2008,2,1,93,93,0,100.0,0.0,LOW_YEAR_SPAN_LT_3
ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,A,HCI,assets,1996,2002,2025,23,1,1996,1988,0,99.6,0.0,
CSCW,ACM Conference on Computer Supported Cooperative Work,A,HCI,cscw,1371,2002,2017,12,1,1371,1371,0,100.0,0.0,
DIS,Designing Interactive Systems,A,HCI,ACMdis,2053,2002,2025,17,2,2053,2053,0,100.0,0.0,WATCHLIST
ICER,International Computing Education Research Workshop,A,HCI,icer,583,2005,2021,17,1,583,583,0,100.0,0.0,
IEEE VIS,IEEE Visualization,A,HCI,visualization,477,2001,2005,5,1,477,427,0,89.52,0.0,
IUI,International Conference on Intelligent User Interfaces,A,HCI,iui,1707,2001,2025,25,1,1707,1706,0,99.94,0.0,
SIGCSE,ACM Special Interest Group on Computer Science Education Conference,A,HCI,sigcse,4680,2001,2021,21,1,4680,4680,0,100.0,0.0,
UMAP,"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)",A,HCI,um,856,2009,2025,17,1,856,856,0,100.0,0.0,
