paper_id,dblp_key,congress,level,area,year,window,doi,status
P0000041,conf/acl/Isozaki01,ACL,A*,IA / ML,2001,2001-2005,10.3115/1073012.1073053,found_no_affiliation_country
P0000065,conf/acl/UtiyamaI01,ACL,A*,IA / ML,2001,2001-2005,10.3115/1073012.1073076,found_no_affiliation_country
P0000071,conf/mm/Allen01,ACMMM,A*,IA / ML,2001,2001-2005,10.1145/500141.500155,found_no_affiliation_country
P0000133,conf/mm/NatatsuTM01,ACMMM,A*,IA / ML,2001,2001-2005,10.1145/500141.500195,found_no_affiliation_country
P0000154,conf/mm/SrinivasanPBDEFLT01,ACMMM,A*,IA / ML,2001,2001-2005,10.1145/500141.500169,found_no_affiliation_country
P0000182,conf/acsac/AshleyHV01,ACSAC,A,Seguridad,2001,2001-2005,10.1109/ACSAC.2001.991545,found_no_affiliation_country
P0000187,conf/acsac/CaronniS01,ACSAC,A,Seguridad,2001,2001-2005,10.1109/ACSAC.2001.991543,found_no_affiliation_country
P0000190,conf/acsac/DobsonR01,ACSAC,A,Seguridad,2001,2001-2005,10.1109/ACSAC.2001.991534,found_no_affiliation_country
P0000211,conf/acsac/MankinsKBZF01,ACSAC,A,Seguridad,2001,2001-2005,10.1109/ACSAC.2001.991558,found_no_affiliation_country
P0000217,conf/acsac/PayneM01,ACSAC,A,Seguridad,2001,2001-2005,10.1109/ACSAC.2001.991548,found_no_affiliation_country
P0000220,conf/acsac/Schell01,ACSAC,A,Seguridad,2001,2001-2005,10.1109/ACSAC.2001.991537,found_no_affiliation_country
P0000221,conf/acsac/Thomsen01,ACSAC,A,Seguridad,2001,2001-2005,10.1109/ACSAC.2001.991532,found_no_affiliation_country
P0000282,conf/alenex/HepnerS01,ALENEX,A,Teoría,2001,2001-2005,10.1007/3-540-44808-X_17,found_no_affiliation_country
P0000307,conf/kbse/Egyed01,ASE,A*,Ing. del Software,2001,2001-2005,10.1109/ASE.2001.989835,found_no_affiliation_country
