paper_id,dblp_key,congress,level,area,year,window,title,reason
P0000282,conf/alenex/HepnerS01,ALENEX,A,Teoría,2001,2001-2005,Implementation of a PTAS for Scheduling with Release Dates.,no_drops_title_match_or_no_volume
P0000468,conf/cav/AlurEY01,CAV,A*,Ing. del Software,2001,2001-2005,Analysis of Recursive State Machines.,no_drops_title_match_or_no_volume
P0000500,conf/cav/LevinY01,CAV,A*,Ing. del Software,2001,2001-2005,SDLcheck: A Model Checking Tool.,no_drops_title_match_or_no_volume
P0000541,conf/coco/Shaltiel01,CCC,A,Teoría,2001,2001-2005,Towards Proving Strong Direct Product Theorems.,no_drops_title_match_or_no_volume
P0000776,conf/cp/BennaceurA01,CP,A,Teoría,2001,2001-2005,Partition-k-AC: An Efficient Filtering Technique Combining Domain Partition and Arc Consistency.,no_drops_title_match_or_no_volume
P0000792,conf/cp/EreminW01,CP,A,Teoría,2001,2001-2005,Hybrid Benders Decomposition Algorithms in Constraint Logic Programming.,no_drops_title_match_or_no_volume
P0000801,conf/cp/Gennari01,CP,A,Teoría,2001,2001-2005,Translations for Comparing Soft Frameworks.,no_drops_title_match_or_no_volume
P0000817,conf/cp/MattioliMJSG01,CP,A,Teoría,2001,2001-2005,A Constraint Optimization Framework for Mapping a Digital Signal Processing Application onto a Parallel Architecture.,no_drops_title_match_or_no_volume
P0000840,conf/cp/Solnon01,CP,A,Teoría,2001,2001-2005,Boosting Local Search with Artificial Ants.,no_drops_title_match_or_no_volume
P0000845,conf/cp/VerfaillieL01,CP,A,Teoría,2001,2001-2005,Selecting and Scheduling Observations for Agile Satellites: Some Lessons from the Constraint Reasoning Community Point of View.,no_drops_title_match_or_no_volume
P0000847,conf/cp/Wolf01,CP,A,Teoría,2001,2001-2005,Adaptive Constraint Handling with CHR in Java.,no_drops_title_match_or_no_volume
P0001311,conf/sigecom/AbergSM01,EC,A*,Teoría,2001,2001-2005,User modelling for live help systems: initial results.,no_drops_title_match_or_no_volume
P0001324,conf/sigecom/GoldszmidtPS01,EC,A*,Teoría,2001,2001-2005,On the quantification of e-business capacity.,no_drops_title_match_or_no_volume
P0001328,conf/sigecom/HornePS01,EC,A*,Teoría,2001,2001-2005,Escrow services and incentives in peer-to-peer networks.,no_drops_title_match_or_no_volume
P0001396,conf/ecoop/CaromelV01,ECOOP,A,Ing. del Software,2001,2001-2005,"Reflections on MOPs, Components, and Java Security.",no_drops_title_match_or_no_volume
P0001398,conf/ecoop/Cockburn01,ECOOP,A,Ing. del Software,2001,2001-2005,People and the Limits of Methodology.,no_drops_title_match_or_no_volume
P0001399,conf/ecoop/DrossopoulouDDG01,ECOOP,A,Ing. del Software,2001,2001-2005,Fickle : Dynamic Object Re-classification.,no_drops_title_match_or_no_volume
