congress,year,volume,label,target_papers,drops_papers,matched_papers,country_evidence_rows,seconds
APPROX/RANDOM,2025,LIPIcs-volume-353,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques (APPROX/RANDOM 2025)",69,68,66,100,4.64
APPROX/RANDOM,2024,LIPIcs-volume-317,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques (APPROX/RANDOM 2024)",76,75,74,120,4.48
APPROX/RANDOM,2023,LIPIcs-volume-275,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques (APPROX/RANDOM 2023)",67,66,64,104,3.99
APPROX/RANDOM,2022,LIPIcs-volume-245,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques (APPROX/RANDOM 2022)",55,55,54,74,4.69
APPROX/RANDOM,2021,LIPIcs-volume-207,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques (APPROX/RANDOM 2021)",62,62,59,74,3.86
APPROX/RANDOM,2020,LIPIcs-volume-176,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques (APPROX/RANDOM 2020)",65,64,61,94,3.78
APPROX/RANDOM,2019,LIPIcs-volume-145,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques (APPROX/RANDOM 2019)",72,72,68,98,4.32
APPROX/RANDOM,2018,LIPIcs-volume-116,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques (APPROX/RANDOM 2018)",58,58,56,76,3.24
APPROX/RANDOM,2017,LIPIcs-volume-81,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques (APPROX/RANDOM 2017)",50,49,49,0,4.05
APPROX/RANDOM,2016,LIPIcs-volume-60,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques (APPROX/RANDOM 2016)",48,47,47,0,2.72
APPROX/RANDOM,2015,LIPIcs-volume-40,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques (APPROX/RANDOM 2015)",57,56,56,0,2.65
APPROX/RANDOM,2014,LIPIcs-volume-28,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques (APPROX/RANDOM 2014)",7,61,6,0,2.33
CCC,2025,LIPIcs-volume-339,40th Computational Complexity Conference (CCC 2025),15,36,14,24,2.71
CCC,2024,LIPIcs-volume-300,39th Computational Complexity Conference (CCC 2024),27,36,24,42,3.0
CCC,2023,LIPIcs-volume-264,38th Computational Complexity Conference (CCC 2023),29,36,27,39,2.42
CCC,2022,LIPIcs-volume-234,37th Computational Complexity Conference (CCC 2022),26,38,24,35,2.45
CCC,2021,LIPIcs-volume-200,36th Computational Complexity Conference (CCC 2021),5,41,5,7,2.96
CCC,2020,LIPIcs-volume-169,35th Computational Complexity Conference (CCC 2020),2,38,2,5,2.57
CCC,2019,LIPIcs-volume-137,34th Computational Complexity Conference (CCC 2019),6,32,5,6,2.39
CCC,2018,LIPIcs-volume-102,33rd Computational Complexity Conference (CCC 2018),13,28,12,19,2.29
CCC,2017,LIPIcs-volume-79,32nd Computational Complexity Conference (CCC 2017),18,33,17,0,2.27
CCC,2016,LIPIcs-volume-50,31st Conference on Computational Complexity (CCC 2016),4,34,4,0,2.22
CCC,2015,LIPIcs-volume-33,30th Conference on Computational Complexity (CCC 2015),19,30,18,0,1.88
CP,2025,LIPIcs-volume-340,31st International Conference on Principles and Practice of Constraint Programming (CP 2025),36,41,33,54,3.15
CP,2024,LIPIcs-volume-307,30th International Conference on Principles and Practice of Constraint Programming (CP 2024),28,38,26,33,2.89
CP,2023,LIPIcs-volume-280,29th International Conference on Principles and Practice of Constraint Programming (CP 2023),28,44,23,24,2.91
CP,2022,LIPIcs-volume-235,28th International Conference on Principles and Practice of Constraint Programming (CP 2022),26,40,24,30,2.8
CP,2021,LIPIcs-volume-210,27th International Conference on Principles and Practice of Constraint Programming (CP 2021),3,57,3,4,3.66
DISC,2025,LIPIcs-volume-356,39th International Symposium on Distributed Computing (DISC 2025),27,66,26,41,3.48
DISC,2024,LIPIcs-volume-319,38th International Symposium on Distributed Computing (DISC 2024),32,55,31,48,2.98
DISC,2023,LIPIcs-volume-281,37th International Symposium on Distributed Computing (DISC 2023),30,47,29,50,2.68
DISC,2022,LIPIcs-volume-246,36th International Symposium on Distributed Computing (DISC 2022),34,49,29,49,2.66
DISC,2021,LIPIcs-volume-209,35th International Symposium on Distributed Computing (DISC 2021),15,61,14,17,3.02
DISC,2020,LIPIcs-volume-179,34th International Symposium on Distributed Computing (DISC 2020),14,54,13,21,2.76
DISC,2019,LIPIcs-volume-146,33rd International Symposium on Distributed Computing (DISC 2019),9,49,8,11,2.73
DISC,2018,LIPIcs-volume-121,32nd International Symposium on Distributed Computing (DISC 2018),14,49,13,24,2.61
DISC,2017,LIPIcs-volume-91,31st International Symposium on Distributed Computing (DISC 2017),14,56,12,0,2.72
ECOOP,2025,LIPIcs-volume-333,39th European Conference on Object-Oriented Programming (ECOOP 2025),28,42,27,38,3.65
ECOOP,2024,LIPIcs-volume-313,38th European Conference on Object-Oriented Programming (ECOOP 2024),34,47,33,53,3.87
ECOOP,2023,LIPIcs-volume-263,37th European Conference on Object-Oriented Programming (ECOOP 2023),32,44,30,41,3.81
