congress,year,n_targets,n_resolved_papers,n_evidence_rows,n_candidate_works_with_countries,n_index_titles,n_fuzzy_candidates_checked,venue_query,source_id,source_status,source_display_name,query_mode,n_pages,n_raw_results,seconds_fetch,seconds_match,seconds_total,cache_hit
AAAI,2004,194,0,0,0,0,0,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,0,0,1.015,0.003,1.018,False
AAAI,2005,325,0,0,0,0,0,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,0,0,0.437,0.009,0.446,False
AAAI,2006,385,0,0,0,0,0,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,0,0,0.766,0.012,0.777,False
AAAI,2007,368,0,0,0,0,0,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,0,0,0.825,0.011,0.836,False
AAAI,2008,356,0,0,0,0,0,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,0,0,0.43,0.01,0.44,False
AAAI,2010,15,0,0,329,329,451,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,2,332,3.112,0.011,3.124,False
AAAI,2011,22,2,3,318,318,416,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,2,323,2.125,0.01,2.138,False
AAAI,2012,8,0,0,20,20,105,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,1,21,0.832,0.003,0.838,False
AAAI,2013,5,1,1,271,270,92,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,2,275,1.927,0.008,1.937,False
AAAI,2014,10,0,0,464,464,367,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,3,472,3.46,0.012,3.476,False
AAAI,2015,13,0,0,662,661,510,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,4,674,4.367,0.014,4.386,False
AAAI,2016,16,0,0,676,676,666,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,4,690,4.24,0.031,4.279,False
AAAI,2017,43,19,26,761,760,2057,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,4,781,5.004,0.029,5.041,False
AAAI,2018,28,0,0,1074,1072,2887,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,6,1101,7.181,0.045,7.237,False
AAAI,2019,48,2,2,1297,1295,7529,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,7,1341,8.883,0.033,8.927,False
AAAI,2020,56,2,2,1813,1813,9051,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,10,1863,12.2,0.043,12.258,False
AAAI,2021,53,3,4,2269,2269,10439,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,12,2327,14.702,0.051,14.772,False
AAAI,2022,47,0,0,1577,1577,6648,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,9,1618,10.011,0.062,10.093,False
AAAI,2023,52,2,2,1971,1971,12371,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,11,2021,13.008,0.053,13.079,False
AAAI,2024,61,1,1,2807,2806,21828,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,15,2866,21.419,0.149,21.594,False
AAAI,2025,315,1,2,3172,3172,107695,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,18,3485,23.314,0.282,23.619,False
AAMAS,2002,20,0,0,18,18,161,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,20,0.67,0.002,0.686,False
AAMAS,2003,11,0,0,26,26,135,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,30,0.79,0.002,0.793,False
AAMAS,2004,286,0,0,17,17,2576,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,19,0.634,0.008,0.642,False
AAMAS,2005,9,0,0,27,27,85,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,29,0.815,0.001,0.817,False
AAMAS,2006,9,0,0,38,38,42,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,39,0.727,0.002,0.729,False
AAMAS,2007,9,0,0,19,19,66,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,20,0.711,0.001,0.712,False
AAMAS,2010,328,0,0,41,41,3835,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,42,0.724,0.02,0.745,False
AAMAS,2011,276,0,0,25,25,2275,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,26,0.596,0.014,0.611,False
AAMAS,2013,321,0,0,34,34,3145,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,35,0.709,0.019,0.729,False
AAMAS,2014,378,1,2,33,33,3633,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,33,0.707,0.021,0.728,False
AAMAS,2015,363,0,0,44,44,3912,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,44,0.588,0.02,0.609,False
AAMAS,2016,280,1,2,32,32,1820,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,33,0.709,0.017,0.726,False
AAMAS,2017,316,0,0,26,26,3279,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,26,0.73,0.019,0.749,False
AAMAS,2018,389,1,1,21,21,2645,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,22,0.649,0.02,0.669,False
