congress,year,venue_id,api_version,n_targets,n_notes,n_matched_papers,n_evidence_rows,n_profiles,seconds,status
AAAI,2021,AAAI.org/2021/Conference,2,50,0,0,0,0,1.316,ok
AAAI,2022,AAAI.org/2022/Conference,2,47,0,0,0,0,1.191,ok
AAAI,2023,AAAI.org/2023/Conference,2,50,0,0,0,0,1.141,ok
AAAI,2024,AAAI.org/2024/Conference,2,60,0,0,0,0,1.191,ok
AAAI,2025,AAAI.org/2025/Conference,2,314,0,0,0,0,2.296,ok
AAMAS,2021,AAMAS/2021/Conference,2,304,0,0,0,0,1.876,ok
AAMAS,2021,ifaamas.org/AAMAS/2021/Conference,2,304,0,0,0,0,1.194,ok
AAMAS,2022,AAMAS/2022/Conference,2,305,0,0,0,0,1.637,ok
AAMAS,2022,ifaamas.org/AAMAS/2022/Conference,2,305,0,0,0,0,1.771,ok
AAMAS,2023,AAMAS/2023/Conference,2,527,0,0,0,0,1.426,ok
AAMAS,2023,ifaamas.org/AAMAS/2023/Conference,2,527,0,0,0,0,1.248,ok
AAMAS,2024,AAMAS/2024/Conference,2,459,0,0,0,0,0.928,ok
AAMAS,2024,ifaamas.org/AAMAS/2024/Conference,2,459,0,0,0,0,1.279,ok
ACMMM,2023,ACM.org/MM/2023/Conference,2,1,0,0,0,0,1.334,ok
ACMMM,2023,ACMMM.org/MM/2023/Conference,2,1,0,0,0,0,1.462,ok
ACMMM,2023,acmmm.org/MM/2023/Conference,2,1,0,0,0,0,0.935,ok
AISTATS,2021,AISTATS.cc/2021/Conference,2,455,0,0,0,0,1.271,ok
AISTATS,2022,AISTATS.cc/2022/Conference,2,492,0,0,0,0,1.434,ok
AISTATS,2022,AISTATS/2022/Conference,2,492,0,0,0,0,1.219,ok
AISTATS,2022,aistats.org/AISTATS/2022/Conference,2,492,0,0,0,0,1.163,ok
AISTATS,2023,AISTATS.cc/2023/Conference,2,496,0,0,0,0,1.437,ok
AISTATS,2023,AISTATS/2023/Conference,2,496,0,0,0,0,1.079,ok
AISTATS,2023,aistats.org/AISTATS/2023/Conference,2,496,0,0,0,0,1.175,ok
AISTATS,2024,AISTATS.cc/2024/Conference,2,547,0,0,0,0,1.18,ok
AISTATS,2024,AISTATS/2024/Conference,2,547,0,0,0,0,1.226,ok
AISTATS,2024,aistats.org/AISTATS/2024/Conference,2,547,0,0,0,0,1.223,ok
AISTATS,2025,AISTATS.cc/2025/Conference,2,583,0,0,0,0,1.011,ok
AISTATS,2025,AISTATS/2025/Conference,2,583,0,0,0,0,1.16,ok
AISTATS,2025,aistats.org/AISTATS/2025/Conference,2,583,583,576,849,1887,17.986,ok
BMVC,2021,BMVC/2021/Conference,2,435,0,0,0,0,1.161,ok
BMVC,2021,bmvc2021.org/Conference,2,435,0,0,0,0,1.02,ok
BMVC,2022,BMVC/2022/Conference,2,365,0,0,0,0,1.279,ok
BMVC,2022,bmvc2022.org/Conference,2,365,0,0,0,0,1.008,ok
BMVC,2023,BMVC/2023/Conference,2,267,0,0,0,0,1.134,ok
BMVC,2023,bmvc2023.org/Conference,2,267,0,0,0,0,1.491,ok
BMVC,2024,BMVC/2024/Conference,2,263,0,0,0,0,1.188,ok
BMVC,2024,bmvc2024.org/Conference,2,263,0,0,0,0,1.33,ok
COLT,2021,COLT.cc/2021/Conference,2,95,0,0,0,0,1.224,ok
COLT,2021,learningtheory.org/COLT/2021/Conference,2,95,0,0,0,0,1.628,ok
COLT,2022,COLT.cc/2022/Conference,2,155,0,0,0,0,1.398,ok
COLT,2022,learningtheory.org/COLT/2022/Conference,2,155,0,0,0,0,0.989,ok
COLT,2023,COLT.cc/2023/Conference,2,170,0,0,0,0,1.144,ok
COLT,2023,learningtheory.org/COLT/2023/Conference,2,170,0,0,0,0,1.196,ok
COLT,2024,COLT.cc/2024/Conference,2,170,0,0,0,0,1.567,ok
COLT,2024,learningtheory.org/COLT/2024/Conference,2,170,0,0,0,0,1.416,ok
COLT,2025,COLT.cc/2025/Conference,2,182,0,0,0,0,1.161,ok
COLT,2025,learningtheory.org/COLT/2025/Conference,2,182,0,0,0,0,1.267,ok
ECAI,2020,ECAI/2020/Conference,2,47,0,0,0,0,1.197,ok
ECAI,2023,ECAI/2023/Conference,2,2,0,0,0,0,1.051,ok
ECAI,2023,ecai2023.eu/Conference,2,2,0,0,0,0,1.336,ok
ECAI,2024,ECAI/2024/Conference,2,9,0,0,0,0,1.078,ok
ECAI,2024,ecai2024.eu/Conference,2,9,0,0,0,0,1.121,ok
ECAI,2025,ECAI/2025/Conference,2,7,0,0,0,0,1.262,ok
FAST,2021,USENIX.org/FAST/2021/Conference,2,11,0,0,0,0,1.151,ok
FAST,2022,USENIX.org/FAST/2022/Conference,2,29,0,0,0,0,1.242,ok
FAST,2023,USENIX.org/FAST/2023/Conference,2,29,0,0,0,0,1.355,ok
FAST,2024,USENIX.org/FAST/2024/Conference,2,22,0,0,0,0,1.104,ok
FAST,2025,USENIX.org/FAST/2025/Conference,2,36,0,0,0,0,1.053,ok
ICWSM,2021,AAAI.org/ICWSM/2021/Conference,2,102,0,0,0,0,1.28,ok
ICWSM,2021,ICWSM.org/2021/Conference,2,102,0,0,0,0,1.423,ok
