congress,year,venue_id,api_version,n_targets,n_notes,n_matched_papers,n_evidence_rows,n_profiles,seconds,status
ACMMM,2023,acmmm.org/MM/2023/Conference,2,1,0,0,0,0,1.0,ok
AISTATS,2022,AISTATS.cc/2022/Conference,2,492,0,0,0,0,1.629,ok
AISTATS,2023,AISTATS.cc/2023/Conference,2,496,0,0,0,0,1.139,ok
AISTATS,2024,AISTATS.cc/2024/Conference,2,547,0,0,0,0,0.993,ok
AISTATS,2025,AISTATS.cc/2025/Conference,2,583,0,0,0,0,0.952,ok
CVPR,2023,thecvf.com/CVPR/2023/Conference,2,50,0,0,0,0,1.113,ok
CVPR,2024,thecvf.com/CVPR/2024/Conference,2,93,0,0,0,0,2.418,ok
CVPR,2025,thecvf.com/CVPR/2025/Conference,2,63,0,0,0,0,1.918,ok
ECCV,2024,thecvf.com/ECCV/2024/Conference,2,44,0,0,0,0,1.808,ok
ICCV,2023,thecvf.com/ICCV/2023/Conference,2,59,0,0,0,0,0.915,ok
ICLR,2017,ICLR.cc/2017/conference,1,13,490,13,0,0,1.544,ok
ICLR,2018,ICLR.cc/2018/Conference,1,22,0,0,0,0,1.049,ok
ICLR,2019,ICLR.cc/2019/Conference,1,24,0,0,0,0,1.357,ok
ICLR,2020,ICLR.cc/2020/Conference,1,521,0,0,0,0,1.817,ok
ICLR,2021,ICLR.cc/2021/Conference,1,709,859,707,1005,2295,19.695,ok
ICLR,2022,ICLR.cc/2022/Conference,1,1094,2617,1094,1649,3998,30.165,ok
ICLR,2023,ICLR.cc/2023/Conference,1,1573,3792,1567,2404,5810,39.527,ok
ICLR,2024,ICLR.cc/2024/Conference,2,2260,2260,2253,3720,9163,52.397,ok
ICLR,2025,ICLR.cc/2025/Conference,2,3704,3703,3686,6281,15863,87.914,ok
ICML,2023,ICML.cc/2023/Conference,2,1828,1828,1822,2591,6246,22.592,ok
ICML,2024,ICML.cc/2024/Conference,2,2610,2610,2597,3986,9736,37.402,ok
ICML,2025,ICML.cc/2025/Conference,2,3257,3257,3246,5238,13579,58.114,ok
NeurIPS,2021,NeurIPS.cc/2021/Conference,1,1757,2766,1753,2487,5829,20.946,ok
NeurIPS,2022,NeurIPS.cc/2022/Conference,1,2834,2824,2669,3896,8779,26.558,ok
NeurIPS,2023,NeurIPS.cc/2023/Conference,2,3540,3218,3195,4715,10985,28.914,ok
NeurIPS,2024,NeurIPS.cc/2024/Conference,2,4494,4035,4022,6241,15684,49.234,ok
UAI,2022,auai.org/UAI/2022/Conference,2,230,0,0,0,0,1.283,ok
UAI,2023,auai.org/UAI/2023/Conference,2,243,0,0,0,0,0.907,ok
UAI,2024,auai.org/UAI/2024/Conference,2,201,200,199,268,727,2.523,ok
UAI,2025,auai.org/UAI/2025/Conference,2,229,229,224,327,788,3.541,ok
