congress,level,area,total_papers,resolved_papers,unresolved_papers,coverage_pct
USENIX,A,Sistemas,1057,30,1027,2.84
NDSS,A*,Seguridad,1426,117,1309,8.2
ICAPS,A*,IA / ML,1258,147,1111,11.69
USENIX-Security,A*,Seguridad,2819,497,2322,17.63
AISTATS,A,IA / ML,4370,879,3491,20.11
OSDI,A*,Sistemas,611,141,470,23.08
AAMAS,A,IA / ML,6713,1642,5071,24.46
UAI,A,IA / ML,2849,763,2086,26.78
FAST,A,Sistemas,565,155,410,27.43
ICWSM,A,IA / ML,1952,575,1377,29.46
CIDR,A,Bases de datos,661,195,466,29.5
COLT,A*,Teoría,1922,671,1251,34.91
BMVC,A,IA / ML,4127,1483,2644,35.93
Interspeech,A,IA / ML,21223,8941,12282,42.13
SODA,A*,Teoría,3794,1853,1941,48.84
KR,A*,IA / ML,1147,561,586,48.91
HotOS,A,Sistemas,394,200,194,50.76
ACL,A*,IA / ML,9617,5221,4396,54.29
EMNLP,A*,IA / ML,9202,5589,3613,60.74
EACL,A,IA / ML,1186,722,464,60.88
SDM,A,IA / ML,2055,1327,728,64.57
IJCAI,A*,IA / ML,12126,7911,4215,65.24
AIED,A,IA / ML,1122,738,384,65.78
SOUPS,A,Seguridad,353,237,116,67.14
NeurIPS,A*,IA / ML,22876,15427,7449,67.44
ICML,A*,IA / ML,15644,10579,5065,67.62
NAACL,A,IA / ML,1643,1196,447,72.79
SIGGRAPH,A*,HCI,8892,6501,2391,73.11
ALENEX,A,Teoría,376,277,99,73.67
VLDB,A*,Bases de datos,5792,4795,997,82.79
ECAI,A,IA / ML,3972,3308,664,83.28
APPROX/RANDOM,A,Teoría,1254,1061,193,84.61
SC,A,Sistemas,2346,1993,353,84.95
SiggraphA,A*,HCI,2060,1760,300,85.44
SoCG,A*,Teoría,951,823,128,86.54
STACS,A,Teoría,1477,1289,188,87.27
IEEE VIS,A,HCI,477,417,60,87.42
RAID,A,Seguridad,690,609,81,88.26
DATE,A,Sistemas,7874,6973,901,88.56
FOGA,A,IA / ML,205,182,23,88.78
CCC,A,Teoría,841,748,93,88.94
AAAI,A*,IA / ML,21756,19369,2387,89.03
ICDT,A,Bases de datos,538,487,51,90.52
CADE,A,Teoría,477,438,39,91.82
CGO,A,Ing. del Software,680,626,54,92.06
HPDC,A,Sistemas,971,895,76,92.17
MICCAI,A,IA / ML,14260,13149,1111,92.21
EASE,A,Ing. del Software,911,841,70,92.32
ITC,A,Sistemas,2450,2264,186,92.41
SAT,A,Teoría,824,763,61,92.6
RE,A,Ing. del Software,1548,1434,114,92.64
HRI,A*,HCI,2346,2180,166,92.92
VR,A*,HCI,2716,2529,187,93.11
ACSAC,A,Seguridad,1339,1247,92,93.13
ICSA,A,Ing. del Software,193,180,13,93.26
MODELS,A,Ing. del Software,815,762,53,93.5
FC,A,Seguridad,755,706,49,93.51
ICALP,A*,Teoría,2067,1939,128,93.81
ICLR,A*,IA / ML,10241,9612,629,93.86
Middleware,A,Sistemas,595,561,34,94.29
ICWS,A,Redes,2542,2397,145,94.3
ISMB,A,Bioinformática,93,88,5,94.62
FPGA,A,Sistemas,1420,1344,76,94.65
ICCAD,A,Sistemas,3711,3517,194,94.77
EuroCrypt,A*,Seguridad,498,473,25,94.98
GECCO,A,IA / ML,5144,4895,249,95.16
DISC,A,Sistemas,1162,1106,56,95.18
ICST,A,Ing. del Software,1096,1044,52,95.26
CHES,A,Seguridad,552,527,25,95.47
ITCS,A,Teoría,1010,966,44,95.64
ISMAR,A*,HCI,1678,1605,73,95.65
ECOOP,A,Ing. del Software,756,726,30,96.03
PETS,A,Seguridad,1011,972,39,96.14
CP,A,Teoría,1614,1553,61,96.22
