year,total_papers,resolved_papers,unresolved_papers,coverage_pct
2001,8632,6854,1778,79.4
2002,9779,7751,2028,79.26
2003,11563,9167,2396,79.28
2004,12503,10009,2494,80.05
2005,13761,10989,2772,79.86
2006,14429,11636,2793,80.64
2007,15460,12658,2802,81.88
2008,14768,12738,2030,86.25
2009,15138,13488,1650,89.1
2010,15293,13300,1993,86.97
2011,16920,13926,2994,82.3
2012,15871,13880,1991,87.46
2013,17453,14693,2760,84.19
2014,17590,15094,2496,85.81
2015,18756,15518,3238,82.74
2016,19351,15701,3650,81.14
2017,20748,17625,3123,84.95
2018,22917,19314,3603,84.28
2019,25989,21941,4048,84.42
2020,29712,24694,5018,83.11
2021,32085,28137,3948,87.7
2022,33677,29008,4669,86.14
2023,39779,35515,4264,89.28
2024,47104,40043,7061,85.01
2025,45866,38836,7030,84.67
