area,window,n_articles
Bases de datos,2001-2005,5288
Bases de datos,2006-2010,8749
Bases de datos,2011-2015,9828
Bases de datos,2016-2020,12253
Bases de datos,2021-2025,17458
Bioinformática,2001-2005,43
Bioinformática,2006-2010,50
HCI,2001-2005,4961
HCI,2006-2010,7433
HCI,2011-2015,9731
HCI,2016-2020,11424
HCI,2021-2025,12024
IA / ML,2001-2005,24140
IA / ML,2006-2010,32728
IA / ML,2011-2015,38985
IA / ML,2016-2020,64697
IA / ML,2021-2025,130955
Ing. del Software,2001-2005,3898
Ing. del Software,2006-2010,5611
Ing. del Software,2011-2015,6987
Ing. del Software,2016-2020,6202
Ing. del Software,2021-2025,7189
Redes,2001-2005,2042
Redes,2006-2010,3533
Redes,2011-2015,4130
Redes,2016-2020,3689
Redes,2021-2025,4303
Seguridad,2001-2005,1694
Seguridad,2006-2010,2241
Seguridad,2011-2015,2808
Seguridad,2016-2020,3498
Seguridad,2021-2025,6475
Sistemas,2001-2005,9648
Sistemas,2006-2010,10542
Sistemas,2011-2015,9312
Sistemas,2016-2020,10366
Sistemas,2021-2025,11873
Teoría,2001-2005,4524
Teoría,2006-2010,4201
Teoría,2011-2015,4809
Teoría,2016-2020,6588
Teoría,2021-2025,8234
