congress,area,level,total_articles,resolved_articles,eu27_uk_articles,spain_articles,unresolved_articles,coverage_rate,coverage_pct,spain_share_world_resolved,spain_share_eu27_uk,spain_share_eu27_uk_pct,area_report_label,2001-2005,2006-2010,2011-2015,2016-2020,2021-2025
IROS,IA / ML,A,23281,22864,7632,573,417,0.982088,98.209,0.025061,0.075079,7.508,IA / ML,87,156,123,120,87
ICRA,IA / ML,A*,23565,23122,7272,543,443,0.981201,98.12,0.023484,0.07467,7.467,IA / ML,111,137,144,67,84
MICCAI,IA / ML,A,14260,13149,5307,335,1111,0.92209,92.209,0.025477,0.063124,6.312,IA / ML,21,38,47,100,129
Interspeech,IA / ML,A,21223,8941,4194,290,12282,0.421288,42.129,0.032435,0.069146,6.915,IA / ML,63,106,69,38,14
GECCO,IA / ML,A,5144,4895,2418,253,249,0.951594,95.159,0.051685,0.104632,10.463,IA / ML,15,98,49,39,52
IPDPS,Sistemas,A,5528,5386,1727,212,142,0.974313,97.431,0.039361,0.122756,12.276,"Sistemas, arquitectura y computación",74,86,23,14,15
DATE,Sistemas,A,7874,6973,3297,206,901,0.885573,88.557,0.029543,0.062481,6.248,"Sistemas, arquitectura y computación",42,40,43,33,48
CVPR,IA / ML,A*,21243,20768,5370,200,475,0.97764,97.764,0.00963,0.037244,3.724,IA / ML,0,32,49,51,68
ECAI,IA / ML,A,3972,3308,2003,170,664,0.83283,83.283,0.051391,0.084873,8.487,IA / ML,15,35,24,38,58
SIGIR,Bases de datos,A*,6294,6272,1899,163,22,0.996505,99.65,0.025989,0.085835,8.583,Bases de datos,7,47,57,22,30
CIKM,Bases de datos,A,8847,8813,1913,141,34,0.996157,99.616,0.015999,0.073706,7.371,Bases de datos,1,36,65,19,20
ICDAR,IA / ML,A,2571,2510,956,137,61,0.976274,97.627,0.054582,0.143305,14.331,IA / ML,8,31,64,34,0
AAAI,IA / ML,A*,21756,19369,4261,137,2387,0.890283,89.028,0.007073,0.032152,3.215,IA / ML,0,4,22,33,78
IJCAI,IA / ML,A*,12126,7911,2436,133,4215,0.6524,65.24,0.016812,0.054598,5.46,IA / ML,11,6,14,54,48
ER,Bases de datos,A,1039,1018,624,131,21,0.979788,97.979,0.128684,0.209936,20.994,Bases de datos,20,25,38,33,15
