window,country_code,country_articles,eu27_uk_articles,resolved_articles,country_name,is_eu27_uk,share_resolved,share_resolved_pct,share_eu27_uk,share_eu27_uk_pct
2001-2005,US,22367,14240,44770,United States,False,0.499598,49.96,1.570716,157.072
2001-2005,JP,3596,14240,44770,Japan,False,0.080322,8.032,0.252528,25.253
2001-2005,DE,3145,14240,44770,Germany,True,0.070248,7.025,0.220857,22.086
2001-2005,GB,2998,14240,44770,United Kingdom,True,0.066964,6.696,0.210534,21.053
2001-2005,FR,2545,14240,44770,France,True,0.056846,5.685,0.178722,17.872
2001-2005,CA,2475,14240,44770,Canada,False,0.055283,5.528,0.173806,17.381
2001-2005,IT,1507,14240,44770,Italy,True,0.033661,3.366,0.105829,10.583
2001-2005,CN,1249,14240,44770,China,False,0.027898,2.79,0.087711,8.771
2001-2005,IL,1098,14240,44770,Israel,False,0.024525,2.453,0.077107,7.711
2001-2005,NL,1091,14240,44770,Netherlands,True,0.024369,2.437,0.076615,7.662
2001-2005,ES,967,14240,44770,Spain,True,0.021599,2.16,0.067907,6.791
2001-2005,AU,946,14240,44770,Australia,False,0.02113,2.113,0.066433,6.643
2001-2005,CH,936,14240,44770,Switzerland,False,0.020907,2.091,0.06573,6.573
2001-2005,KR,920,14240,44770,South Korea,False,0.020549,2.055,0.064607,6.461
2001-2005,TW,739,14240,44770,Taiwan,False,0.016507,1.651,0.051896,5.19
2001-2005,SG,726,14240,44770,Singapore,False,0.016216,1.622,0.050983,5.098
2001-2005,SE,612,14240,44770,Sweden,True,0.01367,1.367,0.042978,4.298
2001-2005,HK,546,14240,44770,Hong Kong,False,0.012196,1.22,0.038343,3.834
2001-2005,IN,472,14240,44770,India,False,0.010543,1.054,0.033146,3.315
2001-2005,BE,454,14240,44770,Belgium,True,0.010141,1.014,0.031882,3.188
2001-2005,BR,349,14240,44770,Brazil,False,0.007795,0.78,0.024508,2.451
2001-2005,GR,345,14240,44770,Greece,True,0.007706,0.771,0.024228,2.423
2001-2005,FI,333,14240,44770,Finland,True,0.007438,0.744,0.023385,2.338
2001-2005,AT,332,14240,44770,Austria,True,0.007416,0.742,0.023315,2.331
2001-2005,DK,264,14240,44770,Denmark,True,0.005897,0.59,0.018539,1.854
2001-2005,PT,230,14240,44770,Portugal,True,0.005137,0.514,0.016152,1.615
2001-2005,IE,226,14240,44770,Ireland,True,0.005048,0.505,0.015871,1.587
2001-2005,CZ,190,14240,44770,Czechia,True,0.004244,0.424,0.013343,1.334
2001-2005,PL,151,14240,44770,Poland,True,0.003373,0.337,0.010604,1.06
2001-2005,HU,130,14240,44770,HU,True,0.002904,0.29,0.009129,0.913
2001-2005,MX,125,14240,44770,MX,False,0.002792,0.279,0.008778,0.878
2001-2005,RU,116,14240,44770,RU,False,0.002591,0.259,0.008146,0.815
2001-2005,NO,110,14240,44770,Norway,False,0.002457,0.246,0.007725,0.772
2001-2005,NZ,104,14240,44770,NZ,False,0.002323,0.232,0.007303,0.73
2001-2005,TR,86,14240,44770,TR,False,0.001921,0.192,0.006039,0.604
2001-2005,SI,74,14240,44770,SI,True,0.001653,0.165,0.005197,0.52
2001-2005,IR,60,14240,44770,IR,False,0.00134,0.134,0.004213,0.421
2001-2005,TH,56,14240,44770,TH,False,0.001251,0.125,0.003933,0.393
2001-2005,AR,38,14240,44770,AR,False,0.000849,0.085,0.002669,0.267
2001-2005,BI,32,14240,44770,BI,False,0.000715,0.071,0.002247,0.225
2001-2005,RO,31,14240,44770,RO,True,0.000692,0.069,0.002177,0.218
2001-2005,CL,29,14240,44770,CL,False,0.000648,0.065,0.002037,0.204
2001-2005,SK,29,14240,44770,SK,True,0.000648,0.065,0.002037,0.204
2001-2005,EG,27,14240,44770,EG,False,0.000603,0.06,0.001896,0.19
2001-2005,CY,25,14240,44770,CY,True,0.000558,0.056,0.001756,0.176
2001-2005,BG,22,14240,44770,BG,True,0.000491,0.049,0.001545,0.154
2001-2005,MY,20,14240,44770,MY,False,0.000447,0.045,0.001404,0.14
2001-2005,CO,18,14240,44770,CO,False,0.000402,0.04,0.001264,0.126
2001-2005,ZA,18,14240,44770,ZA,False,0.000402,0.04,0.001264,0.126
2001-2005,TN,17,14240,44770,TN,False,0.00038,0.038,0.001194,0.119
2001-2005,BM,15,14240,44770,BM,False,0.000335,0.034,0.001053,0.105
2001-2005,EE,14,14240,44770,EE,True,0.000313,0.031,0.000983,0.098
2001-2005,PH,13,14240,44770,PH,False,0.00029,0.029,0.000913,0.091
2001-2005,AE,12,14240,44770,AE,False,0.000268,0.027,0.000843,0.084
