window,country_code,country_articles,eu27_uk_articles,resolved_articles,country_name,is_eu27_uk,share_resolved,share_resolved_pct,share_eu27_uk,share_eu27_uk_pct
2001-2005,GB,2998,14240,44770,United Kingdom,True,0.066964,6.696,0.210534,21.053
2001-2005,DE,3145,14240,44770,Germany,True,0.070248,7.025,0.220857,22.086
2001-2005,FR,2545,14240,44770,France,True,0.056846,5.685,0.178722,17.872
2001-2005,IT,1507,14240,44770,Italy,True,0.033661,3.366,0.105829,10.583
2001-2005,NL,1091,14240,44770,Netherlands,True,0.024369,2.437,0.076615,7.662
2001-2005,ES,967,14240,44770,Spain,True,0.021599,2.16,0.067907,6.791
2001-2005,PT,230,14240,44770,Portugal,True,0.005137,0.514,0.016152,1.615
2006-2010,GB,4855,22048,63820,United Kingdom,True,0.076073,7.607,0.220201,22.02
2006-2010,DE,5350,22048,63820,Germany,True,0.08383,8.383,0.242652,24.265
2006-2010,FR,4093,22048,63820,France,True,0.064134,6.413,0.18564,18.564
2006-2010,IT,2132,22048,63820,Italy,True,0.033406,3.341,0.096698,9.67
2006-2010,NL,1614,22048,63820,Netherlands,True,0.02529,2.529,0.073204,7.32
2006-2010,ES,1680,22048,63820,Spain,True,0.026324,2.632,0.076197,7.62
2006-2010,PT,411,22048,63820,Portugal,True,0.00644,0.644,0.018641,1.864
2011-2015,GB,5981,26136,73111,United Kingdom,True,0.081807,8.181,0.228841,22.884
2011-2015,DE,6970,26136,73111,Germany,True,0.095334,9.533,0.266682,26.668
2011-2015,FR,4508,26136,73111,France,True,0.06166,6.166,0.172482,17.248
2011-2015,IT,2560,26136,73111,Italy,True,0.035015,3.502,0.097949,9.795
2011-2015,NL,1742,26136,73111,Netherlands,True,0.023827,2.383,0.066651,6.665
2011-2015,ES,1909,26136,73111,Spain,True,0.026111,2.611,0.073041,7.304
2011-2015,PT,570,26136,73111,Portugal,True,0.007796,0.78,0.021809,2.181
2016-2020,GB,8966,31263,99275,United Kingdom,True,0.090315,9.031,0.286793,28.679
2016-2020,DE,8270,31263,99275,Germany,True,0.083304,8.33,0.26453,26.453
2016-2020,FR,4674,31263,99275,France,True,0.047081,4.708,0.149506,14.951
2016-2020,IT,2796,31263,99275,Italy,True,0.028164,2.816,0.089435,8.943
2016-2020,NL,2370,31263,99275,Netherlands,True,0.023873,2.387,0.075808,7.581
2016-2020,ES,1536,31263,99275,Spain,True,0.015472,1.547,0.049132,4.913
2016-2020,PT,557,31263,99275,Portugal,True,0.005611,0.561,0.017817,1.782
2021-2025,GB,14709,47038,171539,United Kingdom,True,0.085747,8.575,0.312705,31.27
2021-2025,DE,12955,47038,171539,Germany,True,0.075522,7.552,0.275416,27.542
2021-2025,FR,6337,47038,171539,France,True,0.036942,3.694,0.134721,13.472
2021-2025,IT,4069,47038,171539,Italy,True,0.023721,2.372,0.086505,8.65
2021-2025,NL,3865,47038,171539,Netherlands,True,0.022531,2.253,0.082168,8.217
2021-2025,ES,1990,47038,171539,Spain,True,0.011601,1.16,0.042306,4.231
2021-2025,PT,615,47038,171539,Portugal,True,0.003585,0.359,0.013075,1.307
