level,window,country_code,country_articles,eu27_uk_articles,resolved_articles,country_name,is_eu27_uk,share_eu27_uk,share_eu27_uk_pct
A*,2001-2005,US,11051,5132,19335,United States,False,2.153352,215.335
A*,2001-2005,JP,1431,5132,19335,Japan,False,0.278839,27.884
A*,2001-2005,GB,1229,5132,19335,United Kingdom,True,0.239478,23.948
A*,2001-2005,DE,1160,5132,19335,Germany,True,0.226033,22.603
A*,2001-2005,CA,1159,5132,19335,Canada,False,0.225838,22.584
A*,2001-2005,FR,976,5132,19335,France,True,0.190179,19.018
A*,2001-2005,IL,670,5132,19335,Israel,False,0.130553,13.055
A*,2001-2005,CN,566,5132,19335,China,False,0.110288,11.029
A*,2001-2005,IT,536,5132,19335,Italy,True,0.104443,10.444
A*,2001-2005,KR,374,5132,19335,South Korea,False,0.072876,7.288
A*,2001-2005,CH,366,5132,19335,Switzerland,False,0.071317,7.132
A*,2001-2005,AU,357,5132,19335,Australia,False,0.069564,6.956
A*,2001-2005,SG,339,5132,19335,Singapore,False,0.066056,6.606
A*,2001-2005,ES,283,5132,19335,Spain,True,0.055144,5.514
A*,2001-2005,NL,278,5132,19335,Netherlands,True,0.05417,5.417
A*,2001-2005,HK,277,5132,19335,Hong Kong,False,0.053975,5.398
A*,2001-2005,TW,257,5132,19335,Taiwan,False,0.050078,5.008
A*,2001-2005,SE,245,5132,19335,Sweden,True,0.04774,4.774
A*,2001-2005,IN,193,5132,19335,India,False,0.037607,3.761
A*,2001-2005,AT,138,5132,19335,Austria,True,0.02689,2.689
A*,2001-2005,BE,131,5132,19335,Belgium,True,0.025526,2.553
A*,2001-2005,FI,129,5132,19335,Finland,True,0.025136,2.514
A*,2001-2005,DK,122,5132,19335,Denmark,True,0.023772,2.377
A*,2001-2005,GR,116,5132,19335,Greece,True,0.022603,2.26
A*,2001-2005,BR,97,5132,19335,Brazil,False,0.018901,1.89
A*,2001-2005,PL,62,5132,19335,Poland,True,0.012081,1.208
A*,2001-2005,IE,59,5132,19335,Ireland,True,0.011496,1.15
A*,2001-2005,PT,59,5132,19335,Portugal,True,0.011496,1.15
A*,2001-2005,CZ,56,5132,19335,Czechia,True,0.010912,1.091
A*,2001-2005,RU,54,5132,19335,RU,False,0.010522,1.052
A*,2001-2005,MX,51,5132,19335,MX,False,0.009938,0.994
A*,2001-2005,NZ,47,5132,19335,NZ,False,0.009158,0.916
A*,2001-2005,HU,40,5132,19335,HU,True,0.007794,0.779
A*,2001-2005,TR,34,5132,19335,TR,False,0.006625,0.663
A*,2001-2005,NO,30,5132,19335,Norway,False,0.005846,0.585
A*,2001-2005,SI,26,5132,19335,SI,True,0.005066,0.507
A*,2001-2005,AR,18,5132,19335,AR,False,0.003507,0.351
A*,2001-2005,TH,17,5132,19335,TH,False,0.003313,0.331
A*,2001-2005,BI,12,5132,19335,BI,False,0.002338,0.234
A*,2001-2005,CY,11,5132,19335,CY,True,0.002143,0.214
A*,2001-2005,IR,11,5132,19335,IR,False,0.002143,0.214
A*,2001-2005,CL,9,5132,19335,CL,False,0.001754,0.175
A*,2001-2005,EG,9,5132,19335,EG,False,0.001754,0.175
A*,2001-2005,MY,9,5132,19335,MY,False,0.001754,0.175
A*,2001-2005,RO,9,5132,19335,RO,True,0.001754,0.175
A*,2001-2005,JM,7,5132,19335,JM,False,0.001364,0.136
A*,2001-2005,SK,7,5132,19335,SK,True,0.001364,0.136
A*,2001-2005,SS,7,5132,19335,SS,False,0.001364,0.136
A*,2001-2005,BM,6,5132,19335,BM,False,0.001169,0.117
A*,2001-2005,VE,6,5132,19335,VE,False,0.001169,0.117
A*,2001-2005,ZA,6,5132,19335,ZA,False,0.001169,0.117
A*,2001-2005,BG,5,5132,19335,BG,True,0.000974,0.097
A*,2001-2005,PH,5,5132,19335,PH,False,0.000974,0.097
A*,2001-2005,CO,4,5132,19335,CO,False,0.000779,0.078
A*,2001-2005,MO,4,5132,19335,MO,False,0.000779,0.078
A*,2001-2005,DO,3,5132,19335,DO,False,0.000585,0.058
A*,2001-2005,EE,3,5132,19335,EE,True,0.000585,0.058
A*,2001-2005,IS,3,5132,19335,IS,False,0.000585,0.058
A*,2001-2005,LB,3,5132,19335,LB,False,0.000585,0.058
A*,2001-2005,LV,3,5132,19335,LV,True,0.000585,0.058
A*,2001-2005,NG,3,5132,19335,NG,False,0.000585,0.058
A*,2001-2005,RS,3,5132,19335,RS,False,0.000585,0.058
A*,2001-2005,SA,3,5132,19335,SA,False,0.000585,0.058
A*,2001-2005,TN,3,5132,19335,TN,False,0.000585,0.058
A*,2001-2005,VN,3,5132,19335,VN,False,0.000585,0.058
A*,2001-2005,DZ,2,5132,19335,DZ,False,0.00039,0.039
A*,2001-2005,LU,2,5132,19335,LU,True,0.00039,0.039
A*,2001-2005,MA,2,5132,19335,MA,False,0.00039,0.039
A*,2001-2005,MK,2,5132,19335,MK,False,0.00039,0.039
A*,2001-2005,MQ,2,5132,19335,MQ,False,0.00039,0.039
A*,2001-2005,PK,2,5132,19335,PK,False,0.00039,0.039
A*,2001-2005,PR,2,5132,19335,PR,False,0.00039,0.039
A*,2001-2005,SO,2,5132,19335,SO,False,0.00039,0.039
A*,2001-2005,AE,1,5132,19335,AE,False,0.000195,0.019
A*,2001-2005,BN,1,5132,19335,BN,False,0.000195,0.019
A*,2001-2005,BW,1,5132,19335,BW,False,0.000195,0.019
A*,2001-2005,BY,1,5132,19335,BY,False,0.000195,0.019
A*,2001-2005,CM,1,5132,19335,CM,False,0.000195,0.019
A*,2001-2005,CR,1,5132,19335,CR,False,0.000195,0.019
A*,2001-2005,CU,1,5132,19335,CU,False,0.000195,0.019
A*,2001-2005,GH,1,5132,19335,GH,False,0.000195,0.019
A*,2001-2005,GP,1,5132,19335,GP,False,0.000195,0.019
A*,2001-2005,HR,1,5132,19335,HR,True,0.000195,0.019
A*,2001-2005,KH,1,5132,19335,KH,False,0.000195,0.019
A*,2001-2005,LK,1,5132,19335,LK,False,0.000195,0.019
A*,2001-2005,LT,1,5132,19335,LT,True,0.000195,0.019
