area,area_report_label,window,rank_eu27_uk,country_code,country_name,country_articles,eu27_uk_articles,share_eu27_uk,share_eu27_uk_pct
Bases de datos,Bases de datos,2001-2005,1,DE,Germany,371,1377,0.269426,26.943
Bases de datos,Bases de datos,2001-2005,2,GB,United Kingdom,348,1377,0.252723,25.272
Bases de datos,Bases de datos,2001-2005,3,FR,France,154,1377,0.111837,11.184
Bases de datos,Bases de datos,2001-2005,4,IT,Italy,150,1377,0.108932,10.893
Bases de datos,Bases de datos,2001-2005,5,NL,Netherlands,120,1377,0.087146,8.715
Bases de datos,Bases de datos,2001-2005,6,ES,Spain,72,1377,0.052288,5.229
Bases de datos,Bases de datos,2001-2005,7,GR,Greece,64,1377,0.046478,4.648
Bases de datos,Bases de datos,2001-2005,8,FI,Finland,54,1377,0.039216,3.922
Bases de datos,Bases de datos,2001-2005,9,AT,Austria,32,1377,0.023239,2.324
Bases de datos,Bases de datos,2001-2005,9,DK,Denmark,32,1377,0.023239,2.324
Bases de datos,Bases de datos,2001-2005,11,BE,Belgium,29,1377,0.02106,2.106
Bases de datos,Bases de datos,2001-2005,12,IE,Ireland,28,1377,0.020334,2.033
Bases de datos,Bases de datos,2001-2005,13,PT,Portugal,15,1377,0.010893,1.089
Bases de datos,Bases de datos,2001-2005,14,SE,Sweden,14,1377,0.010167,1.017
Bases de datos,Bases de datos,2001-2005,15,PL,Poland,11,1377,0.007988,0.799
Bases de datos,Bases de datos,2001-2005,16,SI,SI,10,1377,0.007262,0.726
Bases de datos,Bases de datos,2001-2005,17,HU,HU,6,1377,0.004357,0.436
Bases de datos,Bases de datos,2001-2005,18,CZ,Czechia,5,1377,0.003631,0.363
Bases de datos,Bases de datos,2001-2005,19,BG,BG,4,1377,0.002905,0.29
Bases de datos,Bases de datos,2001-2005,20,CY,CY,2,1377,0.001452,0.145
Bases de datos,Bases de datos,2001-2005,20,RO,RO,2,1377,0.001452,0.145
Bases de datos,Bases de datos,2001-2005,22,LT,LT,1,1377,0.000726,0.073
Bases de datos,Bases de datos,2001-2005,22,LU,LU,1,1377,0.000726,0.073
Bases de datos,Bases de datos,2001-2005,22,SK,SK,1,1377,0.000726,0.073
Bases de datos,Bases de datos,2006-2010,1,GB,United Kingdom,728,2589,0.28119,28.119
Bases de datos,Bases de datos,2006-2010,2,DE,Germany,634,2589,0.244882,24.488
Bases de datos,Bases de datos,2006-2010,3,IT,Italy,293,2589,0.113171,11.317
Bases de datos,Bases de datos,2006-2010,4,NL,Netherlands,265,2589,0.102356,10.236
Bases de datos,Bases de datos,2006-2010,5,ES,Spain,235,2589,0.090769,9.077
Bases de datos,Bases de datos,2006-2010,6,FR,France,232,2589,0.08961,8.961
Bases de datos,Bases de datos,2006-2010,7,GR,Greece,120,2589,0.04635,4.635
Bases de datos,Bases de datos,2006-2010,8,BE,Belgium,89,2589,0.034376,3.438
Bases de datos,Bases de datos,2006-2010,9,IE,Ireland,87,2589,0.033604,3.36
Bases de datos,Bases de datos,2006-2010,10,FI,Finland,73,2589,0.028196,2.82
Bases de datos,Bases de datos,2006-2010,11,AT,Austria,65,2589,0.025106,2.511
Bases de datos,Bases de datos,2006-2010,12,DK,Denmark,64,2589,0.02472,2.472
Bases de datos,Bases de datos,2006-2010,13,PL,Poland,19,2589,0.007339,0.734
Bases de datos,Bases de datos,2006-2010,14,SE,Sweden,18,2589,0.006952,0.695
Bases de datos,Bases de datos,2006-2010,15,PT,Portugal,14,2589,0.005407,0.541
Bases de datos,Bases de datos,2006-2010,16,CZ,Czechia,8,2589,0.00309,0.309
Bases de datos,Bases de datos,2006-2010,17,CY,CY,7,2589,0.002704,0.27
Bases de datos,Bases de datos,2006-2010,17,SI,SI,7,2589,0.002704,0.27
Bases de datos,Bases de datos,2006-2010,19,SK,SK,5,2589,0.001931,0.193
Bases de datos,Bases de datos,2006-2010,20,EE,EE,4,2589,0.001545,0.154
Bases de datos,Bases de datos,2006-2010,20,HU,HU,4,2589,0.001545,0.154
Bases de datos,Bases de datos,2006-2010,20,MT,MT,4,2589,0.001545,0.154
Bases de datos,Bases de datos,2006-2010,23,HR,HR,3,2589,0.001159,0.116
Bases de datos,Bases de datos,2006-2010,24,BG,BG,2,2589,0.000772,0.077
Bases de datos,Bases de datos,2006-2010,25,LU,LU,1,2589,0.000386,0.039
Bases de datos,Bases de datos,2011-2015,1,GB,United Kingdom,763,2905,0.262651,26.265
Bases de datos,Bases de datos,2011-2015,2,DE,Germany,748,2905,0.257487,25.749
Bases de datos,Bases de datos,2011-2015,3,IT,Italy,362,2905,0.124613,12.461
Bases de datos,Bases de datos,2011-2015,4,FR,France,333,2905,0.11463,11.463
Bases de datos,Bases de datos,2011-2015,5,ES,Spain,317,2905,0.109122,10.912
Bases de datos,Bases de datos,2011-2015,6,NL,Netherlands,282,2905,0.097074,9.707
Bases de datos,Bases de datos,2011-2015,7,GR,Greece,150,2905,0.051635,5.164
Bases de datos,Bases de datos,2011-2015,8,BE,Belgium,113,2905,0.038898,3.89
Bases de datos,Bases de datos,2011-2015,9,DK,Denmark,109,2905,0.037522,3.752
