level,window,rank_eu27_uk,country_code,country_name,country_articles,eu27_uk_articles,share_eu27_uk,share_eu27_uk_pct
A*,2001-2005,1,GB,United Kingdom,1229,5132,0.239478,23.948
A*,2001-2005,2,DE,Germany,1160,5132,0.226033,22.603
A*,2001-2005,3,FR,France,976,5132,0.190179,19.018
A*,2001-2005,4,IT,Italy,536,5132,0.104443,10.444
A*,2001-2005,5,ES,Spain,283,5132,0.055144,5.514
A*,2001-2005,6,NL,Netherlands,278,5132,0.05417,5.417
A*,2001-2005,7,SE,Sweden,245,5132,0.04774,4.774
A*,2001-2005,8,AT,Austria,138,5132,0.02689,2.689
A*,2001-2005,9,BE,Belgium,131,5132,0.025526,2.553
A*,2001-2005,10,FI,Finland,129,5132,0.025136,2.514
A*,2001-2005,11,DK,Denmark,122,5132,0.023772,2.377
A*,2001-2005,12,GR,Greece,116,5132,0.022603,2.26
A*,2001-2005,13,PL,Poland,62,5132,0.012081,1.208
A*,2001-2005,14,IE,Ireland,59,5132,0.011496,1.15
A*,2001-2005,14,PT,Portugal,59,5132,0.011496,1.15
A*,2001-2005,16,CZ,Czechia,56,5132,0.010912,1.091
A*,2001-2005,17,HU,HU,40,5132,0.007794,0.779
A*,2001-2005,18,SI,SI,26,5132,0.005066,0.507
A*,2001-2005,19,CY,CY,11,5132,0.002143,0.214
A*,2001-2005,20,RO,RO,9,5132,0.001754,0.175
A*,2001-2005,21,SK,SK,7,5132,0.001364,0.136
A*,2001-2005,22,BG,BG,5,5132,0.000974,0.097
A*,2001-2005,23,EE,EE,3,5132,0.000585,0.058
A*,2001-2005,23,LV,LV,3,5132,0.000585,0.058
A*,2001-2005,25,LU,LU,2,5132,0.00039,0.039
A*,2001-2005,26,HR,HR,1,5132,0.000195,0.019
A*,2001-2005,26,LT,LT,1,5132,0.000195,0.019
A*,2001-2005,26,MT,MT,1,5132,0.000195,0.019
A*,2006-2010,1,GB,United Kingdom,2062,8215,0.251004,25.1
A*,2006-2010,2,DE,Germany,1993,8215,0.242605,24.26
A*,2006-2010,3,FR,France,1588,8215,0.193305,19.33
A*,2006-2010,4,IT,Italy,770,8215,0.093731,9.373
A*,2006-2010,5,ES,Spain,528,8215,0.064273,6.427
A*,2006-2010,6,NL,Netherlands,509,8215,0.06196,6.196
A*,2006-2010,7,AT,Austria,269,8215,0.032745,3.274
A*,2006-2010,8,SE,Sweden,261,8215,0.031771,3.177
A*,2006-2010,9,BE,Belgium,255,8215,0.031041,3.104
A*,2006-2010,10,GR,Greece,214,8215,0.02605,2.605
A*,2006-2010,11,FI,Finland,213,8215,0.025928,2.593
A*,2006-2010,12,DK,Denmark,189,8215,0.023007,2.301
A*,2006-2010,13,IE,Ireland,112,8215,0.013634,1.363
A*,2006-2010,14,CZ,Czechia,98,8215,0.011929,1.193
A*,2006-2010,15,PT,Portugal,91,8215,0.011077,1.108
A*,2006-2010,16,PL,Poland,80,8215,0.009738,0.974
A*,2006-2010,17,HU,HU,67,8215,0.008156,0.816
A*,2006-2010,18,SI,SI,30,8215,0.003652,0.365
A*,2006-2010,19,CY,CY,19,8215,0.002313,0.231
A*,2006-2010,20,LU,LU,16,8215,0.001948,0.195
A*,2006-2010,21,HR,HR,12,8215,0.001461,0.146
A*,2006-2010,22,EE,EE,10,8215,0.001217,0.122
A*,2006-2010,23,SK,SK,9,8215,0.001096,0.11
A*,2006-2010,24,RO,RO,8,8215,0.000974,0.097
A*,2006-2010,25,LV,LV,5,8215,0.000609,0.061
A*,2006-2010,26,MT,MT,3,8215,0.000365,0.037
A*,2006-2010,27,BG,BG,2,8215,0.000243,0.024
A*,2011-2015,1,GB,United Kingdom,3154,11592,0.272084,27.208
A*,2011-2015,2,DE,Germany,3062,11592,0.264148,26.415
A*,2011-2015,3,FR,France,1945,11592,0.167788,16.779
A*,2011-2015,4,IT,Italy,1082,11592,0.09334,9.334
A*,2011-2015,5,ES,Spain,713,11592,0.061508,6.151
A*,2011-2015,6,NL,Netherlands,630,11592,0.054348,5.435
A*,2011-2015,7,AT,Austria,524,11592,0.045204,4.52
A*,2011-2015,8,SE,Sweden,404,11592,0.034852,3.485
A*,2011-2015,9,BE,Belgium,364,11592,0.031401,3.14
A*,2011-2015,10,DK,Denmark,330,11592,0.028468,2.847
A*,2011-2015,11,GR,Greece,318,11592,0.027433,2.743
A*,2011-2015,12,FI,Finland,247,11592,0.021308,2.131
A*,2011-2015,13,PT,Portugal,192,11592,0.016563,1.656
A*,2011-2015,14,IE,Ireland,181,11592,0.015614,1.561
A*,2011-2015,15,CZ,Czechia,154,11592,0.013285,1.329
