window,rank_eu27_uk,country_code,country_name,country_articles,eu27_uk_articles,share_eu27_uk,share_eu27_uk_pct
2001-2005,1,DE,Germany,3145,14240,0.220857,22.086
2001-2005,2,GB,United Kingdom,2998,14240,0.210534,21.053
2001-2005,3,FR,France,2545,14240,0.178722,17.872
2001-2005,4,IT,Italy,1507,14240,0.105829,10.583
2001-2005,5,NL,Netherlands,1091,14240,0.076615,7.662
2001-2005,6,ES,Spain,967,14240,0.067907,6.791
2001-2005,7,SE,Sweden,612,14240,0.042978,4.298
2001-2005,8,BE,Belgium,454,14240,0.031882,3.188
2001-2005,9,GR,Greece,345,14240,0.024228,2.423
2001-2005,10,FI,Finland,333,14240,0.023385,2.338
2001-2005,11,AT,Austria,332,14240,0.023315,2.331
2001-2005,12,DK,Denmark,264,14240,0.018539,1.854
2001-2005,13,PT,Portugal,230,14240,0.016152,1.615
2001-2005,14,IE,Ireland,226,14240,0.015871,1.587
2001-2005,15,CZ,Czechia,190,14240,0.013343,1.334
2001-2005,16,PL,Poland,151,14240,0.010604,1.06
2001-2005,17,HU,HU,130,14240,0.009129,0.913
2001-2005,18,SI,SI,74,14240,0.005197,0.52
2001-2005,19,RO,RO,31,14240,0.002177,0.218
2001-2005,20,SK,SK,29,14240,0.002037,0.204
2001-2005,21,CY,CY,25,14240,0.001756,0.176
2001-2005,22,BG,BG,22,14240,0.001545,0.154
2001-2005,23,EE,EE,14,14240,0.000983,0.098
2001-2005,24,HR,HR,12,14240,0.000843,0.084
2001-2005,24,LU,LU,12,14240,0.000843,0.084
2001-2005,26,LV,LV,11,14240,0.000772,0.077
2001-2005,27,LT,LT,5,14240,0.000351,0.035
2001-2005,28,MT,MT,1,14240,7e-05,0.007
2006-2010,1,DE,Germany,5350,22048,0.242652,24.265
2006-2010,2,GB,United Kingdom,4855,22048,0.220201,22.02
2006-2010,3,FR,France,4093,22048,0.18564,18.564
2006-2010,4,IT,Italy,2132,22048,0.096698,9.67
2006-2010,5,ES,Spain,1680,22048,0.076197,7.62
2006-2010,6,NL,Netherlands,1614,22048,0.073204,7.32
2006-2010,7,BE,Belgium,743,22048,0.033699,3.37
