country_code,country_name,articles_2001_2005,share_eu27_uk_pct_2001_2005,articles_2021_2025,share_eu27_uk_pct_2021_2025,growth_factor,delta_articles,delta_share_eu27_uk_pct,is_primary_comparator
GB,United Kingdom,2998,21.053,14709,31.27,4.906271,11711,10.217,True
DE,Germany,3145,22.086,12955,27.542,4.119237,9810,5.456,True
NL,Netherlands,1091,7.662,3865,8.217,3.542621,2774,0.555,True
IT,Italy,1507,10.583,4069,8.65,2.700066,2562,-1.933,True
PT,Portugal,230,1.615,615,1.307,2.673913,385,-0.308,True
FR,France,2545,17.872,6337,13.472,2.48998,3792,-4.4,True
ES,Spain,967,6.791,1990,4.231,2.057911,1023,-2.56,True
LU,LU,12,0.084,324,0.689,27.0,312,0.605,False
MT,MT,1,0.007,11,0.023,11.0,10,0.016,False
EE,EE,14,0.098,126,0.268,9.0,112,0.17,False
PL,Poland,151,1.06,1160,2.466,7.682119,1009,1.406,False
AT,Austria,332,2.331,2217,4.713,6.677711,1885,2.382,False
DK,Denmark,264,1.854,1710,3.635,6.477273,1446,1.781,False
RO,RO,31,0.218,141,0.3,4.548387,110,0.082,False
BG,BG,22,0.154,95,0.202,4.318182,73,0.048,False
HR,HR,12,0.084,51,0.108,4.25,39,0.024,False
CZ,Czechia,190,1.334,780,1.658,4.105263,590,0.324,False
CY,CY,25,0.176,97,0.206,3.88,72,0.03,False
SK,SK,29,0.204,110,0.234,3.793103,81,0.03,False
SE,Sweden,612,4.298,2187,4.649,3.573529,1575,0.351,False
FI,Finland,333,2.338,1107,2.353,3.324324,774,0.015,False
BE,Belgium,454,3.188,1236,2.628,2.722467,782,-0.56,False
IE,Ireland,226,1.587,542,1.152,2.39823,316,-0.435,False
LT,LT,5,0.035,10,0.021,2.0,5,-0.014,False
GR,Greece,345,2.423,648,1.378,1.878261,303,-1.045,False
SI,SI,74,0.52,123,0.261,1.662162,49,-0.259,False
HU,HU,130,0.913,169,0.359,1.3,39,-0.554,False
LV,LV,11,0.077,11,0.023,1.0,0,-0.054,False
