level,window,total_articles,resolved_articles,eu27_uk_articles,spain_articles,unresolved_articles,coverage_rate,coverage_pct,spain_share_world_resolved,spain_share_eu27_uk,spain_share_eu27_uk_pct
A*,2001-2005,24748,19335,5132,283,5413,0.781275,78.128,0.014637,0.055144,5.514
A*,2006-2010,35427,28455,8215,528,6972,0.803201,80.32,0.018556,0.064273,6.427
A*,2011-2015,44461,37322,11592,713,7139,0.839432,83.943,0.019104,0.061508,6.151
A*,2016-2020,69150,59170,16447,627,9980,0.855676,85.568,0.010597,0.038122,3.812
A*,2021-2025,131884,117480,28856,1010,14404,0.890783,89.078,0.008597,0.035001,3.5
A,2001-2005,31490,25435,9108,684,6055,0.807717,80.772,0.026892,0.075099,7.51
A,2006-2010,39661,35365,13833,1152,4296,0.891682,89.168,0.032575,0.083279,8.328
A,2011-2015,42129,35789,14544,1196,6340,0.84951,84.951,0.033418,0.082233,8.223
A,2016-2020,49567,40105,14816,909,9462,0.809107,80.911,0.022666,0.061353,6.135
A,2021-2025,66627,54059,18182,980,12568,0.811368,81.137,0.018128,0.053899,5.39
