window,congress,area,level,total_articles,resolved_articles,eu27_uk_articles,spain_articles,unresolved_articles,coverage_rate,coverage_pct,spain_share_world_resolved,spain_share_eu27_uk,spain_share_eu27_uk_pct,area_report_label,rank_spain_in_window
2001-2005,ICRA,IA / ML,A*,3703,3631,932,111,72,0.980556,98.056,0.03057,0.119099,11.91,IA / ML,1
2001-2005,IROS,IA / ML,A,2821,2742,683,87,79,0.971996,97.2,0.031729,0.127379,12.738,IA / ML,2
2001-2005,IPDPS,Sistemas,A,1934,1856,604,74,78,0.959669,95.967,0.039871,0.122517,12.252,"Sistemas, arquitectura y computación",3
2001-2005,Interspeech,IA / ML,A,3790,1460,615,63,2330,0.385224,38.522,0.043151,0.102439,10.244,IA / ML,4
2001-2005,DATE,Sistemas,A,1292,1071,533,42,221,0.828947,82.895,0.039216,0.078799,7.88,"Sistemas, arquitectura y computación",5
2001-2005,CP,Teoría,A,511,482,331,39,29,0.943249,94.325,0.080913,0.117825,11.782,Teoría,6
2001-2005,ICME,IA / ML,A,1860,1793,374,28,67,0.963978,96.398,0.015616,0.074866,7.487,IA / ML,7
2001-2005,PPSN,IA / ML,A,208,206,151,27,2,0.990385,99.038,0.131068,0.178808,17.881,IA / ML,8
2001-2005,AAMAS,IA / ML,A,1092,789,332,25,303,0.722527,72.253,0.031686,0.075301,7.53,IA / ML,9
2001-2005,CaiSE,Ing. del Software,A,231,226,154,21,5,0.978355,97.835,0.09292,0.136364,13.636,Ingeniería del Software,10
2001-2005,MICCAI,IA / ML,A,1182,1171,532,21,11,0.990694,99.069,0.017933,0.039474,3.947,IA / ML,11
2001-2005,ER,Bases de datos,A,245,235,111,20,10,0.959184,95.918,0.085106,0.18018,18.018,Bases de datos,12
2001-2005,ICS,Sistemas,A,193,190,49,18,3,0.984456,98.446,0.094737,0.367347,36.735,"Sistemas, arquitectura y computación",13
2001-2005,ECIR,Bases de datos,A,155,154,123,16,1,0.993548,99.355,0.103896,0.130081,13.008,Bases de datos,14
2001-2005,ECAI,IA / ML,A,413,138,113,15,275,0.33414,33.414,0.108696,0.132743,13.274,IA / ML,15
2001-2005,GECCO,IA / ML,A,859,624,210,15,235,0.726426,72.643,0.024038,0.071429,7.143,IA / ML,16
2001-2005,ICALP,Teoría,A*,486,475,298,14,11,0.977366,97.737,0.029474,0.04698,4.698,Teoría,17
2001-2005,HPCA,Sistemas,A*,150,146,26,13,4,0.973333,97.333,0.089041,0.5,50.0,"Sistemas, arquitectura y computación",18
2001-2005,ICSME,Ing. del Software,A,415,382,184,13,33,0.920482,92.048,0.034031,0.070652,7.065,Ingeniería del Software,19
2001-2005,MICRO,Sistemas,A*,168,157,21,12,11,0.934524,93.452,0.076433,0.571429,57.143,"Sistemas, arquitectura y computación",20
2001-2005,ACMMM,IA / ML,A*,768,750,150,11,18,0.976562,97.656,0.014667,0.073333,7.333,IA / ML,21
2001-2005,IJCAI,IA / ML,A*,846,193,67,11,653,0.228132,22.813,0.056995,0.164179,16.418,IA / ML,22
2001-2005,ITC,Sistemas,A,899,784,191,11,115,0.87208,87.208,0.014031,0.057592,5.759,"Sistemas, arquitectura y computación",23
2001-2005,RE,Ing. del Software,A,304,225,97,9,79,0.740132,74.013,0.04,0.092784,9.278,Ingeniería del Software,24
2001-2005,SC,Sistemas,A,326,315,55,9,11,0.966258,96.626,0.028571,0.163636,16.364,"Sistemas, arquitectura y computación",25
2001-2005,ICDAR,IA / ML,A,728,701,190,8,27,0.962912,96.291,0.011412,0.042105,4.211,IA / ML,26
2001-2005,ICSE,Ing. del Software,A*,647,570,208,8,77,0.880989,88.099,0.014035,0.038462,3.846,Ingeniería del Software,27
2001-2005,ICSOC,Ing. del Software,A,128,124,72,8,4,0.96875,96.875,0.064516,0.111111,11.111,Ingeniería del Software,28
