window,denominator_group,country_code,count,denominator,share
2001-2005,world_resolved,AE,12,44770,0.0002680366316729953
2001-2005,world_resolved,AF,0,44770,0.0
2001-2005,world_resolved,AL,0,44770,0.0
2001-2005,world_resolved,AM,0,44770,0.0
2001-2005,world_resolved,AO,0,44770,0.0
2001-2005,world_resolved,AR,38,44770,0.0008487826669644851
2001-2005,world_resolved,AS,0,44770,0.0
2001-2005,world_resolved,AT,332,44770,0.00741568014295287
2001-2005,world_resolved,AU,946,44770,0.02113022113022113
2001-2005,world_resolved,AZ,0,44770,0.0
2001-2005,world_resolved,BA,0,44770,0.0
2001-2005,world_resolved,BB,0,44770,0.0
2001-2005,world_resolved,BD,3,44770,6.700915791824883e-05
2001-2005,world_resolved,BE,454,44770,0.010140719231628322
2001-2005,world_resolved,BF,0,44770,0.0
2001-2005,world_resolved,BG,22,44770,0.0004914004914004914
2001-2005,world_resolved,BH,0,44770,0.0
2001-2005,world_resolved,BI,32,44770,0.0007147643511279875
2001-2005,world_resolved,BJ,0,44770,0.0
2001-2005,world_resolved,BM,15,44770,0.00033504578959124413
2001-2005,world_resolved,BN,9,44770,0.00020102747375474648
2001-2005,world_resolved,BO,2,44770,4.467277194549922e-05
2001-2005,world_resolved,BR,349,44770,0.007795398704489614
2001-2005,world_resolved,BS,0,44770,0.0
2001-2005,world_resolved,BW,1,44770,2.233638597274961e-05
2001-2005,world_resolved,BY,10,44770,0.00022336385972749609
2001-2005,world_resolved,CA,2475,44770,0.05528255528255528
2001-2005,world_resolved,CD,0,44770,0.0
2001-2005,world_resolved,CH,936,44770,0.020906857270493635
2001-2005,world_resolved,CI,1,44770,2.233638597274961e-05
2001-2005,world_resolved,CL,29,44770,0.0006477551932097386
2001-2005,world_resolved,CM,1,44770,2.233638597274961e-05
2001-2005,world_resolved,CN,1249,44770,0.027898146079964263
2001-2005,world_resolved,CO,18,44770,0.00040205494750949295
2001-2005,world_resolved,CR,2,44770,4.467277194549922e-05
2001-2005,world_resolved,CU,3,44770,6.700915791824883e-05
2001-2005,world_resolved,CX,0,44770,0.0
2001-2005,world_resolved,CY,25,44770,0.0005584096493187402
2001-2005,world_resolved,CZ,190,44770,0.004243913334822426
2001-2005,world_resolved,DE,3145,44770,0.07024793388429752
2001-2005,world_resolved,DJ,0,44770,0.0
2001-2005,world_resolved,DK,264,44770,0.005896805896805897
2001-2005,world_resolved,DO,5,44770,0.00011168192986374804
2001-2005,world_resolved,DZ,9,44770,0.00020102747375474648
2001-2005,world_resolved,EC,1,44770,2.233638597274961e-05
2001-2005,world_resolved,EE,14,44770,0.0003127094036184945
2001-2005,world_resolved,EG,27,44770,0.0006030824212642394
2001-2005,world_resolved,ES,967,44770,0.02159928523564887
2001-2005,world_resolved,ET,0,44770,0.0
2001-2005,world_resolved,FI,333,44770,0.00743801652892562
2001-2005,world_resolved,FJ,0,44770,0.0
2001-2005,world_resolved,FM,0,44770,0.0
2001-2005,world_resolved,FO,0,44770,0.0
2001-2005,world_resolved,FR,2545,44770,0.05684610230064775
2001-2005,world_resolved,GB,2998,44770,0.06696448514630333
2001-2005,world_resolved,GE,0,44770,0.0
2001-2005,world_resolved,GF,0,44770,0.0
2001-2005,world_resolved,GH,3,44770,6.700915791824883e-05
2001-2005,world_resolved,GI,0,44770,0.0
2001-2005,world_resolved,GL,0,44770,0.0
2001-2005,world_resolved,GM,0,44770,0.0
2001-2005,world_resolved,GN,0,44770,0.0
2001-2005,world_resolved,GP,4,44770,8.934554389099843e-05
2001-2005,world_resolved,GR,345,44770,0.007706053160598615
2001-2005,world_resolved,GT,0,44770,0.0
2001-2005,world_resolved,GY,0,44770,0.0
2001-2005,world_resolved,HK,546,44770,0.012195666741121287
2001-2005,world_resolved,HN,0,44770,0.0
2001-2005,world_resolved,HR,12,44770,0.0002680366316729953
2001-2005,world_resolved,HU,130,44770,0.002903730176457449
2001-2005,world_resolved,ID,1,44770,2.233638597274961e-05
2001-2005,world_resolved,IE,226,44770,0.005048023229841412
2001-2005,world_resolved,IL,1098,44770,0.024525351798079072
2001-2005,world_resolved,IN,472,44770,0.010542774179137815
2001-2005,world_resolved,IO,0,44770,0.0
2001-2005,world_resolved,IQ,0,44770,0.0
2001-2005,world_resolved,IR,60,44770,0.0013401831583649765
2001-2005,world_resolved,IS,10,44770,0.00022336385972749609
2001-2005,world_resolved,IT,1507,44770,0.03366093366093366
2001-2005,world_resolved,JM,8,44770,0.00017869108778199687
2001-2005,world_resolved,JO,1,44770,2.233638597274961e-05
2001-2005,world_resolved,JP,3596,44770,0.08032164395800759
2001-2005,world_resolved,KE,3,44770,6.700915791824883e-05
2001-2005,world_resolved,KG,0,44770,0.0
2001-2005,world_resolved,KH,1,44770,2.233638597274961e-05
2001-2005,world_resolved,KN,0,44770,0.0
2001-2005,world_resolved,KP,0,44770,0.0
2001-2005,world_resolved,KR,920,44770,0.02054947509492964
2001-2005,world_resolved,KW,2,44770,4.467277194549922e-05
2001-2005,world_resolved,KY,0,44770,0.0
2001-2005,world_resolved,KZ,0,44770,0.0
2001-2005,world_resolved,LB,7,44770,0.00015635470180924726
2001-2005,world_resolved,LI,0,44770,0.0
2001-2005,world_resolved,LK,2,44770,4.467277194549922e-05
2001-2005,world_resolved,LS,0,44770,0.0
2001-2005,world_resolved,LT,5,44770,0.00011168192986374804
2001-2005,world_resolved,LU,12,44770,0.0002680366316729953
2001-2005,world_resolved,LV,11,44770,0.0002457002457002457
2001-2005,world_resolved,LY,0,44770,0.0
2001-2005,world_resolved,MA,6,44770,0.00013401831583649765
2001-2005,world_resolved,MD,2,44770,4.467277194549922e-05
2001-2005,world_resolved,ME,0,44770,0.0
2001-2005,world_resolved,MG,0,44770,0.0
2001-2005,world_resolved,MK,3,44770,6.700915791824883e-05
2001-2005,world_resolved,ML,0,44770,0.0
2001-2005,world_resolved,MM,0,44770,0.0
2001-2005,world_resolved,MN,0,44770,0.0
2001-2005,world_resolved,MO,8,44770,0.00017869108778199687
2001-2005,world_resolved,MQ,3,44770,6.700915791824883e-05
2001-2005,world_resolved,MT,1,44770,2.233638597274961e-05
2001-2005,world_resolved,MU,1,44770,2.233638597274961e-05
2001-2005,world_resolved,MW,0,44770,0.0
2001-2005,world_resolved,MX,125,44770,0.0027920482465937013
2001-2005,world_resolved,MY,20,44770,0.00044672771945499217
2001-2005,world_resolved,MZ,1,44770,2.233638597274961e-05
2001-2005,world_resolved,NC,1,44770,2.233638597274961e-05
