scenario,window,country_code,count,eu_den,share,rank
fixed_2026_Astar_A,2001-2005,LV,11,14240,0.0007724719101123596,26
fixed_2026_Astar_A,2001-2005,GB,2998,14240,0.21053370786516853,2
fixed_2026_Astar_A,2001-2005,RO,31,14240,0.0021769662921348313,19
fixed_2026_Astar_A,2001-2005,SK,29,14240,0.0020365168539325843,20
fixed_2026_Astar_A,2001-2005,DK,264,14240,0.01853932584269663,12
fixed_2026_Astar_A,2001-2005,FI,333,14240,0.023384831460674157,10
fixed_2026_Astar_A,2001-2005,IE,226,14240,0.015870786516853932,14
fixed_2026_Astar_A,2001-2005,DE,3145,14240,0.2208567415730337,1
fixed_2026_Astar_A,2001-2005,BG,22,14240,0.001544943820224719,22
fixed_2026_Astar_A,2001-2005,ES,967,14240,0.06790730337078651,6
fixed_2026_Astar_A,2001-2005,HR,12,14240,0.0008426966292134832,24
fixed_2026_Astar_A,2001-2005,GR,345,14240,0.02422752808988764,9
fixed_2026_Astar_A,2001-2005,NL,1091,14240,0.07661516853932585,5
fixed_2026_Astar_A,2001-2005,PT,230,14240,0.016151685393258428,13
fixed_2026_Astar_A,2001-2005,CY,25,14240,0.0017556179775280898,21
fixed_2026_Astar_A,2001-2005,PL,151,14240,0.010603932584269662,16
fixed_2026_Astar_A,2001-2005,AT,332,14240,0.023314606741573034,11
fixed_2026_Astar_A,2001-2005,BE,454,14240,0.03188202247191011,8
fixed_2026_Astar_A,2001-2005,LU,12,14240,0.0008426966292134832,24
fixed_2026_Astar_A,2001-2005,FR,2545,14240,0.17872191011235955,3
fixed_2026_Astar_A,2001-2005,HU,130,14240,0.009129213483146067,17
fixed_2026_Astar_A,2001-2005,CZ,190,14240,0.013342696629213483,15
fixed_2026_Astar_A,2001-2005,SI,74,14240,0.0051966292134831464,18
fixed_2026_Astar_A,2001-2005,MT,1,14240,7.02247191011236e-05,28
fixed_2026_Astar_A,2001-2005,EE,14,14240,0.0009831460674157304,23
fixed_2026_Astar_A,2001-2005,SE,612,14240,0.04297752808988764,7
fixed_2026_Astar_A,2001-2005,LT,5,14240,0.00035112359550561797,27
fixed_2026_Astar_A,2001-2005,IT,1507,14240,0.10582865168539325,4
fixed_2026_Astar_A,2006-2010,LV,6,22048,0.00027213352685050797,27
fixed_2026_Astar_A,2006-2010,GB,4855,22048,0.22020137880986937,2
fixed_2026_Astar_A,2006-2010,RO,61,22048,0.002766690856313498,20
fixed_2026_Astar_A,2006-2010,SK,29,22048,0.0013153120464441219,23
fixed_2026_Astar_A,2006-2010,DK,423,22048,0.01918541364296081,12
fixed_2026_Astar_A,2006-2010,FI,525,22048,0.023811683599419448,11
fixed_2026_Astar_A,2006-2010,IE,402,22048,0.018232946298984035,14
fixed_2026_Astar_A,2006-2010,DE,5350,22048,0.24265239477503628,1
fixed_2026_Astar_A,2006-2010,BG,13,22048,0.0005896226415094339,25
fixed_2026_Astar_A,2006-2010,ES,1680,22048,0.07619738751814223,5
fixed_2026_Astar_A,2006-2010,HR,19,22048,0.000861756168359942,24
fixed_2026_Astar_A,2006-2010,GR,563,22048,0.025535195936139333,10
fixed_2026_Astar_A,2006-2010,NL,1614,22048,0.07320391872278664,6
fixed_2026_Astar_A,2006-2010,PT,411,22048,0.018641146589259798,13
fixed_2026_Astar_A,2006-2010,CY,38,22048,0.001723512336719884,21
fixed_2026_Astar_A,2006-2010,PL,210,22048,0.009524673439767779,16
fixed_2026_Astar_A,2006-2010,AT,648,22048,0.02939042089985486,9
fixed_2026_Astar_A,2006-2010,BE,743,22048,0.03369920174165457,7
fixed_2026_Astar_A,2006-2010,LU,69,22048,0.0031295355587808416,19
fixed_2026_Astar_A,2006-2010,FR,4093,22048,0.18564042089985486,3
fixed_2026_Astar_A,2006-2010,HU,166,22048,0.007529027576197387,17
fixed_2026_Astar_A,2006-2010,CZ,271,22048,0.012291364296081277,15
fixed_2026_Astar_A,2006-2010,SI,71,22048,0.0032202467343976776,18
fixed_2026_Astar_A,2006-2010,MT,8,22048,0.000362844702467344,26
fixed_2026_Astar_A,2006-2010,EE,32,22048,0.001451378809869376,22
fixed_2026_Astar_A,2006-2010,SE,735,22048,0.03333635703918723,8
fixed_2026_Astar_A,2006-2010,LT,3,22048,0.00013606676342525398,28
fixed_2026_Astar_A,2006-2010,IT,2132,22048,0.09669811320754718,4
fixed_2026_Astar_A,2011-2015,LV,19,26136,0.0007269666360575452,25
fixed_2026_Astar_A,2011-2015,GB,5981,26136,0.22884144475053567,2
fixed_2026_Astar_A,2011-2015,RO,100,26136,0.0038261401897765534,19
fixed_2026_Astar_A,2011-2015,SK,42,26136,0.0016069788797061523,23
