venue,eu0,es0,eu1,es1,status,share0_venue,share1_venue,delta_es,delta_eu,from,to
AAAI,0.0,0.0,2373.0,78.0,new_or_zero_in_base,,0.03286978508217446,78.0,2373.0,2001-2005,2021-2025
AAMAS,332.0,25.0,33.0,7.0,present_both,0.07530120481927711,0.21212121212121213,-18.0,-299.0,2001-2005,2021-2025
ACL,122.0,5.0,503.0,20.0,present_both,0.040983606557377046,0.039761431411530816,15.0,381.0,2001-2005,2021-2025
ACMMM,150.0,11.0,541.0,16.0,present_both,0.07333333333333333,0.029574861367837338,5.0,391.0,2001-2005,2021-2025
ACSAC,45.0,0.0,120.0,8.0,present_both,0.0,0.06666666666666667,8.0,75.0,2001-2005,2021-2025
AIED,0.0,0.0,24.0,1.0,new_or_zero_in_base,,0.041666666666666664,1.0,24.0,2001-2005,2021-2025
AISTATS,3.0,0.0,279.0,13.0,present_both,0.0,0.04659498207885305,13.0,276.0,2001-2005,2021-2025
ALENEX,12.0,0.0,49.0,1.0,present_both,0.0,0.02040816326530612,1.0,37.0,2001-2005,2021-2025
APPROX/RANDOM,20.0,1.0,88.0,0.0,present_both,0.05,0.0,-1.0,68.0,2001-2005,2021-2025
ASE,92.0,4.0,281.0,14.0,present_both,0.043478260869565216,0.0498220640569395,10.0,189.0,2001-2005,2021-2025
ASIACRYPT,66.0,0.0,0.0,0.0,disappeared_or_zero_in_final,0.0,,0.0,-66.0,2001-2005,2021-2025
ASPLOS,6.0,1.0,21.0,2.0,present_both,0.16666666666666666,0.09523809523809523,1.0,15.0,2001-2005,2021-2025
ASSETS,30.0,0.0,126.0,2.0,present_both,0.0,0.015873015873015872,2.0,96.0,2001-2005,2021-2025
AsiaCCS,0.0,0.0,182.0,3.0,new_or_zero_in_base,,0.016483516483516484,3.0,182.0,2001-2005,2021-2025
BMVC,158.0,2.0,30.0,0.0,present_both,0.012658227848101266,0.0,-2.0,-128.0,2001-2005,2021-2025
BPM,0.0,0.0,127.0,8.0,new_or_zero_in_base,,0.06299212598425197,8.0,127.0,2001-2005,2021-2025
CADE,83.0,5.0,60.0,0.0,present_both,0.060240963855421686,0.0,-5.0,-23.0,2001-2005,2021-2025
CAV,106.0,3.0,0.0,0.0,disappeared_or_zero_in_final,0.02830188679245283,,-3.0,-106.0,2001-2005,2021-2025
CCC,36.0,3.0,53.0,1.0,present_both,0.08333333333333333,0.018867924528301886,-2.0,17.0,2001-2005,2021-2025
CCS,26.0,0.0,509.0,26.0,present_both,0.0,0.05108055009823183,26.0,483.0,2001-2005,2021-2025
CGO,8.0,2.0,48.0,2.0,present_both,0.25,0.041666666666666664,0.0,40.0,2001-2005,2021-2025
CHES,92.0,0.0,0.0,0.0,disappeared_or_zero_in_final,0.0,,0.0,-92.0,2001-2005,2021-2025
CHI,96.0,0.0,1559.0,27.0,present_both,0.0,0.01731879409878127,27.0,1463.0,2001-2005,2021-2025
CIDR,2.0,0.0,6.0,0.0,present_both,0.0,0.0,0.0,4.0,2001-2005,2021-2025
CIKM,102.0,1.0,574.0,20.0,present_both,0.00980392156862745,0.03484320557491289,19.0,472.0,2001-2005,2021-2025
COLT,57.0,6.0,9.0,0.0,present_both,0.10526315789473684,0.0,-6.0,-48.0,2001-2005,2021-2025
CP,331.0,39.0,157.0,6.0,present_both,0.11782477341389729,0.03821656050955414,-33.0,-174.0,2001-2005,2021-2025
CRYPTO,63.0,0.0,0.0,0.0,disappeared_or_zero_in_final,0.0,,0.0,-63.0,2001-2005,2021-2025
CSCW,25.0,0.0,0.0,0.0,disappeared_or_zero_in_final,0.0,,0.0,-25.0,2001-2005,2021-2025
CSF,0.0,0.0,135.0,5.0,new_or_zero_in_base,,0.037037037037037035,5.0,135.0,2001-2005,2021-2025
CVPR,0.0,0.0,2680.0,68.0,new_or_zero_in_base,,0.025373134328358207,68.0,2680.0,2001-2005,2021-2025
CaiSE,154.0,21.0,118.0,16.0,present_both,0.13636363636363635,0.13559322033898305,-5.0,-36.0,2001-2005,2021-2025
CoNEXT,50.0,1.0,29.0,4.0,present_both,0.02,0.13793103448275862,3.0,-21.0,2001-2005,2021-2025
DAC,167.0,5.0,269.0,4.0,present_both,0.029940119760479042,0.01486988847583643,-1.0,102.0,2001-2005,2021-2025
DATE,533.0,42.0,683.0,48.0,present_both,0.07879924953095685,0.07027818448023426,6.0,150.0,2001-2005,2021-2025
DIS,60.0,0.0,411.0,14.0,present_both,0.0,0.0340632603406326,14.0,351.0,2001-2005,2021-2025
DISC,50.0,5.0,128.0,4.0,present_both,0.1,0.03125,-1.0,78.0,2001-2005,2021-2025
DSN,142.0,6.0,80.0,4.0,present_both,0.04225352112676056,0.05,-2.0,-62.0,2001-2005,2021-2025
EACL,0.0,0.0,241.0,7.0,new_or_zero_in_base,,0.029045643153526972,7.0,241.0,2001-2005,2021-2025
EASE,0.0,0.0,258.0,12.0,new_or_zero_in_base,,0.046511627906976744,12.0,258.0,2001-2005,2021-2025
EC,22.0,0.0,198.0,6.0,present_both,0.0,0.030303030303030304,6.0,176.0,2001-2005,2021-2025
ECAI,113.0,15.0,819.0,58.0,present_both,0.13274336283185842,0.07081807081807082,43.0,706.0,2001-2005,2021-2025
ECCV,183.0,5.0,813.0,21.0,present_both,0.0273224043715847,0.025830258302583026,16.0,630.0,2001-2005,2021-2025
ECIR,123.0,16.0,0.0,0.0,disappeared_or_zero_in_final,0.13008130081300814,,-16.0,-123.0,2001-2005,2021-2025
ECML PKDD,135.0,3.0,0.0,0.0,disappeared_or_zero_in_final,0.022222222222222223,,-3.0,-135.0,2001-2005,2021-2025
ECOOP,32.0,1.0,121.0,1.0,present_both,0.03125,0.008264462809917356,0.0,89.0,2001-2005,2021-2025
EMNLP,12.0,1.0,824.0,29.0,present_both,0.08333333333333333,0.03519417475728155,28.0,812.0,2001-2005,2021-2025
ER,111.0,20.0,90.0,15.0,present_both,0.18018018018018017,0.16666666666666666,-5.0,-21.0,2001-2005,2021-2025
ESA,196.0,7.0,312.0,2.0,present_both,0.03571428571428571,0.00641025641025641,-5.0,116.0,2001-2005,2021-2025
ESEM,0.0,0.0,98.0,13.0,new_or_zero_in_base,,0.1326530612244898,13.0,98.0,2001-2005,2021-2025
ESOP,80.0,3.0,52.0,0.0,present_both,0.0375,0.0,-3.0,-28.0,2001-2005,2021-2025
ESORICS,41.0,1.0,0.0,0.0,disappeared_or_zero_in_final,0.024390243902439025,,-1.0,-41.0,2001-2005,2021-2025
EuroCrypt,55.0,0.0,0.0,0.0,disappeared_or_zero_in_final,0.0,,0.0,-55.0,2001-2005,2021-2025
EuroS&P,0.0,0.0,134.0,3.0,new_or_zero_in_base,,0.022388059701492536,3.0,134.0,2001-2005,2021-2025
EuroSys,0.0,0.0,78.0,3.0,new_or_zero_in_base,,0.038461538461538464,3.0,78.0,2001-2005,2021-2025
FAST,1.0,0.0,3.0,0.0,present_both,0.0,0.0,0.0,2.0,2001-2005,2021-2025
FC,36.0,1.0,61.0,8.0,present_both,0.027777777777777776,0.13114754098360656,7.0,25.0,2001-2005,2021-2025
FOCS,73.0,5.0,189.0,4.0,present_both,0.0684931506849315,0.021164021164021163,-1.0,116.0,2001-2005,2021-2025
FOGA,11.0,0.0,40.0,4.0,present_both,0.0,0.1,4.0,29.0,2001-2005,2021-2025
