venue,window,area,level,total_papers,resolved_papers,coverage
AAAI,2001-2005,IA / ML,A*,519,0.0,0.0
AAAI,2006-2010,IA / ML,A*,1422,298.0,0.20956399437412096
AAAI,2011-2015,IA / ML,A*,2071,2016.0,0.9734427812650893
AAAI,2016-2020,IA / ML,A*,5786,5618.0,0.9709643968199101
AAAI,2021-2025,IA / ML,A*,11958,11437.0,0.9564308412778056
AAMAS,2001-2005,IA / ML,A,1092,789.0,0.7225274725274725
AAMAS,2006-2010,IA / ML,A,893,573.0,0.6416573348264277
AAMAS,2011-2015,IA / ML,A,1338,61.0,0.045590433482810166
AAMAS,2016-2020,IA / ML,A,1792,121.0,0.06752232142857142
AAMAS,2021-2025,IA / ML,A,1598,98.0,0.06132665832290363
ACL,2001-2005,IA / ML,A*,428,355.0,0.8294392523364486
ACL,2006-2010,IA / ML,A*,928,161.0,0.17349137931034483
ACL,2011-2015,IA / ML,A*,1410,504.0,0.3574468085106383
ACL,2016-2020,IA / ML,A*,2509,2298.0,0.9159027500996413
ACL,2021-2025,IA / ML,A*,4342,1903.0,0.4382772915707047
ACMMM,2001-2005,IA / ML,A*,768,750.0,0.9765625
ACMMM,2006-2010,IA / ML,A*,1250,1244.0,0.9952
ACMMM,2011-2015,IA / ML,A*,1426,1426.0,1.0
ACMMM,2016-2020,IA / ML,A*,1812,1777.0,0.9806843267108167
ACMMM,2021-2025,IA / ML,A*,5384,5382.0,0.99962852897474
ACSAC,2001-2005,Seguridad,A,232,203.0,0.875
ACSAC,2006-2010,Seguridad,A,223,219.0,0.9820627802690582
ACSAC,2011-2015,Seguridad,A,219,214.0,0.9771689497716894
ACSAC,2016-2020,Seguridad,A,286,235.0,0.8216783216783217
ACSAC,2021-2025,Seguridad,A,379,376.0,0.9920844327176781
AIED,2001-2005,IA / ML,A,206,0.0,0.0
AIED,2006-2010,IA / ML,A,319,147.0,0.4608150470219436
AIED,2011-2015,IA / ML,A,436,430.0,0.9862385321100917
AIED,2016-2020,IA / ML,A,82,82.0,1.0
AIED,2021-2025,IA / ML,A,79,79.0,1.0
AISTATS,2001-2005,IA / ML,A,147,6.0,0.04081632653061224
AISTATS,2011-2015,IA / ML,A,320,20.0,0.0625
AISTATS,2016-2020,IA / ML,A,1330,122.0,0.09172932330827067
AISTATS,2021-2025,IA / ML,A,2573,731.0,0.2841041585697629
ALENEX,2001-2005,Teoría,A,47,31.0,0.6595744680851063
ALENEX,2006-2010,Teoría,A,78,71.0,0.9102564102564102
ALENEX,2011-2015,Teoría,A,77,63.0,0.8181818181818182
ALENEX,2016-2020,Teoría,A,89,52.0,0.5842696629213483
ALENEX,2021-2025,Teoría,A,85,60.0,0.7058823529411765
APPROX/RANDOM,2001-2005,Teoría,A,100,98.0,0.98
APPROX/RANDOM,2006-2010,Teoría,A,248,246.0,0.9919354838709677
APPROX/RANDOM,2011-2015,Teoría,A,281,214.0,0.7615658362989324
APPROX/RANDOM,2016-2020,Teoría,A,295,186.0,0.6305084745762712
APPROX/RANDOM,2021-2025,Teoría,A,330,317.0,0.9606060606060606
ASE,2001-2005,Ing. del Software,A*,313,237.0,0.7571884984025559
ASE,2006-2010,Ing. del Software,A*,440,430.0,0.9772727272727273
ASE,2011-2015,Ing. del Software,A*,481,475.0,0.9875259875259875
ASE,2016-2020,Ing. del Software,A*,641,635.0,0.9906396255850234
ASE,2021-2025,Ing. del Software,A*,1258,1255.0,0.9976152623211447
ASIACRYPT,2001-2005,Seguridad,A,177,167.0,0.943502824858757
ASIACRYPT,2006-2010,Seguridad,A,175,170.0,0.9714285714285714
ASIACRYPT,2011-2015,Seguridad,A,85,85.0,1.0
ASPLOS,2001-2005,Sistemas,A*,49,47.0,0.9591836734693877
ASPLOS,2006-2010,Sistemas,A*,133,133.0,1.0
ASPLOS,2011-2015,Sistemas,A*,218,218.0,1.0
ASPLOS,2016-2020,Sistemas,A*,336,336.0,1.0
ASPLOS,2021-2025,Sistemas,A*,155,155.0,1.0
ASSETS,2001-2005,HCI,A,104,101.0,0.9711538461538461
ASSETS,2006-2010,HCI,A,337,334.0,0.9910979228486647
ASSETS,2011-2015,HCI,A,442,439.0,0.9932126696832579
ASSETS,2016-2020,HCI,A,474,466.0,0.9831223628691983
ASSETS,2021-2025,HCI,A,639,639.0,1.0
AsiaCCS,2021-2025,Seguridad,A,541,541.0,1.0
BMVC,2001-2005,IA / ML,A,430,214.0,0.49767441860465117
BMVC,2006-2010,IA / ML,A,605,472.0,0.7801652892561983
BMVC,2011-2015,IA / ML,A,722,458.0,0.6343490304709142
BMVC,2016-2020,IA / ML,A,1040,259.0,0.24903846153846154
BMVC,2021-2025,IA / ML,A,1330,80.0,0.06015037593984962
BPM,2006-2010,Ing. del Software,A,109,103.0,0.944954128440367
BPM,2011-2015,Ing. del Software,A,145,143.0,0.9862068965517241
BPM,2016-2020,Ing. del Software,A,128,128.0,1.0
BPM,2021-2025,Ing. del Software,A,145,144.0,0.993103448275862
CADE,2001-2005,Teoría,A,114,114.0,1.0
CADE,2006-2010,Teoría,A,73,71.0,0.9726027397260274
CADE,2011-2015,Teoría,A,113,113.0,1.0
CADE,2016-2020,Teoría,A,68,68.0,1.0
CADE,2021-2025,Teoría,A,109,72.0,0.6605504587155964
CAV,2001-2005,Ing. del Software,A*,243,234.0,0.9629629629629629
CAV,2006-2010,Ing. del Software,A*,274,271.0,0.9890510948905109
CAV,2011-2015,Ing. del Software,A*,253,250.0,0.9881422924901185
CCC,2001-2005,Teoría,A,160,141.0,0.88125
CCC,2006-2010,Teoría,A,161,141.0,0.8757763975155279
CCC,2011-2015,Teoría,A,157,135.0,0.8598726114649682
CCC,2016-2020,Teoría,A,171,147.0,0.8596491228070176
CCC,2021-2025,Teoría,A,192,184.0,0.9583333333333334
CCS,2001-2005,Seguridad,A*,168,160.0,0.9523809523809523
CCS,2006-2010,Seguridad,A*,303,298.0,0.9834983498349835
CCS,2011-2015,Seguridad,A*,711,668.0,0.939521800281294
CCS,2016-2020,Seguridad,A*,955,955.0,1.0
CCS,2021-2025,Seguridad,A*,1617,1615.0,0.9987631416202845
CGO,2001-2005,Ing. del Software,A,82,81.0,0.9878048780487805
CGO,2006-2010,Ing. del Software,A,147,137.0,0.9319727891156463
CGO,2011-2015,Ing. del Software,A,142,112.0,0.7887323943661971
CGO,2016-2020,Ing. del Software,A,140,129.0,0.9214285714285714
CGO,2021-2025,Ing. del Software,A,169,167.0,0.9881656804733728
CHES,2001-2005,Seguridad,A,173,157.0,0.9075144508670521
CHES,2006-2010,Seguridad,A,157,151.0,0.9617834394904459
CHES,2011-2015,Seguridad,A,159,157.0,0.9874213836477987
CHES,2016-2020,Seguridad,A,63,62.0,0.9841269841269841
CHI,2001-2005,HCI,A*,391,389.0,0.9948849104859335
CHI,2006-2010,HCI,A*,1130,1128.0,0.9982300884955753
CHI,2011-2015,HCI,A*,2119,2119.0,1.0
CHI,2016-2020,HCI,A*,3270,3268.0,0.999388379204893
CHI,2021-2025,HCI,A*,4568,4559.0,0.998029772329247
CIDR,2001-2005,Bases de datos,A,54,5.0,0.09259259259259259
CIDR,2006-2010,Bases de datos,A,86,13.0,0.1511627906976744
CIDR,2011-2015,Bases de datos,A,163,53.0,0.32515337423312884
CIDR,2016-2020,Bases de datos,A,173,101.0,0.5838150289017341
CIDR,2021-2025,Bases de datos,A,185,23.0,0.12432432432432433
CIKM,2001-2005,Bases de datos,A,538,521.0,0.9684014869888475
CIKM,2006-2010,Bases de datos,A,1174,1171.0,0.9974446337308348
CIKM,2011-2015,Bases de datos,A,1775,1774.0,0.9994366197183099
CIKM,2016-2020,Bases de datos,A,1878,1878.0,1.0
CIKM,2021-2025,Bases de datos,A,3482,3469.0,0.9962665134979897
COLT,2001-2005,Teoría,A*,181,175.0,0.9668508287292817
COLT,2006-2010,Teoría,A*,239,125.0,0.5230125523012552
COLT,2011-2015,Teoría,A*,192,59.0,0.3072916666666667
COLT,2016-2020,Teoría,A*,493,203.0,0.4117647058823529
COLT,2021-2025,Teoría,A*,817,109.0,0.13341493268053856
CP,2001-2005,Teoría,A,511,482.0,0.9432485322896281
CP,2006-2010,Teoría,A,305,298.0,0.9770491803278688
CP,2011-2015,Teoría,A,316,309.0,0.9778481012658228
CP,2016-2020,Teoría,A,245,241.0,0.9836734693877551
CP,2021-2025,Teoría,A,237,223.0,0.9409282700421941
CRYPTO,2001-2005,Seguridad,A*,175,166.0,0.9485714285714286
CRYPTO,2006-2010,Seguridad,A*,180,176.0,0.9777777777777777
CRYPTO,2011-2015,Seguridad,A*,93,93.0,1.0
CSCW,2001-2005,HCI,A,119,118.0,0.9915966386554622
CSCW,2006-2010,HCI,A,206,205.0,0.9951456310679612
CSCW,2011-2015,HCI,A,719,719.0,1.0
CSCW,2016-2020,HCI,A,327,322.0,0.9847094801223242
CSF,2006-2010,Seguridad,A,93,88.0,0.946236559139785
CSF,2011-2015,Seguridad,A,129,129.0,1.0
CSF,2016-2020,Seguridad,A,153,151.0,0.9869281045751634
CSF,2021-2025,Seguridad,A,196,191.0,0.9744897959183674
