window,n_eu_countries,articles,share
2001-2005,1,12869,0.9037219101123596
2001-2005,2,1248,0.08764044943820225
2001-2005,3,103,0.00723314606741573
2001-2005,4,18,0.0012640449438202246
2001-2005,5,2,0.0001404494382022472
2006-2010,1,19251,0.8731404208998549
2006-2010,2,2511,0.11388788098693758
2006-2010,3,257,0.011656386066763426
2006-2010,4,22,0.0009978229317851959
2006-2010,5,4,0.000181422351233672
2006-2010,6,3,0.00013606676342525398
2011-2015,1,21974,0.8407560453014998
2011-2015,2,3612,0.1382001836547291
2011-2015,3,469,0.017944597490052037
2011-2015,4,67,0.002563513927150291
2011-2015,5,6,0.0002295684113865932
2011-2015,6,7,0.0002678298132843587
2011-2015,8,1,3.8261401897765534e-05
2016-2020,1,25716,0.8225698109586412
2016-2020,2,4693,0.150113552762051
2016-2020,3,713,0.022806512490803826
2016-2020,4,104,0.0033266161276908806
2016-2020,5,28,0.0008956274189936986
2016-2020,6,6,0.0001919201612129354
2016-2020,7,2,6.397338707097848e-05
2016-2020,9,1,3.198669353548924e-05
2021-2025,1,38402,0.8164037586632085
2021-2025,2,7256,0.15425825927973127
2021-2025,3,1144,0.024320761937157192
2021-2025,4,182,0.0038692121263659168
2021-2025,5,35,0.0007440792550703686
2021-2025,6,4,8.503762915089927e-05
2021-2025,7,8,0.00017007525830179854
2021-2025,8,2,4.2518814575449636e-05
2021-2025,9,2,4.2518814575449636e-05
2021-2025,10,2,4.2518814575449636e-05
2021-2025,12,1,2.1259407287724818e-05
