window,area,country_code,complete_count,fractional_count,eu_complete_den,eu_fractional_den,complete_share_eu,fractional_share_eu
2001-2005,Bases de datos,AE,1,0.5,1377,1193.7142857142858,0.0007262164124909223,0.00041886069889899473
2001-2005,Bases de datos,AR,2,1.0,1377,1193.7142857142858,0.0014524328249818446,0.0008377213977979895
2001-2005,Bases de datos,AT,32,24.166666666666668,1377,1193.7142857142858,0.023238925199709513,0.020244933780118077
2001-2005,Bases de datos,AU,133,104.41666666666667,1377,1193.7142857142858,0.09658678286129267,0.08747207595340674
2001-2005,Bases de datos,BE,29,24.833333333333332,1377,1193.7142857142858,0.021060275962236745,0.020803414711983402
2001-2005,Bases de datos,BG,4,3.0,1377,1193.7142857142858,0.002904865649963689,0.0025131641933939684
2001-2005,Bases de datos,BM,1,0.25,1377,1193.7142857142858,0.0007262164124909223,0.00020943034944949737
2001-2005,Bases de datos,BR,47,33.666666666666664,1377,1193.7142857142858,0.03413217138707335,0.028203287059198976
2001-2005,Bases de datos,BY,1,0.5,1377,1193.7142857142858,0.0007262164124909223,0.00041886069889899473
2001-2005,Bases de datos,CA,331,224.28333333333333,1377,1193.7142857142858,0.2403776325344953,0.1878869475027924
2001-2005,Bases de datos,CH,61,44.92619047619048,1377,1193.7142857142858,0.04429920116194626,0.037635631083453004
2001-2005,Bases de datos,CL,15,8.166666666666666,1377,1193.7142857142858,0.010893246187363835,0.006841391415350247
2001-2005,Bases de datos,CN,181,114.31666666666666,1377,1193.7142857142858,0.13144517066085692,0.09576551779160682
2001-2005,Bases de datos,CO,1,0.5,1377,1193.7142857142858,0.0007262164124909223,0.00041886069889899473
2001-2005,Bases de datos,CU,2,1.0,1377,1193.7142857142858,0.0014524328249818446,0.0008377213977979895
2001-2005,Bases de datos,CY,2,2.0,1377,1193.7142857142858,0.0014524328249818446,0.001675442795595979
2001-2005,Bases de datos,CZ,5,2.833333333333333,1377,1193.7142857142858,0.0036310820624546117,0.0023735439604276364
2001-2005,Bases de datos,DE,371,301.81666666666666,1377,1193.7142857142858,0.2694262890341322,0.2528382798787298
2001-2005,Bases de datos,DK,32,25.333333333333332,1377,1193.7142857142858,0.023238925199709513,0.021222275410882396
2001-2005,Bases de datos,EG,3,1.5,1377,1193.7142857142858,0.002178649237472767,0.0012565820966969842
2001-2005,Bases de datos,ES,72,54.45,1377,1193.7142857142858,0.05228758169934641,0.04561393011010053
2001-2005,Bases de datos,FI,54,46.5,1377,1193.7142857142858,0.0392156862745098,0.03895404499760651
2001-2005,Bases de datos,FR,154,116.7,1377,1193.7142857142858,0.11183732752360204,0.09776208712302537
2001-2005,Bases de datos,GB,348,261.49285714285713,1377,1193.7142857142858,0.25272331154684097,0.21905816179990423
2001-2005,Bases de datos,GR,64,47.476190476190474,1377,1193.7142857142858,0.04647785039941903,0.03977182064783788
2001-2005,Bases de datos,HK,130,91.91666666666667,1377,1193.7142857142858,0.0944081336238199,0.07700055848093186
2001-2005,Bases de datos,HU,6,5.5,1377,1193.7142857142858,0.004357298474945534,0.004607467687888942
2001-2005,Bases de datos,IE,28,26.0,1377,1193.7142857142858,0.020334059549745823,0.021780756342747724
2001-2005,Bases de datos,IL,88,68.83333333333333,1377,1193.7142857142858,0.06390704429920116,0.057663156215094935
2001-2005,Bases de datos,IN,112,86.08333333333333,1377,1193.7142857142858,0.0813362381989833,0.07211385032711025
2001-2005,Bases de datos,IR,1,0.5,1377,1193.7142857142858,0.0007262164124909223,0.00041886069889899473
2001-2005,Bases de datos,IT,150,121.78333333333333,1377,1193.7142857142858,0.10893246187363835,0.10202050422849848
2001-2005,Bases de datos,JM,6,2.533333333333333,1377,1193.7142857142858,0.004357298474945534,0.0021222275410882397
2001-2005,Bases de datos,JP,160,137.0,1377,1193.7142857142858,0.11619462599854757,0.11476783149832455
2001-2005,Bases de datos,KE,1,0.3333333333333333,1377,1193.7142857142858,0.0007262164124909223,0.0002792404659326631
2001-2005,Bases de datos,KR,62,48.25,1377,1193.7142857142858,0.04502541757443718,0.04042005744375299
2001-2005,Bases de datos,LB,1,0.5,1377,1193.7142857142858,0.0007262164124909223,0.00041886069889899473
2001-2005,Bases de datos,LT,1,0.5,1377,1193.7142857142858,0.0007262164124909223,0.00041886069889899473
2001-2005,Bases de datos,LU,1,0.5,1377,1193.7142857142858,0.0007262164124909223,0.00041886069889899473
2001-2005,Bases de datos,MK,2,1.0,1377,1193.7142857142858,0.0014524328249818446,0.0008377213977979895
2001-2005,Bases de datos,MO,1,0.5,1377,1193.7142857142858,0.0007262164124909223,0.00041886069889899473
2001-2005,Bases de datos,MQ,1,1.0,1377,1193.7142857142858,0.0007262164124909223,0.0008377213977979895
2001-2005,Bases de datos,MX,8,3.1999999999999997,1377,1193.7142857142858,0.005809731299927378,0.002680708472953566
2001-2005,Bases de datos,NL,120,94.50952380952381,1377,1193.7142857142858,0.08714596949891068,0.07917265039093666
2001-2005,Bases de datos,NO,4,2.0,1377,1193.7142857142858,0.002904865649963689,0.001675442795595979
2001-2005,Bases de datos,NZ,6,4.333333333333333,1377,1193.7142857142858,0.004357298474945534,0.0036301260571246206
2001-2005,Bases de datos,PH,2,0.75,1377,1193.7142857142858,0.0014524328249818446,0.0006282910483484921
2001-2005,Bases de datos,PL,11,6.533333333333333,1377,1193.7142857142858,0.007988380537400145,0.005473113132280197
2001-2005,Bases de datos,PR,1,1.0,1377,1193.7142857142858,0.0007262164124909223,0.0008377213977979895
2001-2005,Bases de datos,PT,15,9.809523809523808,1377,1193.7142857142858,0.010893246187363835,0.008217647997446943
2001-2005,Bases de datos,RO,2,1.1428571428571428,1377,1193.7142857142858,0.0014524328249818446,0.0009573958831977021
2001-2005,Bases de datos,RS,1,1.0,1377,1193.7142857142858,0.0007262164124909223,0.0008377213977979895
2001-2005,Bases de datos,RU,7,3.4761904761904763,1377,1193.7142857142858,0.005083514887436456,0.0029120791447263443
2001-2005,Bases de datos,SA,1,0.5,1377,1193.7142857142858,0.0007262164124909223,0.00041886069889899473
2001-2005,Bases de datos,SE,14,9.166666666666666,1377,1193.7142857142858,0.010167029774872912,0.0076791128131482355
2001-2005,Bases de datos,SG,164,128.33333333333334,1377,1193.7142857142858,0.11909949164851126,0.10750757938407532
2001-2005,Bases de datos,SI,10,6.666666666666666,1377,1193.7142857142858,0.007262164124909223,0.005584809318653262
2001-2005,Bases de datos,SK,1,1.0,1377,1193.7142857142858,0.0007262164124909223,0.0008377213977979895
2001-2005,Bases de datos,TH,2,2.0,1377,1193.7142857142858,0.0014524328249818446,0.001675442795595979
2001-2005,Bases de datos,TR,11,7.0,1377,1193.7142857142858,0.007988380537400145,0.005864049784585926
2001-2005,Bases de datos,TW,70,63.03333333333333,1377,1193.7142857142858,0.050835148874364564,0.0528043721078666
2001-2005,Bases de datos,TZ,1,0.5,1377,1193.7142857142858,0.0007262164124909223,0.00041886069889899473
2001-2005,Bases de datos,UA,1,0.5,1377,1193.7142857142858,0.0007262164124909223,0.00041886069889899473
2001-2005,Bases de datos,US,2736,2407.1833333333334,1377,1193.7142857142858,1.9869281045751634,2.0165489867560233
2001-2005,Bases de datos,VE,2,1.0,1377,1193.7142857142858,0.0014524328249818446,0.0008377213977979895
2001-2005,Bases de datos,VN,1,0.5,1377,1193.7142857142858,0.0007262164124909223,0.00041886069889899473
2001-2005,Bases de datos,ZA,2,1.5,1377,1193.7142857142858,0.0014524328249818446,0.0012565820966969842
2001-2005,Bioinformática,CA,2,2.0,9,9.0,0.2222222222222222,0.2222222222222222
2001-2005,Bioinformática,CH,1,1.0,9,9.0,0.1111111111111111,0.1111111111111111
2001-2005,Bioinformática,DE,4,4.0,9,9.0,0.4444444444444444,0.4444444444444444
2001-2005,Bioinformática,FI,1,1.0,9,9.0,0.1111111111111111,0.1111111111111111
2001-2005,Bioinformática,GB,3,3.0,9,9.0,0.3333333333333333,0.3333333333333333
2001-2005,Bioinformática,IL,6,5.5,9,9.0,0.6666666666666666,0.6111111111111112
2001-2005,Bioinformática,IT,1,1.0,9,9.0,0.1111111111111111,0.1111111111111111
