window,country_code,complete_count,fractional_count,eu_complete_den,eu_fractional_den,complete_share_eu,fractional_share_eu,complete_rank,fractional_rank
2001-2005,AT,332,257.3666666666667,14240,12513.952380952382,0.023314606741573034,0.020566377338818005,11,11
2001-2005,BE,454,361.8666666666667,14240,12513.952380952382,0.03188202247191011,0.028917056390390914,8,8
2001-2005,BG,22,11.333333333333334,14240,12513.952380952382,0.001544943820224719,0.0009056557823077479,22,22
2001-2005,CY,25,15.25,14240,12513.952380952382,0.0017556179775280898,0.001218639765899396,21,20
2001-2005,CZ,190,128.66666666666666,14240,12513.952380952382,0.013342696629213483,0.010281856822670313,15,15
2001-2005,DE,3145,2578.15,14240,12513.952380952382,0.2208567415730337,0.20602204016088707,1,1
2001-2005,DK,264,196.23333333333332,14240,12513.952380952382,0.01853932584269663,0.015681163501310914,12,12
2001-2005,EE,14,9.166666666666666,14240,12513.952380952382,0.0009831460674157304,0.0007325157062783254,23,24
2001-2005,ES,967,779.4,14240,12513.952380952382,0.06790730337078651,0.06228248088799929,6,6
2001-2005,FI,333,259.45952380952383,14240,12513.952380952382,0.023384831460674157,0.02073361923643324,10,10
2001-2005,FR,2545,2062.9166666666665,14240,12513.952380952382,0.17872191011235955,0.16484933008109043,3,3
2001-2005,GB,2998,2352.385714285714,14240,12513.952380952382,0.21053370786516853,0.18798103450244105,2,2
2001-2005,GR,345,276.59285714285716,14240,12513.952380952382,0.02422752808988764,0.022102757683804364,9,9
2001-2005,HR,12,9.25,14240,12513.952380952382,0.0008426966292134832,0.0007391749399717648,24,23
2001-2005,HU,130,85.07619047619048,14240,12513.952380952382,0.009129213483146067,0.006798506809542111,17,17
2001-2005,IE,226,185.66666666666666,14240,12513.952380952382,0.015870786516853932,0.01483677266898281,14,14
2001-2005,IT,1507,1221.9666666666667,14240,12513.952380952382,0.10582865168539325,0.09764833918711685,4,4
2001-2005,LT,5,4.5,14240,12513.952380952382,0.00035112359550561797,0.00035959861944572343,27,27
2001-2005,LU,12,7.666666666666666,14240,12513.952380952382,0.0008426966292134832,0.0006126494997964176,24,25
2001-2005,LV,11,7.25,14240,12513.952380952382,0.0007724719101123596,0.0005793533313292211,26,26
2001-2005,MT,1,0.5,14240,12513.952380952382,7.02247191011236e-05,3.9955402160635935e-05,28,28
2001-2005,NL,1091,837.0190476190476,14240,12513.952380952382,0.07661516853932585,0.06688686532746305,5,5
2001-2005,PL,151,100.85,14240,12513.952380952382,0.010603932584269662,0.008059004615800268,16,16
2001-2005,PT,230,189.42619047619047,14240,12513.952380952382,0.016151685393258428,0.01513719924046683,13,13
2001-2005,RO,31,21.30952380952381,14240,12513.952380952382,0.0021769662921348313,0.0017028611873223412,19,19
2001-2005,SE,612,484.85,14240,12513.952380952382,0.04297752808988764,0.03874475347516867,7,7
2001-2005,SI,74,56.416666666666664,14240,12513.952380952382,0.0051966292134831464,0.004508301210458421,18,18
2001-2005,SK,29,13.416666666666666,14240,12513.952380952382,0.0020365168539325843,0.0010721366246437308,20,21
2006-2010,AT,648,484.69166666666666,22048,18868.734523809522,0.02939042089985486,0.025687555572688685,9,9
2006-2010,BE,743,532.6011904761905,22048,18868.734523809522,0.03369920174165457,0.028226651331817055,7,8
2006-2010,BG,13,8.083333333333334,22048,18868.734523809522,0.0005896226415094339,0.0004283982756306935,25,25
2006-2010,CY,38,22.333333333333332,22048,18868.734523809522,0.001723512336719884,0.001183615854319854,21,21
2006-2010,CZ,271,189.07619047619048,22048,18868.734523809522,0.012291364296081277,0.010020607912926253,15,15
2006-2010,DE,5350,4225.220238095238,22048,18868.734523809522,0.24265239477503628,0.22392705948369995,1,1
2006-2010,DK,423,293.76666666666665,22048,18868.734523809522,0.01918541364296081,0.015568964961374438,12,14
2006-2010,EE,32,20.616666666666667,22048,18868.734523809522,0.001451378809869376,0.0010926364267116863,22,22
2006-2010,ES,1680,1257.277380952381,22048,18868.734523809522,0.07619738751814223,0.06663284065849169,5,5
2006-2010,FI,525,388.85833333333335,22048,18868.734523809522,0.023811683599419448,0.02060860694407737,11,11
2006-2010,FR,4093,3118.542857142857,22048,18868.734523809522,0.18564042089985486,0.16527567618314423,3,3
2006-2010,GB,4855,3496.3511904761904,22048,18868.734523809522,0.22020137880986937,0.18529865826795738,2,2
2006-2010,GR,563,437.2595238095238,22048,18868.734523809522,0.025535195936139333,0.02317375991790905,10,10
2006-2010,HR,19,11.166666666666666,22048,18868.734523809522,0.000861756168359942,0.000591807927159927,24,24
2006-2010,HU,166,102.41666666666667,22048,18868.734523809522,0.007529027576197387,0.00542785031701157,17,17
2006-2010,IE,402,318.28333333333336,22048,18868.734523809522,0.018232946298984035,0.016868292514885266,14,13
2006-2010,IT,2132,1624.127380952381,22048,18868.734523809522,0.09669811320754718,0.08607505600881579,4,4
2006-2010,LT,3,2.5,22048,18868.734523809522,0.00013606676342525398,0.00013249431205072994,28,28
2006-2010,LU,69,40.7,22048,18868.734523809522,0.0031295355587808416,0.0021570074001858834,19,20
2006-2010,LV,6,3.1666666666666665,22048,18868.734523809522,0.00027213352685050797,0.00016782612859759125,27,27
2006-2010,MT,8,6.0,22048,18868.734523809522,0.000362844702467344,0.00031798634892175187,26,26
2006-2010,NL,1614,1172.0428571428572,22048,18868.734523809522,0.07320391872278664,0.062115604820445924,6,6
2006-2010,PL,210,139.31666666666666,22048,18868.734523809522,0.009524673439767779,0.007383466362880344,16,16
2006-2010,PT,411,320.0,22048,18868.734523809522,0.018641146589259798,0.016959271942493432,13,12
2006-2010,RO,61,41.976190476190474,22048,18868.734523809522,0.002766690856313498,0.0022246425918613037,20,19
2006-2010,SE,735,539.9928571428571,22048,18868.734523809522,0.03333635703918723,0.028618392847780377,8,7
2006-2010,SI,71,52.0,22048,18868.734523809522,0.0032202467343976776,0.0027558816906551827,18,18
2006-2010,SK,29,20.366666666666667,22048,18868.734523809522,0.0013153120464441219,0.0010793869955066132,23,23
2011-2015,AT,1106,762.1083333333333,26136,21791.03888888889,0.04231711049892868,0.034973474060565675,7,7
2011-2015,BE,878,576.7,26136,21791.03888888889,0.03359351086623814,0.02646500714998291,9,9
2011-2015,BG,17,8.158333333333333,26136,21791.03888888889,0.0006504438322620141,0.0003743893705542059,26,26
2011-2015,CY,55,37.166666666666664,26136,21791.03888888889,0.0021043771043771043,0.001705594068101898,22,22
2011-2015,CZ,373,254.40833333333333,26136,21791.03888888889,0.014271502907866544,0.011674906122215886,15,15
2011-2015,DE,6970,5281.661904761905,26136,21791.03888888889,0.26668197122742576,0.24237770083807206,1,1
2011-2015,DK,632,420.5333333333333,26136,21791.03888888889,0.024181205999387816,0.0192984527023978,11,11
2011-2015,EE,71,42.86666666666667,26136,21791.03888888889,0.002716559534741353,0.001967169481236808,20,21
2011-2015,ES,1909,1286.620634920635,26136,21791.03888888889,0.0730410162228344,0.05904356563636232,5,5
2011-2015,FI,562,387.51666666666665,26136,21791.03888888889,0.02150290786654423,0.01778330389122746,13,13
2011-2015,FR,4508,3243.1218253968254,26136,21791.03888888889,0.17248239975512702,0.1488282335657926,3,3
2011-2015,GB,5981,4058.644047619048,26136,21791.03888888889,0.22884144475053567,0.18625289360061326,2,2
2011-2015,GR,664,459.1166666666667,26136,21791.03888888889,0.025405570860116314,0.021069058203588786,10,10
2011-2015,HR,32,19.666666666666668,26136,21791.03888888889,0.001224364860728497,0.0009025116593543677,24,24
2011-2015,HU,180,117.68571428571428,26136,21791.03888888889,0.006887052341597796,0.005400647251642576,17,17
2011-2015,IE,462,312.62619047619046,26136,21791.03888888889,0.017676767676767676,0.014346548233439047,14,14
2011-2015,IT,2560,1790.1845238095239,26136,21791.03888888889,0.09794918885827977,0.08215232568477163,4,4
2011-2015,LT,3,1.5833333333333333,26136,21791.03888888889,0.0001147842056932966,7.265983698191942e-05,28,28
2011-2015,LU,144,88.86666666666666,26136,21791.03888888889,0.005509641873278237,0.004078128955658888,18,18
2011-2015,LV,19,10.783333333333333,26136,21791.03888888889,0.0007269666360575452,0.0004948517318663355,25,25
2011-2015,MT,9,5.625,26136,21791.03888888889,0.0003443526170798898,0.0002581336313831348,27,27
2011-2015,NL,1742,1179.3440476190476,26136,21791.03888888889,0.06665136210590757,0.054120597628798124,6,6
2011-2015,PL,284,178.275,26136,21791.03888888889,0.010866238138965412,0.008181115223969486,16,16
2011-2015,PT,570,407.7083333333333,26136,21791.03888888889,0.021808999081726354,0.01870990802284425,12,12
2011-2015,RO,100,57.766666666666666,26136,21791.03888888889,0.0038261401897765534,0.002650936789256134,19,19
2011-2015,SE,1009,726.1,26136,21791.03888888889,0.03860575451484542,0.033321036399518965,8,8
2011-2015,SI,71,50.25,26136,21791.03888888889,0.002716559534741353,0.0023059937736893375,20,20
2011-2015,SK,42,25.95,26136,21791.03888888889,0.0016069788797061523,0.0011908564861141952,23,23
2016-2020,AT,1469,928.6873015873016,31263,25018.280402930402,0.04698845280363369,0.03712034906597833,7,7
2016-2020,BE,903,556.729304029304,31263,25018.280402930402,0.02888398426254678,0.022252900481685146,10,10
2016-2020,BG,25,11.0,31263,25018.280402930402,0.0007996673383872309,0.00043967849999441066,25,25
2016-2020,CY,73,40.509523809523806,31263,25018.280402930402,0.0023350286280907143,0.0016191969694599358,22,22
2016-2020,CZ,615,357.36349206349206,31263,25018.280402930402,0.01967181652432588,0.01428409492211279,12,14
2016-2020,DE,8270,5918.215811965812,31263,25018.280402930402,0.264529955538496,0.23655565916803012,2,1
2016-2020,DK,1021,643.488492063492,31263,25018.280402930402,0.03265841409973451,0.02572073226855831,9,9
2016-2020,EE,86,50.18571428571428,31263,25018.280402930402,0.0027508556440520742,0.0020059617798446295,21,21
2016-2020,ES,1536,986.3427960927961,31263,25018.280402930402,0.049131561270511465,0.03942488373330668,6,6
2016-2020,FI,842,531.9873015873015,31263,25018.280402930402,0.026932795956881937,0.02126394352527081,11,11
2016-2020,FR,4674,3154.397557997558,31263,25018.280402930402,0.1495058055848767,0.12608370788058168,3,3
2016-2020,GB,8966,5830.626129426129,31263,25018.280402930402,0.2867926942391965,0.23305463187402703,1,2
2016-2020,GR,596,397.93055555555554,31263,25018.280402930402,0.019064069347151585,0.015905591797146287,13,12
2016-2020,HR,30,16.743589743589745,31263,25018.280402930402,0.000959600806064677,0.0006692542202712126,24,24
2016-2020,HU,165,105.31111111111112,31263,25018.280402930402,0.005277804433355724,0.0042093664878252775,18,18
2016-2020,IE,445,294.5357142857143,31263,25018.280402930402,0.01423407862329271,0.011772820095629561,16,16
2016-2020,IT,2796,1882.509065934066,31263,25018.280402930402,0.08943479512522791,0.07524534203052448,4,4
2016-2020,LT,5,2.083333333333333,31263,25018.280402930402,0.00015993346767744618,8.327244318075959e-05,28,28
2016-2020,LU,217,131.51666666666665,31263,25018.280402930402,0.006941112497201164,0.005256822793114992,17,17
2016-2020,LV,12,8.583333333333334,31263,25018.280402930402,0.0003838403224258708,0.0003430824659047296,27,27
2016-2020,MT,14,8.616666666666667,31263,25018.280402930402,0.0004478137094968493,0.0003444148249956217,26,26
2016-2020,NL,2370,1485.429304029304,31263,25018.280402930402,0.0758084636791095,0.05937375711303144,5,5
2016-2020,PL,550,318.92777777777775,31263,25018.280402930402,0.01759268144451908,0.012747789721807642,15,15
2016-2020,PT,557,365.92930402930403,31263,25018.280402930402,0.017816588299267504,0.01462647704541846,14,13
2016-2020,RO,126,82.98333333333333,31263,25018.280402930402,0.004030323385471644,0.0033169079567760165,19,19
2016-2020,SE,1332,817.4503968253969,31263,25018.280402930402,0.04260627578927166,0.03267412402691148,8,8
2016-2020,SI,93,56.96785714285714,31263,25018.280402930402,0.002974762498800499,0.0022770492705879368,20,20
2016-2020,SK,68,33.228968253968254,31263,25018.280402930402,0.002175095160413268,0.0013281875380242412,23,23
2021-2025,AT,2217,1297.3059634809636,47038,35705.55937257187,0.047132105956885925,0.03633344460295788,6,6
2021-2025,BE,1236,748.962536075036,47038,35705.55937257187,0.026276627407627876,0.020976076253558726,10,10
2021-2025,BG,95,42.56666666666666,47038,35705.55937257187,0.0020196436923338576,0.0011921579556422052,24,24
2021-2025,CY,97,54.75119047619047,47038,35705.55937257187,0.0020621625069093073,0.0015334080025154006,23,22
2021-2025,CZ,780,468.4065476190476,47038,35705.55937257187,0.01658233768442536,0.013118588697391083,13,13
2021-2025,DE,12955,8682.680162892662,47038,35705.55937257187,0.275415621412475,0.2431744612174451,2,2
2021-2025,DK,1710,966.6172188922188,47038,35705.55937257187,0.03635358646200944,0.027071896810409595,9,9
2021-2025,EE,126,75.07619047619048,47038,35705.55937257187,0.002678685318253327,0.002102647089009398,20,20
2021-2025,ES,1990,1179.9094627594627,47038,35705.55937257187,0.042306220502572385,0.03304553922395177,8,8
2021-2025,FI,1107,641.8338675213676,47038,35705.55937257187,0.023534163867511372,0.017975740439300007,12,12
