venue,first_core_year,last_core_year,years_list,levels_list,in_current_2026_corpus
AFIPS,2018,2018,2018,A,False
AID,2008,2018,2008|2013|2014|2017|2018,A,False
AIIM,2008,2018,2008|2013|2014|2017|2018,A,False
AIME,2008,2014,2008|2013|2014,A,False
ALIFE,2008,2020,2008|2013|2014|2017|2018|2020,A,False
ALT,2013,2013,2013,A,False
AMCIS,2013,2018,2013|2014|2017|2018,A,False
AMIA,2008,2018,2008|2013|2014|2017|2018,A,False
AOSD,2008,2018,2008|2013|2014|2017|2018,A,False
APCOMin,2013,2018,2013|2014|2017|2018,A,False
ASAP,2008,2018,2008|2013|2014|2017|2018,A,False
ASIS&T,2008,2008,2008,A,False
ATVA,2008,2020,2008|2013|2014|2017|2018|2020,A,False
AVSS,2008,2008,2008,A,False
Ada-Europe,2008,2014,2008|2013|2014,A,False
AiML,2008,2020,2008|2013|2014|2017|2018|2020,A,False
BuildSys,2018,2018,2018,A,False
CAIP,2008,2008,2008,A,False
CASES,2008,2020,2008|2013|2014|2017|2018|2020,A,False
CBSE,2008,2013,2008|2013,A,False
CC,2008,2020,2008|2013|2014|2017|2018|2020,A,False
CCGRID,2008,2021,2008|2013|2014|2017|2018|2020|2021,A,False
CDC,2008,2018,2008|2013|2014|2017|2018,A,False
CEC,2008,2013,2008|2013,A,False
CGI,2008,2008,2008,A,False
CLUSTER,2008,2021,2008|2013|2014|2017|2018|2020|2021,A,False
COCOON,2008,2018,2008|2013|2014|2017|2018,A,False
COLING,2008,2021,2008|2013|2014|2017|2018|2020|2021,A,False
CONCUR,2008,2023,2008|2013|2014|2017|2018|2020|2021|2023,A,False
CPAIOR,2008,2008,2008,A,False
CSB,2008,2018,2008|2013|2014|2017|2018,A,False
CSCL,2008,2020,2008|2013|2014|2017|2018|2020,A|A*,False
CSFW,2008,2008,2008,A,False
CoNLL,2008,2021,2008|2013|2014|2017|2018|2020|2021,A,False
CogSci,2008,2021,2008|2013|2014|2017|2018|2020|2021,A,False
CoopIS,2008,2020,2008|2013|2014|2017|2018|2020,A,False
Coordination,2008,2017,2008|2013|2014|2017,A,False
DAS,2008,2008,2008,A,False
DBSEC,2008,2017,2008|2013|2014|2017,A,False
DCC,2008,2020,2008|2013|2014|2017|2018|2020,A*,False
DESRIST,2013,2018,2013|2014|2017|2018,A,False
DEXA,2008,2008,2008,A,False
DIGRA,2008,2008,2008,A,False
DOOD,2008,2018,2008|2013|2014|2017|2018,A,False
