venue,first_core_year,last_core_year,years_list,levels_list,in_current_2026_corpus,min_year,max_year,n_papers
AAAI,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2004,2025,21756
AAMAS,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A|A*,True,2002,2024,6713
ACL,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,9617
ACMMM,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,10640
ACSAC,2013,2026,2013|2014|2017|2018|2023|2026,A,True,2001,2025,1339
AIED,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2005,2023,1122
AISTATS,2014,2026,2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,4370
ALENEX,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,376
APPROX/RANDOM,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2002,2025,1254
ASE,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A|A*,True,2001,2025,3133
ASIACRYPT,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2012,437
ASPLOS,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2002,2022,891
ASSETS,2021,2026,2021|2023|2026,A,True,2002,2025,1996
AsiaCCS,2021,2026,2021|2023|2026,A,True,2021,2025,541
BMVC,2008,2026,2008|2023|2026,A,True,2001,2024,4127
BPM,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2007,2025,527
CADE,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2002,2025,477
CAV,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2014,770
CCC,2017,2026,2017|2018|2020|2021|2023|2026,A,True,2001,2025,841
CCS,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,3754
CGO,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2003,2025,680
CHES,2018,2026,2018|2020|2021|2023|2026,A,True,2001,2017,552
CHI,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,11478
CIDR,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2003,2025,661
CIKM,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,8847
COLT,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2002,2025,1922
CP,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,1614
CRYPTO,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2012,448
CSCW,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2002,2017,1371
CSF,2013,2026,2013|2014|2017|2018|2020|2021|2023|2026,A,True,2007,2025,571
CVPR,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A|A*,True,2007,2025,21243
CaiSE,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2024,976
CoNEXT,2013,2026,2013|2014|2017|2018|2020|2021|2023|2026,A,True,2005,2022,802
