venue,tier,tier_reason,tier_action,priority_level,priority_score,inferred_area,ever_astar,years_present,active_article_years_required,manual_include,manual_area,manual_dblp_key_or_booktitle,manual_notes
DCC,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,27.6,Visión / Imagen / Gráficos,True,6,13,,,,
IPSN,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,26.6,Sistemas empotrados / Tiempo real,True,8,18,,,,
ISSAC,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,26.6,Teoría / Métodos formales / PL,True,8,18,,,,
SENSYS,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,26.6,Sistemas empotrados / Tiempo real,True,8,18,,,,
UbiComp,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,23.4,HCI / CSCW / Documentos,True,5,12,,,,
CONCUR,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,21.6,Teoría / Métodos formales / PL,False,8,18,,,,
EDBT,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,21.6,Bases de datos / Web / Conocimiento,False,8,18,,,,
FM,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,21.6,Teoría / Métodos formales / PL,False,8,18,,,,
ICLP,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,21.6,Teoría / Métodos formales / PL,False,8,18,,,,
CCGRID,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,21.0,Sistemas / HPC / Arquitectura,False,7,15,,,,
CLUSTER,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,21.0,Sistemas / HPC / Arquitectura,False,7,15,,,,
COLING,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,21.0,NLP,False,7,15,,,,
CoNLL,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,21.0,NLP,False,7,15,,,,
ECRTS,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,21.0,Sistemas empotrados / Tiempo real,False,7,15,,,,
ESWC,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,21.0,Bases de datos / Web / Conocimiento,False,7,15,,,,
PAKDD,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,21.0,Machine Learning / Data Mining,False,7,15,,,,
ATVA,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,20.6,Teoría / Métodos formales / PL,False,6,13,,,,
CASES,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,20.6,Sistemas empotrados / Tiempo real,False,6,13,,,,
CC,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,20.6,Teoría / Métodos formales / PL,False,6,13,,,,
CoopIS,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,20.6,Ingeniería del Software / Servicios,False,6,13,,,,
EMSOFT,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,20.6,Sistemas empotrados / Tiempo real,False,6,13,,,,
EWSN,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,20.6,Sistemas empotrados / Tiempo real,False,6,13,,,,
EuroPar,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,20.6,Sistemas / HPC / Arquitectura,False,6,13,,,,
FCCM,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,20.6,Sistemas / HPC / Arquitectura,False,6,13,,,,
HOTCHIPS (HCS),TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,20.6,Sistemas / HPC / Arquitectura,False,6,13,,,,
ICECCS,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,20.6,Ingeniería del Software / Servicios,False,6,13,,,,
RSS,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,20.4,Sin clasificar,True,5,12,,,,
IPCO,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,19.6,Teoría / Métodos formales / PL,False,8,18,,,,
ISAAC,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,19.6,Teoría / Métodos formales / PL,False,8,18,,,,
TARK,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,19.6,Teoría / Métodos formales / PL,False,8,18,,,,
ICNP,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,19.0,Sistemas / HPC / Arquitectura,False,7,15,,,,
ICPP,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,19.0,Sistemas / HPC / Arquitectura,False,7,15,,,,
LPAR,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,19.0,Teoría / Métodos formales / PL,False,7,15,,,,
PPoPP,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,19.0,Sistemas / HPC / Arquitectura,False,7,15,,,,
RANDOM,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,19.0,Teoría / Métodos formales / PL,False,7,15,,,,
SPAA,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,19.0,Sistemas / HPC / Arquitectura,False,7,15,,,,
PERVASIVE,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,18.8,HCI / CSCW / Documentos,True,3,9,,,,
