venue,priority_level,priority_score,inferred_area,ever_astar,years_present,active_article_years_required,recommended_action,manual_include,manual_area,manual_dblp_key_or_booktitle,manual_notes
DCC,HIGH,27.6,Visión / Imagen / Gráficos,True,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
IPSN,HIGH,26.6,Sistemas empotrados / Tiempo real,True,8,18,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ISSAC,HIGH,26.6,Teoría / Métodos formales / PL,True,8,18,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
SENSYS,HIGH,26.6,Sistemas empotrados / Tiempo real,True,8,18,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
UbiComp,HIGH,23.4,HCI / CSCW / Documentos,True,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
CSCL,HIGH,22.6,Educación / Learning technologies,True,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
IEEE InfoVis,HIGH,22.6,Sin clasificar,True,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ICIS,HIGH,22.4,Sistemas de información,True,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
CONCUR,HIGH,21.6,Teoría / Métodos formales / PL,False,8,18,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
EDBT,HIGH,21.6,Bases de datos / Web / Conocimiento,False,8,18,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
FM,HIGH,21.6,Teoría / Métodos formales / PL,False,8,18,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ICLP,HIGH,21.6,Teoría / Métodos formales / PL,False,8,18,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
CCGRID,HIGH,21.0,Sistemas / HPC / Arquitectura,False,7,15,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
CLUSTER,HIGH,21.0,Sistemas / HPC / Arquitectura,False,7,15,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
COLING,HIGH,21.0,NLP,False,7,15,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
CoNLL,HIGH,21.0,NLP,False,7,15,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ECRTS,HIGH,21.0,Sistemas empotrados / Tiempo real,False,7,15,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ESWC,HIGH,21.0,Bases de datos / Web / Conocimiento,False,7,15,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
PAKDD,HIGH,21.0,Machine Learning / Data Mining,False,7,15,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ATVA,HIGH,20.6,Teoría / Métodos formales / PL,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
CASES,HIGH,20.6,Sistemas empotrados / Tiempo real,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
CC,HIGH,20.6,Teoría / Métodos formales / PL,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
CoopIS,HIGH,20.6,Ingeniería del Software / Servicios,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
EMSOFT,HIGH,20.6,Sistemas empotrados / Tiempo real,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
EWSN,HIGH,20.6,Sistemas empotrados / Tiempo real,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
EuroPar,HIGH,20.6,Sistemas / HPC / Arquitectura,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
FCCM,HIGH,20.6,Sistemas / HPC / Arquitectura,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
HOTCHIPS (HCS),HIGH,20.6,Sistemas / HPC / Arquitectura,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ICECCS,HIGH,20.6,Ingeniería del Software / Servicios,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
JCDL,HIGH,20.4,Sin clasificar,True,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
RSS,HIGH,20.4,Sin clasificar,True,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
IPCO,HIGH,19.6,Teoría / Métodos formales / PL,False,8,18,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ISAAC,HIGH,19.6,Teoría / Métodos formales / PL,False,8,18,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
