scenario,country_code,count,eu_den,share,rank
2021_2025_full,DK,1710,47038,0.03635358646200944,9
2021_2025_full,BE,1236,47038,0.026276627407627876,10
2021_2025_full,SI,123,47038,0.0026149070963901525,21
2021_2025_full,LU,324,47038,0.006888047961222841,17
2021_2025_full,AT,2217,47038,0.047132105956885925,6
2021_2025_full,IE,542,47038,0.011522598749946851,16
2021_2025_full,LT,10,47038,0.00021259407287724819,28
2021_2025_full,CZ,780,47038,0.01658233768442536,13
2021_2025_full,GR,648,47038,0.013776095922445683,14
2021_2025_full,FR,6337,47038,0.13472086398231217,3
2021_2025_full,CY,97,47038,0.0020621625069093073,23
2021_2025_full,SK,110,47038,0.00233853480164973,22
2021_2025_full,GB,14709,47038,0.31270462179514436,1
2021_2025_full,HU,169,47038,0.003592839831625494,18
2021_2025_full,EE,126,47038,0.002678685318253327,20
2021_2025_full,LV,11,47038,0.000233853480164973,26
2021_2025_full,PT,615,47038,0.013074535481950764,15
2021_2025_full,ES,1990,47038,0.042306220502572385,8
2021_2025_full,SE,2187,47038,0.04649432373825418,7
2021_2025_full,DE,12955,47038,0.275415621412475,2
2021_2025_full,RO,141,47038,0.0029975764275691993,19
2021_2025_full,BG,95,47038,0.0020196436923338576,24
2021_2025_full,MT,11,47038,0.000233853480164973,26
2021_2025_full,NL,3865,47038,0.08216760916705643,5
2021_2025_full,FI,1107,47038,0.023534163867511372,12
2021_2025_full,IT,4069,47038,0.08650452825375228,4
2021_2025_full,PL,1160,47038,0.02466091245376079,11
2021_2025_full,HR,51,47038,0.0010842297716739658,25
2021_2024_excl_2025,DK,1323,36556,0.036191049348944085,9
2021_2024_excl_2025,BE,982,36556,0.026862895283947915,10
2021_2024_excl_2025,SI,92,36556,0.002516686727213043,21
2021_2024_excl_2025,LU,251,36556,0.0068661779188094975,17
2021_2024_excl_2025,AT,1703,36556,0.04658605974395448,6
2021_2024_excl_2025,IE,403,36556,0.011024182076813657,16
2021_2024_excl_2025,LT,6,36556,0.0001641317430791115,28
2021_2024_excl_2025,CZ,625,36556,0.01709705657074078,13
2021_2024_excl_2025,GR,488,36556,0.013349381770434402,14
2021_2024_excl_2025,FR,4977,36556,0.13614728088412298,3
2021_2024_excl_2025,CY,78,36556,0.0021337126600284497,23
2021_2024_excl_2025,SK,79,36556,0.0021610679505416346,22
2021_2024_excl_2025,GB,11470,36556,0.31376518218623484,1
2021_2024_excl_2025,HU,114,36556,0.0031185031185031187,18
2021_2024_excl_2025,EE,101,36556,0.0027628843418317102,19
2021_2024_excl_2025,LV,10,36556,0.0002735529051318525,26
2021_2024_excl_2025,PT,460,36556,0.012583433636065214,15
2021_2024_excl_2025,ES,1508,36556,0.041251778093883355,8
2021_2024_excl_2025,SE,1670,36556,0.04568333515701937,7
2021_2024_excl_2025,DE,10158,36556,0.27787504103293575,2
2021_2024_excl_2025,RO,100,36556,0.002735529051318525,20
2021_2024_excl_2025,BG,57,36556,0.0015592515592515593,24
2021_2024_excl_2025,MT,8,36556,0.000218842324105482,27
2021_2024_excl_2025,NL,3007,36556,0.08225735857314805,5
2021_2024_excl_2025,FI,842,36556,0.02303315461210198,12
2021_2024_excl_2025,IT,3037,36556,0.08307801728854361,4
2021_2024_excl_2025,PL,881,36556,0.024100010942116206,11
2021_2024_excl_2025,HR,39,36556,0.0010668563300142249,25
2025_only,DK,387,10482,0.03692043503148254,9
2025_only,BE,254,10482,0.0242320167906888,12
2025_only,SI,31,10482,0.0029574508681549324,21
2025_only,LU,73,10482,0.006964319786300324,17
2025_only,AT,514,10482,0.04903644342682694,7
2025_only,IE,139,10482,0.013260828086243083,16
2025_only,LT,4,10482,0.00038160656363289447,26
2025_only,CZ,155,10482,0.014787254340774662,14
2025_only,GR,160,10482,0.01526426254531578,13
2025_only,FR,1360,10482,0.12974623163518412,3
2025_only,CY,19,10482,0.0018126311772562488,24
2025_only,SK,31,10482,0.0029574508681549324,21
2025_only,GB,3239,10482,0.3090059149017363,1
2025_only,HU,55,10482,0.0052470902499523,18
2025_only,EE,25,10482,0.0023850410227055905,23
2025_only,LV,1,10482,9.540164090822362e-05,28
2025_only,PT,155,10482,0.014787254340774662,14
2025_only,ES,482,10482,0.045983590917763786,8
2025_only,SE,517,10482,0.049322648349551614,6
2025_only,DE,2797,10482,0.2668383896203015,2
2025_only,RO,41,10482,0.003911467277237168,19
2025_only,BG,38,10482,0.0036252623545124977,20
2025_only,MT,3,10482,0.00028620492272467084,27
2025_only,NL,858,10482,0.08185460789925587,5
2025_only,FI,265,10482,0.02528143484067926,11
2025_only,IT,1032,10482,0.09845449341728678,4
2025_only,PL,279,10482,0.02661705781339439,10
2025_only,HR,12,10482,0.0011448196908986834,25
