venue,area,level,total,resolved,coverage
USENIX,Sistemas,A,1057,30,0.02838221381267739
NDSS,Seguridad,A*,1426,117,0.0820476858345021
ICAPS,IA / ML,A*,1258,147,0.11685214626391097
USENIX-Security,Seguridad,A*,2819,497,0.17630365377793544
AISTATS,IA / ML,A,4370,879,0.2011441647597254
OSDI,Sistemas,A*,611,141,0.23076923076923078
AAMAS,IA / ML,A,6713,1642,0.24460002979293907
UAI,IA / ML,A,2849,763,0.2678132678132678
FAST,Sistemas,A,565,155,0.2743362831858407
ICWSM,IA / ML,A,1952,575,0.29456967213114754
CIDR,Bases de datos,A,661,195,0.2950075642965204
COLT,Teoría,A*,1922,671,0.34911550468262226
BMVC,IA / ML,A,4127,1483,0.35934092561182457
Interspeech,IA / ML,A,21223,8941,0.4212882250388729
SODA,Teoría,A*,3794,1853,0.48840274117026883
KR,IA / ML,A*,1147,561,0.4891020052310375
HotOS,Sistemas,A,394,200,0.5076142131979695
ACL,IA / ML,A*,9617,5221,0.5428927940106062
EMNLP,IA / ML,A*,9202,5589,0.6073679634861987
EACL,IA / ML,A,1186,722,0.6087689713322091
SDM,IA / ML,A,2055,1327,0.645742092457421
IJCAI,IA / ML,A*,12126,7911,0.6523998020781792
AIED,IA / ML,A,1122,738,0.6577540106951871
SOUPS,Seguridad,A,353,237,0.6713881019830028
NeurIPS,IA / ML,A*,22876,15427,0.67437489071516
ICML,IA / ML,A*,15644,10579,0.6762336998210177
NAACL,IA / ML,A,1643,1196,0.7279367011564212
SIGGRAPH,HCI,A*,8892,6501,0.7311066126855601
ALENEX,Teoría,A,376,277,0.7367021276595744
VLDB,Bases de datos,A*,5792,4795,0.8278660220994475
ECAI,IA / ML,A,3972,3308,0.8328298086606244
APPROX/RANDOM,Teoría,A,1254,1061,0.8460925039872408
SC,Sistemas,A,2346,1993,0.8495311167945439
SiggraphA,HCI,A*,2060,1760,0.8543689320388349
SoCG,Teoría,A*,951,823,0.8654048370136698
STACS,Teoría,A,1477,1289,0.8727149627623562
IEEE VIS,HCI,A,477,417,0.8742138364779874
RAID,Seguridad,A,690,609,0.8826086956521739
DATE,Sistemas,A,7874,6973,0.8855727711455423
FOGA,IA / ML,A,205,182,0.8878048780487805
CCC,Teoría,A,841,748,0.8894173602853745
AAAI,IA / ML,A*,21756,19369,0.8902831402831403
ICDT,Bases de datos,A,538,487,0.9052044609665427
CADE,Teoría,A,477,438,0.9182389937106918
CGO,Ing. del Software,A,680,626,0.9205882352941176
HPDC,Sistemas,A,971,895,0.92173017507724
MICCAI,IA / ML,A,14260,13149,0.9220897615708274
EASE,Ing. del Software,A,911,841,0.9231613611416026
ITC,Sistemas,A,2450,2264,0.9240816326530612
