window,area,level,total,resolved,coverage
2001-2005,Bases de datos,A,1397,1299,0.9298496778811739
2001-2005,Bases de datos,A*,3891,3496,0.8984836802878438
2001-2005,Bioinformática,A,43,40,0.9302325581395349
2001-2005,HCI,A,1706,1611,0.9443141852286049
2001-2005,HCI,A*,3255,2451,0.7529953917050691
2001-2005,IA / ML,A,14861,10360,0.6971267074894018
2001-2005,IA / ML,A*,9279,6381,0.6876818622696411
2001-2005,Ing. del Software,A,2367,2165,0.9146599070553443
2001-2005,Ing. del Software,A*,1531,1357,0.8863487916394513
2001-2005,Redes,A,626,511,0.8162939297124601
2001-2005,Redes,A*,1416,1349,0.952683615819209
2001-2005,Seguridad,A,874,794,0.9084668192219679
2001-2005,Seguridad,A*,820,599,0.7304878048780488
2001-2005,Sistemas,A,7573,6750,0.8913244420969233
2001-2005,Sistemas,A*,2075,1931,0.9306024096385542
2001-2005,Teoría,A,2043,1905,0.9324522760646109
2001-2005,Teoría,A*,2481,1771,0.7138250705360741
2006-2010,Bases de datos,A,2654,2552,0.9615674453654861
2006-2010,Bases de datos,A*,6095,5792,0.9502871205906481
2006-2010,Bioinformática,A,50,48,0.96
2006-2010,HCI,A,1910,1894,0.9916230366492147
2006-2010,HCI,A*,5523,4650,0.841933731667572
2006-2010,IA / ML,A,18285,15248,0.8339075745146295
2006-2010,IA / ML,A*,14443,9733,0.6738904659696738
2006-2010,Ing. del Software,A,3941,3772,0.9571174828723674
2006-2010,Ing. del Software,A*,1670,1647,0.9862275449101796
2006-2010,Redes,A,1414,1375,0.9724186704384724
2006-2010,Redes,A*,2119,2078,0.9806512505899009
2006-2010,Seguridad,A,1266,1226,0.9684044233807267
2006-2010,Seguridad,A*,975,754,0.7733333333333333
2006-2010,Sistemas,A,8153,7359,0.9026125352630934
2006-2010,Sistemas,A*,2389,2261,0.9464210966931771
2006-2010,Teoría,A,1988,1891,0.9512072434607646
2006-2010,Teoría,A*,2213,1540,0.6958879349299594
2011-2015,Bases de datos,A,3658,3515,0.9609075997813012
2011-2015,Bases de datos,A*,6170,5993,0.9713128038897894
2011-2015,HCI,A,3311,3305,0.9981878586529749
2011-2015,HCI,A*,6420,5566,0.8669781931464174
2011-2015,IA / ML,A,18953,13739,0.7248984329657574
2011-2015,IA / ML,A*,20032,14855,0.7415634984025559
2011-2015,Ing. del Software,A,4691,4605,0.9816670219569388
2011-2015,Ing. del Software,A*,2296,2270,0.9886759581881533
2011-2015,Redes,A,1461,1449,0.9917864476386037
2011-2015,Redes,A*,2669,2653,0.994005245410266
2011-2015,Seguridad,A,1129,1084,0.9601417183348095
2011-2015,Seguridad,A*,1679,1249,0.7438951756998213
2011-2015,Sistemas,A,6627,5969,0.900709219858156
2011-2015,Sistemas,A*,2685,2609,0.9716945996275606
2011-2015,Teoría,A,2299,2123,0.9234449760765551
2011-2015,Teoría,A*,2510,2127,0.8474103585657371
2016-2020,Bases de datos,A,3710,3607,0.9722371967654987
2016-2020,Bases de datos,A*,8543,8314,0.9731944281868197
2016-2020,HCI,A,4218,4202,0.9962067330488383
2016-2020,HCI,A*,7206,6659,0.9240910352484041
2016-2020,IA / ML,A,24637,16933,0.6872995900474895
2016-2020,IA / ML,A*,40060,32517,0.8117074388417373
2016-2020,Ing. del Software,A,4427,4255,0.9611475039530156
2016-2020,Ing. del Software,A*,1775,1762,0.9926760563380281
2016-2020,Redes,A,1484,1471,0.9912398921832885
2016-2020,Redes,A*,2205,2167,0.982766439909297
2016-2020,Seguridad,A,1372,1207,0.8797376093294461
2016-2020,Seguridad,A*,2126,1470,0.691439322671684
2016-2020,Sistemas,A,7391,6401,0.8660533080773914
2016-2020,Sistemas,A*,2975,2791,0.9381512605042017
2016-2020,Teoría,A,2328,2029,0.8715635738831615
2016-2020,Teoría,A*,4260,3490,0.8192488262910798
2021-2025,Bases de datos,A,5595,5389,0.9631814119749776
2021-2025,Bases de datos,A*,11863,11657,0.9826350838742308
2021-2025,HCI,A,2578,2578,1.0
2021-2025,HCI,A*,9446,9358,0.990683887359729
2021-2025,IA / ML,A,38782,27367,0.705662420710639
2021-2025,IA / ML,A*,92173,81622,0.885530469877296
2021-2025,Ing. del Software,A,4746,4702,0.9907290349768226
2021-2025,Ing. del Software,A*,2443,2433,0.9959066721244372
2021-2025,Redes,A,1892,1876,0.9915433403805497
2021-2025,Redes,A*,2411,2373,0.9842389050186644
2021-2025,Seguridad,A,2461,2344,0.9524583502641203
2021-2025,Seguridad,A*,4014,1800,0.4484304932735426
2021-2025,Sistemas,A,7899,7295,0.9235346246360299
2021-2025,Sistemas,A*,3974,3715,0.9348263714141922
2021-2025,Teoría,A,2674,2508,0.9379207180254301
2021-2025,Teoría,A*,5560,4522,0.8133093525179856
