window,area,unique_european_articles,sum_complete_country_counts,mean_eu_countries_per_article,median_eu_countries_per_article,share_intra_eu_collab,inflation_factor_complete_over_unique,sum_of_all_country_shares
2001-2005,Bases de datos,1377,1526,1.1082062454611474,1.0,0.09658678286129267,1.1082062454611474,1.1082062454611474
2001-2005,Bioinformática,9,9,1.0,1.0,0.0,1.0,1.0
2001-2005,HCI,1061,1139,1.0735155513666352,1.0,0.06597549481621112,1.0735155513666352,1.0735155513666352
2001-2005,IA / ML,5293,5724,1.081428301530323,1.0,0.07387115057623277,1.081428301530323,1.081428301530323
2001-2005,Ing. del Software,1468,1664,1.1335149863760219,1.0,0.11852861035422343,1.1335149863760219,1.1335149863760219
2001-2005,Redes,429,468,1.0909090909090908,1.0,0.07692307692307693,1.0909090909090908,1.0909090909090908
2001-2005,Seguridad,455,506,1.1120879120879121,1.0,0.1054945054945055,1.1120879120879121,1.1120879120879121
2001-2005,Sistemas,2331,2588,1.1102531102531104,1.0,0.10081510081510081,1.1102531102531104,1.1102531102531104
2001-2005,Teoría,1817,2132,1.1733626857457347,1.0,0.15795266923500276,1.1733626857457347,1.1733626857457347
2006-2010,Bases de datos,2589,2981,1.1514098107377366,1.0,0.13441483198146004,1.1514098107377366,1.1514098107377366
2006-2010,Bioinformática,14,15,1.0714285714285714,1.0,0.07142857142857142,1.0714285714285714,1.0714285714285714
2006-2010,HCI,1889,2079,1.100582318687136,1.0,0.092641609317099,1.100582318687136,1.100582318687136
2006-2010,IA / ML,9144,10215,1.1171259842519685,1.0,0.10575240594925635,1.1171259842519685,1.1171259842519685
2006-2010,Ing. del Software,2424,2858,1.1790429042904291,1.0,0.16212871287128713,1.1790429042904291,1.1790429042904291
2006-2010,Redes,934,1083,1.1595289079229123,1.0,0.1349036402569593,1.1595289079229123,1.1595289079229123
2006-2010,Seguridad,782,977,1.2493606138107416,1.0,0.21611253196930946,1.2493606138107416,1.2493606138107416
2006-2010,Sistemas,2754,3108,1.1285403050108933,1.0,0.11583151779230211,1.1285403050108933,1.1285403050108933
2006-2010,Teoría,1518,1854,1.2213438735177866,1.0,0.19696969696969696,1.2213438735177866,1.2213438735177866
2011-2015,Bases de datos,2905,3511,1.208605851979346,1.0,0.1810671256454389,1.208605851979346,1.208605851979346
2011-2015,HCI,2911,3335,1.1456544142906218,1.0,0.12538646513225696,1.1456544142906218,1.1456544142906218
2011-2015,IA / ML,10640,12358,1.1614661654135339,1.0,0.14154135338345863,1.1614661654135339,1.1614661654135339
2011-2015,Ing. del Software,3258,3915,1.201657458563536,1.0,0.17341927562922038,1.201657458563536,1.201657458563536
2011-2015,Redes,1000,1217,1.217,1.0,0.184,1.217,1.217
2011-2015,Seguridad,965,1214,1.2580310880829015,1.0,0.22072538860103627,1.2580310880829015,1.2580310880829015
2011-2015,Sistemas,2484,2910,1.171497584541063,1.0,0.142914653784219,1.171497584541063,1.171497584541063
2011-2015,Teoría,1973,2493,1.2635580334515966,1.0,0.22706538266599088,1.2635580334515966,1.2635580334515966
2016-2020,Bases de datos,2977,3565,1.1975142761168962,1.0,0.1719852200201545,1.1975142761168962,1.1975142761168962
2016-2020,HCI,3291,3854,1.1710726223032513,1.0,0.14646004254026132,1.1710726223032513,1.1710726223032513
2016-2020,IA / ML,15139,17902,1.1825087522293414,1.0,0.15608692780236474,1.1825087522293414,1.1825087522293414
2016-2020,Ing. del Software,2591,3235,1.2485526823620223,1.0,0.20262446931686606,1.2485526823620223,1.2485526823620223
2016-2020,Redes,908,1103,1.2147577092511013,1.0,0.18061674008810572,1.2147577092511013,1.2147577092511013
2016-2020,Seguridad,1092,1394,1.2765567765567765,1.0,0.24175824175824176,1.2765567765567765,1.2765567765567765
2016-2020,Sistemas,2576,3137,1.21777950310559,1.0,0.16964285714285715,1.21777950310559,1.21777950310559
2016-2020,Teoría,2689,3666,1.3633320937151356,1.0,0.29750836742283376,1.3633320937151356,1.3633320937151356
2021-2025,Bases de datos,3636,4463,1.2274477447744774,1.0,0.18426842684268427,1.2274477447744774,1.2274477447744774
2021-2025,HCI,3734,4606,1.2335297268344938,1.0,0.19014461703267274,1.2335297268344938,1.2335297268344938
2021-2025,IA / ML,28372,33904,1.194980967150712,1.0,0.16829973213026928,1.194980967150712,1.194980967150712
2021-2025,Ing. del Software,2715,3260,1.2007366482504604,1.0,0.17016574585635358,1.2007366482504604,1.2007366482504604
2021-2025,Redes,1006,1222,1.2147117296222665,1.0,0.18588469184890655,1.2147117296222665,1.2147117296222665
2021-2025,Seguridad,1556,1961,1.2602827763496145,1.0,0.2159383033419023,1.2602827763496145,1.2602827763496145
2021-2025,Sistemas,2832,3537,1.2489406779661016,1.0,0.1931497175141243,1.2489406779661016,1.2489406779661016
2021-2025,Teoría,3187,4442,1.3937872607467838,1.0,0.29777219956071543,1.3937872607467838,1.3937872607467838
