window,scenario,country_code,count,eu_den,share,rank
2001-2005,observed,AT,332,14240,0.023314606741573034,11
2001-2005,observed,MT,1,14240,7.02247191011236e-05,28
2001-2005,observed,BE,454,14240,0.03188202247191011,8
2001-2005,observed,RO,31,14240,0.0021769662921348313,19
2001-2005,observed,NL,1091,14240,0.07661516853932585,5
2001-2005,observed,DE,3145,14240,0.2208567415730337,1
2001-2005,observed,GR,345,14240,0.02422752808988764,9
2001-2005,observed,ES,967,14240,0.06790730337078651,6
2001-2005,observed,CY,25,14240,0.0017556179775280898,21
2001-2005,observed,HU,130,14240,0.009129213483146067,17
2001-2005,observed,GB,2998,14240,0.21053370786516853,2
2001-2005,observed,BG,22,14240,0.001544943820224719,22
2001-2005,observed,PT,230,14240,0.016151685393258428,13
2001-2005,observed,SK,29,14240,0.0020365168539325843,20
2001-2005,observed,FI,333,14240,0.023384831460674157,10
2001-2005,observed,IE,226,14240,0.015870786516853932,14
2001-2005,observed,SI,74,14240,0.0051966292134831464,18
2001-2005,observed,LU,12,14240,0.0008426966292134832,24
2001-2005,observed,LV,11,14240,0.0007724719101123596,26
2001-2005,observed,EE,14,14240,0.0009831460674157304,23
2001-2005,observed,HR,12,14240,0.0008426966292134832,24
2001-2005,observed,FR,2545,14240,0.17872191011235955,3
2001-2005,observed,DK,264,14240,0.01853932584269663,12
2001-2005,observed,IT,1507,14240,0.10582865168539325,4
2001-2005,observed,CZ,190,14240,0.013342696629213483,15
2001-2005,observed,LT,5,14240,0.00035112359550561797,27
2001-2005,observed,SE,612,14240,0.04297752808988764,7
2001-2005,observed,PL,151,14240,0.010603932584269662,16
2001-2005,optimistic_ES,AT,332,25708,0.012914267932161196,11
2001-2005,optimistic_ES,MT,1,25708,3.8898397386027695e-05,28
2001-2005,optimistic_ES,BE,454,25708,0.017659872413256575,8
2001-2005,optimistic_ES,RO,31,25708,0.0012058503189668586,19
2001-2005,optimistic_ES,NL,1091,25708,0.042438151548156215,6
2001-2005,optimistic_ES,DE,3145,25708,0.1223354597790571,2
2001-2005,optimistic_ES,GR,345,25708,0.013419947098179555,9
2001-2005,optimistic_ES,ES,12435,25708,0.4837015714952544,1
