window,country_code,count,eu_den,share,rank,coverage_threshold
2001-2005,SI,54,11660,0.004631217838765009,18,0.8
2001-2005,FI,285,11660,0.02444253859348199,10,0.8
2001-2005,FR,2211,11660,0.18962264150943398,3,0.8
2001-2005,PL,137,11660,0.011749571183533447,16,0.8
2001-2005,BE,386,11660,0.03310463121783876,8,0.8
2001-2005,BG,20,11660,0.0017152658662092624,21,0.8
2001-2005,ES,798,11660,0.06843910806174958,6,0.8
2001-2005,DK,234,11660,0.02006861063464837,12,0.8
2001-2005,AT,263,11660,0.0225557461406518,11,0.8
2001-2005,GR,306,11660,0.026243567753001715,9,0.8
2001-2005,PT,170,11660,0.014579759862778732,14,0.8
2001-2005,HR,6,11660,0.0005145797598627787,26,0.8
2001-2005,GB,2226,11660,0.19090909090909092,2,0.8
2001-2005,EE,11,11660,0.0009433962264150943,23,0.8
2001-2005,LV,11,11660,0.0009433962264150943,23,0.8
2001-2005,CY,19,11660,0.0016295025728987993,22,0.8
2001-2005,IT,1324,11660,0.11355060034305317,4,0.8
2001-2005,HU,117,11660,0.010034305317324185,17,0.8
2001-2005,IE,172,11660,0.014751286449399657,13,0.8
2001-2005,NL,863,11660,0.07401372212692968,5,0.8
2001-2005,DE,2608,11660,0.2236706689536878,1,0.8
2001-2005,CZ,144,11660,0.012349914236706689,15,0.8
2001-2005,LU,7,11660,0.0006003430531732419,25,0.8
2001-2005,MT,1,11660,8.576329331046312e-05,28,0.8
2001-2005,SK,28,11660,0.0024013722126929675,19,0.8
2001-2005,SE,519,11660,0.04451114922813036,7,0.8
2001-2005,RO,25,11660,0.002144082332761578,20,0.8
2001-2005,LT,3,11660,0.00025728987993138937,27,0.8
2006-2010,SI,50,18732,0.0026692291266282296,20,0.8
2006-2010,FI,446,18732,0.023809523809523808,11,0.8
2006-2010,FR,3513,18732,0.18754003843689943,3,0.8
2006-2010,PL,187,18732,0.009982916933589579,16,0.8
2006-2010,BE,639,18732,0.034112748238308774,8,0.8
2006-2010,BG,10,18732,0.000533845825325646,25,0.8
2006-2010,ES,1444,18732,0.07708733717702328,5,0.8
2006-2010,DK,372,18732,0.01985906470211403,12,0.8
2006-2010,AT,570,18732,0.030429212043561818,9,0.8
2006-2010,GR,499,18732,0.026638906683749734,10,0.8
2006-2010,PT,348,18732,0.018577834721332478,13,0.8
2006-2010,HR,15,18732,0.0008007687379884689,24,0.8
2006-2010,GB,3878,18732,0.2070254110612855,2,0.8
2006-2010,EE,30,18732,0.0016015374759769379,22,0.8
2006-2010,LV,5,18732,0.000266922912662823,27,0.8
2006-2010,CY,34,18732,0.0018150758061071962,21,0.8
2006-2010,IT,1944,18732,0.10377962844330557,4,0.8
2006-2010,HU,139,18732,0.007420456972026479,17,0.8
2006-2010,IE,336,18732,0.017937219730941704,14,0.8
2006-2010,NL,1381,18732,0.07372410847747171,6,0.8
2006-2010,DE,4625,18732,0.24690369421311126,1,0.8
2006-2010,CZ,193,18732,0.010303224428784967,15,0.8
2006-2010,LU,57,18732,0.003042921204356182,18,0.8
2006-2010,MT,7,18732,0.0003736920777279522,26,0.8
2006-2010,SK,24,18732,0.0012812299807815502,23,0.8
2006-2010,SE,650,18732,0.03469997864616699,7,0.8
2006-2010,RO,57,18732,0.003042921204356182,18,0.8
2006-2010,LT,3,18732,0.00016015374759769378,28,0.8
2011-2015,SI,62,22980,0.0026979982593559617,21,0.8
2011-2015,FI,475,22980,0.020670147954743257,13,0.8
2011-2015,FR,3950,22980,0.17188859878154916,3,0.8
2011-2015,PL,241,22980,0.010487380330722367,16,0.8
2011-2015,BE,796,22980,0.03463881636205396,9,0.8
2011-2015,BG,13,22980,0.0005657093124456048,26,0.8
2011-2015,ES,1723,22980,0.07497824194952132,5,0.8
2011-2015,DK,566,22980,0.02463011314186249,11,0.8
2011-2015,AT,1015,22980,0.044168842471714535,7,0.8
2011-2015,GR,620,22980,0.026979982593559618,10,0.8
2011-2015,PT,514,22980,0.02236727589208007,12,0.8
2011-2015,HR,30,22980,0.0013054830287206266,24,0.8
2011-2015,GB,5047,22980,0.21962576153176674,2,0.8
2011-2015,EE,67,22980,0.002915578764142733,20,0.8
2011-2015,LV,18,22980,0.000783289817232376,25,0.8
2011-2015,CY,49,22980,0.002132288946910357,22,0.8
2011-2015,IT,2414,22980,0.1050478677110531,4,0.8
2011-2015,HU,137,22980,0.0059617058311575285,17,0.8
2011-2015,IE,400,22980,0.017406440382941687,14,0.8
2011-2015,NL,1529,22980,0.06653611836379461,6,0.8
2011-2015,DE,6203,22980,0.2699303742384682,1,0.8
2011-2015,CZ,322,22980,0.01401218450826806,15,0.8
2011-2015,LU,136,22980,0.005918189730200174,18,0.8
2011-2015,MT,9,22980,0.000391644908616188,27,0.8
2011-2015,SK,36,22980,0.001566579634464752,23,0.8
2011-2015,SE,889,22980,0.0386858137510879,8,0.8
2011-2015,RO,85,22980,0.0036988685813751088,19,0.8
2011-2015,LT,3,22980,0.00013054830287206266,28,0.8
2016-2020,SI,87,27789,0.0031307351829860737,20,0.8
2016-2020,FI,723,27789,0.026017488934470475,11,0.8
2016-2020,FR,4037,27789,0.1452733095829285,3,0.8
2016-2020,PL,506,27789,0.01820864370794199,15,0.8
2016-2020,BE,823,27789,0.02961603512181079,10,0.8
2016-2020,BG,19,27789,0.0006837237755946598,25,0.8
2016-2020,ES,1402,27789,0.05045161754651121,6,0.8
2016-2020,DK,936,27789,0.033682392313505345,9,0.8
2016-2020,AT,1318,27789,0.047428838749145344,7,0.8
2016-2020,GR,539,27789,0.019396163949764296,13,0.8
2016-2020,PT,514,27789,0.018496527402929216,14,0.8
2016-2020,HR,28,27789,0.001007592932455288,24,0.8
2016-2020,GB,7897,27789,0.28417719241426465,1,0.8
2016-2020,EE,78,27789,0.0028068660261254454,21,0.8
2016-2020,LV,8,27789,0.00028788369498722517,27,0.8
2016-2020,CY,67,27789,0.002411025945518011,22,0.8
2016-2020,IT,2564,27789,0.09226672424340567,4,0.8
2016-2020,HU,125,27789,0.004498182734175393,18,0.8
2016-2020,IE,413,27789,0.014861995753715499,16,0.8
2016-2020,NL,2154,27789,0.07751268487531038,5,0.8
2016-2020,DE,7356,27789,0.2647090575407535,2,0.8
2016-2020,CZ,550,27789,0.01979200403037173,12,0.8
2016-2020,LU,201,27789,0.007233077836554032,17,0.8
2016-2020,MT,14,27789,0.000503796466227644,26,0.8
2016-2020,SK,65,27789,0.0023390550217712042,23,0.8
