segment,w0,q0,w1,q1,contribution_total_change,composition_contribution,performance_contribution,interaction_contribution,from,to
IA / ML | A,0.2759887518142235,0.09580936729663106,0.19035673285428803,0.05204377931650659,-0.016535423896227926,-0.008204349556884535,-0.012078809999050137,0.003747735659706746,2006-2010,2021-2025
Sistemas | A,0.10445391872278664,0.08944854537559704,0.04511246226455207,0.05984919886899152,-0.006643306362993056,-0.005308006960658413,-0.003091767734248573,0.0017564683319139301,2006-2010,2021-2025
Bases de datos | A,0.04816763425253991,0.10357815442561205,0.024469577788171267,0.04778453518679409,-0.003819847258101115,-0.00245460095205325,-0.0026874466451208582,0.0013222003390729931,2006-2010,2021-2025
Bases de datos | A*,0.06925798258345428,0.08185985592665357,0.052829627109996176,0.04144869215291751,-0.003479729525416593,-0.0013448228121691313,-0.0027987956768185307,0.0006638889635710689,2006-2010,2021-2025
Ing. del Software | A,0.08277394775036284,0.06794520547945206,0.045686466261320634,0.062354583527221966,-0.002775332311688706,-0.0025199165504883473,-0.0004627578493659251,0.00020734208816556654,2006-2010,2021-2025
Teoría | A,0.04721516690856314,0.05187319884726225,0.02867894043114078,0.025945144551519646,-0.0017051224865842034,-0.0009615333619412175,-0.0012241974111877746,0.00048060828654478875,2006-2010,2021-2025
Sistemas | A*,0.020455370101596516,0.1286031042128603,0.01509417917428462,0.09295774647887324,-0.0012275032118984057,-0.0006894657955301329,-0.0007291389848525112,0.00019110156848423836,2006-2010,2021-2025
Ing. del Software | A*,0.02716799709724238,0.038397328881469114,0.012032824524852248,0.0353356890459364,-0.0006179903738391174,-0.0005811501989398547,-8.317862216455452e-05,4.6338447265291795e-05,2006-2010,2021-2025
HCI | A*,0.06467706821480407,0.028751753155680224,0.0611633147667843,0.023635731664928744,-0.0004139394045798504,-0.00010102657178738474,-0.000330889270945737,1.797643815327132e-05,2006-2010,2021-2025
HCI | A,0.020999637155297533,0.04967602591792657,0.01821931204558017,0.03617269544924154,-0.00038413689367414476,-0.0001381155022105819,-0.00028356504023045953,3.7543648766896667e-05,2006-2010,2021-2025
Bioinformática | A,0.0006349782293178519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006-2010,2021-2025
Seguridad | A*,0.012064586357039187,0.045112781954887216,0.011671414600960925,0.04918032786885246,2.9736943067554104e-05,-1.773707170277879e-05,4.9073258940255586e-05,-1.5992441699226936e-06,2006-2010,2021-2025
Seguridad | A,0.023403483309143686,0.03488372093023256,0.021408223138738892,0.04270109235352532,9.775393282064322e-05,-6.960209896760916e-05,0.00018295372162640893,-1.5597689838156548e-05,2006-2010,2021-2025
Teoría | A*,0.021634615384615384,0.027253668763102725,0.03907479059483822,0.018498367791077257,0.00013319720627320993,0.00047530875834988866,-0.00018941756910632022,-0.0001526939829703585,2006-2010,2021-2025
Redes | A*,0.018595791001451378,0.05609756097560976,0.00878013520983035,0.14043583535108958,0.0001898671030944256,-0.0005506343492860576,0.0015683369237094852,-0.000827835471329002,2006-2010,2021-2025
Redes | A,0.02376632801161103,0.0648854961832061,0.012606828521620816,0.15008431703204048,0.0003499972631212968,-0.0007240896615642506,0.0020248631224958824,-0.0009507761978103349,2006-2010,2021-2025
IA / ML | A*,0.13874274310595067,0.07616868257600523,0.4128151707130405,0.032650118446801935,0.00291061226105614,0.020875735741239604,-0.006037884963317892,-0.011927238516865571,2006-2010,2021-2025
IA / ML | A,0.2285736149372513,0.08654168061600268,0.19035673285428803,0.05204377931650659,-0.009874260985065015,-0.003307353203363242,-0.007885310007774319,0.0013184022260725459,2011-2015,2021-2025
Bases de datos | A,0.0516146311600857,0.12824314306893997,0.024469577788171267,0.04778453518679409,-0.005449955127488573,-0.003481166963188434,-0.004152841369490923,0.002184053205190784,2011-2015,2021-2025
Ing. del Software | A,0.08911080501989593,0.0781451266638042,0.045686466261320634,0.062354583527221966,-0.004114814568838202,-0.003393400452580809,-0.001407108010602236,0.0006856938943448432,2011-2015,2021-2025
Bases de datos | A*,0.05953474135292317,0.09254498714652956,0.052829627109996176,0.04144869215291751,-0.0033199229226425807,-0.000620524711427691,-0.003042004706537357,0.00034260649532246714,2011-2015,2021-2025
Sistemas | A,0.07170186715641261,0.07524012806830309,0.04511246226455207,0.05984919886899152,-0.002694912942043888,-0.002000590229323552,-0.0011035583608627903,0.0004092356481424542,2011-2015,2021-2025
HCI | A,0.030800428527701255,0.06583850931677018,0.01821931204558017,0.03617269544924154,-0.0013688126746621036,-0.0008283219547234998,-0.0009137197797429047,0.00037322905980430093,2011-2015,2021-2025
Ing. del Software | A*,0.03554484236302418,0.04628632938643703,0.012032824524852248,0.0353356890459364,-0.0012200521358494217,-0.0010882850021974092,-0.00038923878467726856,0.00025747165102525606,2011-2015,2021-2025
HCI | A*,0.08057851239669421,0.03276353276353276,0.0611633147667843,0.023635731664928744,-0.0011943970353805343,-0.000636110463658017,-0.000735504633978423,0.00017721806225590576,2011-2015,2021-2025
Teoría | A,0.04549280685644322,0.04205214465937763,0.02867894043114078,0.025945144551519646,-0.0011689908398179079,-0.0007070591432002708,-0.0007327526449434933,0.00027082094832585617,2011-2015,2021-2025
Sistemas | A*,0.023339455157636975,0.10983606557377049,0.01509417917428462,0.09295774647887324,-0.0011603930461604524,-0.0009056286735813241,-0.0003939307716516421,0.00013916639907251378,2011-2015,2021-2025
Seguridad | A*,0.0157636975818794,0.06796116504854369,0.011671414600960925,0.04918032786885246,-0.0004973152563688648,-0.0002781163190915468,-0.00029605543763516935,7.685650035785133e-05,2011-2015,2021-2025
Redes | A,0.018021120293847566,0.11889596602972399,0.012606828521620816,0.15008431703204048,-0.0002505512576673611,-0.0006437374506256855,0.0005620490251794868,-0.0001688628322211623,2011-2015,2021-2025
Redes | A*,0.020240281603917967,0.06994328922495274,0.00878013520983035,0.14043583535108958,-0.00018262624752928523,-0.0008015603338019693,0.0014267889845701862,-0.0008078548982975021,2011-2015,2021-2025
