window,segment,eu_den,es_num,q_es,eu_total_segment_sum,w_segment
2001-2005,Bases de datos | A,545,46,0.08440366972477065,14240,0.03827247191011236
2001-2005,Bases de datos | A*,832,26,0.03125,14240,0.058426966292134834
2001-2005,Bioinformática | A,9,0,0.0,14240,0.0006320224719101123
2001-2005,HCI | A,429,6,0.013986013986013986,14240,0.030126404494382024
2001-2005,HCI | A*,632,8,0.012658227848101266,14240,0.044382022471910115
2001-2005,IA / ML | A,3548,295,0.08314543404735061,14240,0.2491573033707865
2001-2005,IA / ML | A*,1745,154,0.08825214899713467,14240,0.12254213483146068
2001-2005,Ing. del Software | A,962,62,0.06444906444906445,14240,0.0675561797752809
2001-2005,Ing. del Software | A*,506,19,0.037549407114624504,14240,0.03553370786516854
2001-2005,Redes | A,198,8,0.04040404040404041,14240,0.013904494382022473
2001-2005,Redes | A*,231,1,0.004329004329004329,14240,0.01622191011235955
2001-2005,Seguridad | A,293,2,0.006825938566552901,14240,0.020575842696629213
2001-2005,Seguridad | A*,162,0,0.0,14240,0.011376404494382023
2001-2005,Sistemas | A,1975,190,0.09620253164556962,14240,0.1386938202247191
2001-2005,Sistemas | A*,356,44,0.12359550561797752,14240,0.025
2001-2005,Teoría | A,1149,75,0.06527415143603134,14240,0.080688202247191
2001-2005,Teoría | A*,668,31,0.04640718562874251,14240,0.04691011235955056
2006-2010,Bases de datos | A,1062,110,0.10357815442561205,22048,0.04816763425253991
2006-2010,Bases de datos | A*,1527,125,0.08185985592665357,22048,0.06925798258345428
2006-2010,Bioinformática | A,14,0,0.0,22048,0.0006349782293178519
2006-2010,HCI | A,463,23,0.04967602591792657,22048,0.020999637155297533
2006-2010,HCI | A*,1426,41,0.028751753155680224,22048,0.06467706821480407
2006-2010,IA / ML | A,6085,583,0.09580936729663106,22048,0.2759887518142235
2006-2010,IA / ML | A*,3059,233,0.07616868257600523,22048,0.13874274310595067
2006-2010,Ing. del Software | A,1825,124,0.06794520547945206,22048,0.08277394775036284
2006-2010,Ing. del Software | A*,599,23,0.038397328881469114,22048,0.02716799709724238
2006-2010,Redes | A,524,34,0.0648854961832061,22048,0.02376632801161103
2006-2010,Redes | A*,410,23,0.05609756097560976,22048,0.018595791001451378
2006-2010,Seguridad | A,516,18,0.03488372093023256,22048,0.023403483309143686
2006-2010,Seguridad | A*,266,12,0.045112781954887216,22048,0.012064586357039187
2006-2010,Sistemas | A,2303,206,0.08944854537559704,22048,0.10445391872278664
2006-2010,Sistemas | A*,451,58,0.1286031042128603,22048,0.020455370101596516
2006-2010,Teoría | A,1041,54,0.05187319884726225,22048,0.04721516690856314
2006-2010,Teoría | A*,477,13,0.027253668763102725,22048,0.021634615384615384
2011-2015,Bases de datos | A,1349,173,0.12824314306893997,26136,0.0516146311600857
2011-2015,Bases de datos | A*,1556,144,0.09254498714652956,26136,0.05953474135292317
2011-2015,HCI | A,805,53,0.06583850931677018,26136,0.030800428527701255
2011-2015,HCI | A*,2106,69,0.03276353276353276,26136,0.08057851239669421
2011-2015,IA / ML | A,5974,517,0.08654168061600268,26136,0.2285736149372513
2011-2015,IA / ML | A*,4666,310,0.06643806258036862,26136,0.17852770125497397
2011-2015,Ing. del Software | A,2329,182,0.0781451266638042,26136,0.08911080501989593
2011-2015,Ing. del Software | A*,929,43,0.04628632938643703,26136,0.03554484236302418
2011-2015,Redes | A,471,56,0.11889596602972399,26136,0.018021120293847566
2011-2015,Redes | A*,529,37,0.06994328922495274,26136,0.020240281603917967
2011-2015,Seguridad | A,553,24,0.0433996383363472,26136,0.02115855524946434
2011-2015,Seguridad | A*,412,28,0.06796116504854369,26136,0.0157636975818794
2011-2015,Sistemas | A,1874,141,0.07524012806830309,26136,0.07170186715641261
2011-2015,Sistemas | A*,610,67,0.10983606557377049,26136,0.023339455157636975
2011-2015,Teoría | A,1189,50,0.04205214465937763,26136,0.04549280685644322
2011-2015,Teoría | A*,784,15,0.01913265306122449,26136,0.02999693908784818
2016-2020,Bases de datos | A,1064,76,0.07142857142857142,31263,0.034033841921760545
2016-2020,Bases de datos | A*,1913,76,0.03972817564035546,31263,0.06119054473339091
2016-2020,HCI | A,1007,27,0.026812313803376366,31263,0.03221060039023766
2016-2020,HCI | A*,2284,39,0.017075306479859893,31263,0.07305760803505741
2016-2020,IA / ML | A,6467,445,0.06881088603680223,31263,0.2068579470940089
2016-2020,IA / ML | A*,8672,335,0.038630073800738005,31263,0.27738860633976264
2016-2020,Ing. del Software | A,2035,143,0.07027027027027027,31263,0.0650929213447206
2016-2020,Ing. del Software | A*,556,25,0.044964028776978415,31263,0.017784601605732017
2016-2020,Redes | A,472,42,0.08898305084745763,31263,0.01509771934875092
2016-2020,Redes | A*,436,44,0.10091743119266056,31263,0.013946198381473308
2016-2020,Seguridad | A,615,28,0.04552845528455285,31263,0.01967181652432588
2016-2020,Seguridad | A*,477,26,0.05450733752620545,31263,0.015257652816428366
2016-2020,Sistemas | A,1975,118,0.05974683544303797,31263,0.06317371973259124
2016-2020,Sistemas | A*,601,54,0.08985024958402663,31263,0.01922400281482903
2016-2020,Teoría | A,1181,30,0.02540220152413209,31263,0.037776285065412786
2016-2020,Teoría | A*,1508,28,0.01856763925729443,31263,0.04823593385151777
2021-2025,Bases de datos | A,1151,55,0.04778453518679409,47038,0.024469577788171267
2021-2025,Bases de datos | A*,2485,103,0.04144869215291751,47038,0.052829627109996176
2021-2025,HCI | A,857,31,0.03617269544924154,47038,0.01821931204558017
