window,area,es_papers,es_only,avg_countries,median_countries,share_es_only,share_international
2001-2005,Bases de datos,72,39,1.5694444444444444,1.0,0.5416666666666666,0.45833333333333337
2001-2005,HCI,14,12,1.1428571428571428,1.0,0.8571428571428571,0.1428571428571429
2001-2005,IA / ML,449,314,1.3608017817371938,1.0,0.6993318485523385,0.30066815144766146
2001-2005,Ing. del Software,81,51,1.5308641975308641,1.0,0.6296296296296297,0.37037037037037035
2001-2005,Redes,9,6,1.7777777777777777,1.0,0.6666666666666666,0.33333333333333337
2001-2005,Seguridad,2,2,1.0,1.0,1.0,0.0
2001-2005,Sistemas,234,146,1.4700854700854702,1.0,0.6239316239316239,0.37606837606837606
2001-2005,Teoría,106,49,1.7264150943396226,2.0,0.46226415094339623,0.5377358490566038
2006-2010,Bases de datos,235,102,1.7702127659574467,2.0,0.4340425531914894,0.5659574468085107
2006-2010,HCI,64,45,1.390625,1.0,0.703125,0.296875
2006-2010,IA / ML,816,501,1.4852941176470589,1.0,0.6139705882352942,0.38602941176470584
2006-2010,Ing. del Software,147,75,1.6666666666666667,1.0,0.5102040816326531,0.4897959183673469
2006-2010,Redes,57,20,2.1052631578947367,2.0,0.3508771929824561,0.6491228070175439
2006-2010,Seguridad,30,8,2.2333333333333334,2.0,0.26666666666666666,0.7333333333333334
2006-2010,Sistemas,264,129,1.6477272727272727,2.0,0.48863636363636365,0.5113636363636364
2006-2010,Teoría,67,27,1.8208955223880596,2.0,0.40298507462686567,0.5970149253731343
2011-2015,Bases de datos,317,78,2.1482649842271293,2.0,0.24605678233438485,0.7539432176656151
2011-2015,HCI,122,66,1.7622950819672132,1.0,0.5409836065573771,0.4590163934426229
2011-2015,IA / ML,827,420,1.6626360338573156,1.0,0.5078597339782346,0.4921402660217654
2011-2015,Ing. del Software,225,90,1.92,2.0,0.4,0.6
2011-2015,Redes,93,29,1.935483870967742,2.0,0.3118279569892473,0.6881720430107527
2011-2015,Seguridad,52,12,2.326923076923077,2.0,0.23076923076923078,0.7692307692307692
2011-2015,Sistemas,208,85,1.8317307692307692,2.0,0.40865384615384615,0.5913461538461539
2011-2015,Teoría,65,25,1.9692307692307693,2.0,0.38461538461538464,0.6153846153846154
2016-2020,Bases de datos,152,46,2.026315789473684,2.0,0.3026315789473684,0.6973684210526316
2016-2020,HCI,66,31,1.7575757575757576,2.0,0.4696969696969697,0.5303030303030303
2016-2020,IA / ML,780,331,1.8628205128205129,2.0,0.42435897435897435,0.5756410256410256
2016-2020,Ing. del Software,168,53,2.267857142857143,2.0,0.31547619047619047,0.6845238095238095
2016-2020,Redes,86,23,1.9651162790697674,2.0,0.26744186046511625,0.7325581395348837
2016-2020,Seguridad,54,11,2.314814814814815,2.0,0.2037037037037037,0.7962962962962963
2016-2020,Sistemas,172,71,1.930232558139535,2.0,0.4127906976744186,0.5872093023255813
2016-2020,Teoría,58,12,2.5,2.0,0.20689655172413793,0.7931034482758621
2021-2025,Bases de datos,158,28,2.2721518987341773,2.0,0.17721518987341772,0.8227848101265822
2021-2025,HCI,99,31,2.2222222222222223,2.0,0.31313131313131315,0.6868686868686869
2021-2025,IA / ML,1100,327,2.170909090909091,2.0,0.2972727272727273,0.7027272727272726
2021-2025,Ing. del Software,154,62,1.8766233766233766,2.0,0.4025974025974026,0.5974025974025974
2021-2025,Redes,147,64,1.7755102040816326,2.0,0.43537414965986393,0.564625850340136
2021-2025,Seguridad,70,13,2.4285714285714284,2.0,0.18571428571428572,0.8142857142857143
2021-2025,Sistemas,193,65,2.1968911917098444,2.0,0.33678756476683935,0.6632124352331606
2021-2025,Teoría,69,15,2.420289855072464,2.0,0.21739130434782608,0.782608695652174
