window,area,partner_country,collab_papers
2001-2005,Bases de datos,GB,11
2001-2005,Bases de datos,CL,7
2001-2005,Bases de datos,US,5
2001-2005,Bases de datos,DE,4
2001-2005,Bases de datos,IT,4
2001-2005,Bases de datos,BM,1
2001-2005,Bases de datos,BR,1
2001-2005,Bases de datos,CA,1
2001-2005,Bases de datos,CU,1
2001-2005,Bases de datos,DK,1
2001-2005,Bases de datos,GR,1
2001-2005,Bases de datos,LU,1
2001-2005,Bases de datos,MX,1
2001-2005,Bases de datos,SE,1
2001-2005,Bases de datos,VE,1
2001-2005,HCI,GB,1
2001-2005,HCI,US,1
2001-2005,IA / ML,US,41
2001-2005,IA / ML,FR,20
2001-2005,IA / ML,DE,15
2001-2005,IA / ML,GB,12
2001-2005,IA / ML,IT,11
2001-2005,IA / ML,NL,11
2001-2005,IA / ML,CH,9
2001-2005,IA / ML,SE,8
2001-2005,IA / ML,BE,4
2001-2005,IA / ML,PT,4
2001-2005,IA / ML,JP,3
2001-2005,IA / ML,AR,2
2001-2005,IA / ML,AT,2
2001-2005,IA / ML,AU,2
2001-2005,IA / ML,BR,2
2001-2005,IA / ML,CA,2
2001-2005,IA / ML,CO,2
2001-2005,IA / ML,FI,2
2001-2005,IA / ML,VE,2
2001-2005,IA / ML,CN,1
2001-2005,IA / ML,GR,1
2001-2005,IA / ML,MK,1
2001-2005,IA / ML,MX,1
2001-2005,IA / ML,PK,1
2001-2005,IA / ML,RO,1
2001-2005,IA / ML,SI,1
2001-2005,IA / ML,TW,1
2001-2005,Ing. del Software,US,12
2001-2005,Ing. del Software,DE,8
2001-2005,Ing. del Software,GB,8
2001-2005,Ing. del Software,IT,3
2001-2005,Ing. del Software,NL,2
2001-2005,Ing. del Software,AR,1
2001-2005,Ing. del Software,AU,1
2001-2005,Ing. del Software,BR,1
2001-2005,Ing. del Software,CA,1
2001-2005,Ing. del Software,CH,1
2001-2005,Ing. del Software,CO,1
2001-2005,Ing. del Software,FI,1
2001-2005,Ing. del Software,NO,1
2001-2005,Ing. del Software,RO,1
2001-2005,Ing. del Software,VE,1
2001-2005,Redes,DE,2
2001-2005,Redes,BE,1
2001-2005,Redes,CZ,1
2001-2005,Redes,FR,1
2001-2005,Redes,SE,1
2001-2005,Redes,US,1
2001-2005,Sistemas,US,54
2001-2005,Sistemas,DE,6
2001-2005,Sistemas,CA,5
2001-2005,Sistemas,IT,5
2001-2005,Sistemas,BE,4
2001-2005,Sistemas,FR,4
2001-2005,Sistemas,GB,4
2001-2005,Sistemas,NL,4
2001-2005,Sistemas,BR,3
2001-2005,Sistemas,GR,3
2001-2005,Sistemas,AR,2
2001-2005,Sistemas,IN,2
2001-2005,Sistemas,KR,2
2001-2005,Sistemas,SE,2
2001-2005,Sistemas,CH,1
2001-2005,Sistemas,CY,1
2001-2005,Sistemas,CZ,1
2001-2005,Sistemas,FI,1
2001-2005,Sistemas,JP,1
2001-2005,Sistemas,PL,1
2001-2005,Sistemas,PT,1
2001-2005,Sistemas,RO,1
2001-2005,Sistemas,SG,1
2001-2005,Sistemas,VE,1
2001-2005,Teoría,US,20
2001-2005,Teoría,FR,14
2001-2005,Teoría,CA,12
2001-2005,Teoría,DE,7
2001-2005,Teoría,NO,4
2001-2005,Teoría,GB,3
2001-2005,Teoría,AT,2
2001-2005,Teoría,CZ,2
2001-2005,Teoría,AU,1
2001-2005,Teoría,BE,1
2001-2005,Teoría,CH,1
2001-2005,Teoría,GR,1
2001-2005,Teoría,HU,1
2001-2005,Teoría,IL,1
2001-2005,Teoría,IT,1
2001-2005,Teoría,MA,1
2001-2005,Teoría,MX,1
2001-2005,Teoría,NL,1
2001-2005,Teoría,NZ,1
2001-2005,Teoría,PR,1
2001-2005,Teoría,SK,1
2006-2010,Bases de datos,GB,50
2006-2010,Bases de datos,US,44
2006-2010,Bases de datos,IT,24
2006-2010,Bases de datos,DE,12
2006-2010,Bases de datos,NL,10
2006-2010,Bases de datos,CA,7
2006-2010,Bases de datos,FR,5
2006-2010,Bases de datos,BR,4
2006-2010,Bases de datos,AT,3
2006-2010,Bases de datos,CH,3
2006-2010,Bases de datos,CL,3
2006-2010,Bases de datos,CN,3
2006-2010,Bases de datos,FI,2
2006-2010,Bases de datos,NZ,2
2006-2010,Bases de datos,AU,1
2006-2010,Bases de datos,BE,1
2006-2010,Bases de datos,DK,1
2006-2010,Bases de datos,DO,1
2006-2010,Bases de datos,GR,1
2006-2010,Bases de datos,KR,1
2006-2010,Bases de datos,MX,1
2006-2010,Bases de datos,NO,1
2006-2010,Bases de datos,TR,1
2006-2010,HCI,US,11
2006-2010,HCI,DE,4
2006-2010,HCI,GB,2
2006-2010,HCI,AT,1
